run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,decay_rate,seek_delta,prefetch,prefetch_offset,prefetch_size,prefetch_depth,cache_hit,false_negative
24,024_adaptive_cache_lookup_workload_run01,adaptive,cache_lookup_workload,1779900460.293556,/big.txt,2117632,65536,unknown,0.0000,0.0000,0,0,,,1,-1,0
24,024_adaptive_cache_lookup_workload_run01,adaptive,cache_lookup_workload,1779900460.298642,/big.txt,2183168,65536,sequential,1.0000,0.0000,0,1,2248704,4096,1,-1,1
24,024_adaptive_cache_lookup_workload_run01,adaptive,cache_lookup_workload,1779900460.316486,/big.txt,1363968,65536,irregular,0.5000,0.5000,884736,0,,,1,-1,0
24,024_adaptive_cache_lookup_workload_run01,adaptive,cache_lookup_workload,1779900460.320364,/big.txt,1429504,65536,irregular,0.6667,0.0000,0,0,,,1,-1,1
24,024_adaptive_cache_lookup_workload_run01,adaptive,cache_lookup_workload,1779900460.336502,/big.txt,827392,65536,irregular,0.5000,0.1667,667648,0,,,1,-1,0
24,024_adaptive_cache_lookup_workload_run01,adaptive,cache_lookup_workload,1779900460.340449,/big.txt,892928,65536,irregular,0.5000,0.0000,0,0,,,1,-1,1
24,024_adaptive_cache_lookup_workload_run01,adaptive,cache_lookup_workload,1779900460.357528,/big.txt,1007616,65536,irregular,0.5000,0.0000,49152,0,,,1,-1,0
24,024_adaptive_cache_lookup_workload_run01,adaptive,cache_lookup_workload,1779900460.362442,/big.txt,1073152,65536,irregular,0.5000,0.0000,0,0,,,1,-1,1
24,024_adaptive_cache_lookup_workload_run01,adaptive,cache_lookup_workload,1779900460.377493,/big.txt,806912,65536,irregular,0.5000,0.0000,331776,0,,,1,-1,0
24,024_adaptive_cache_lookup_workload_run01,adaptive,cache_lookup_workload,1779900460.381332,/big.txt,872448,65536,irregular,0.5000,0.0000,0,0,,,1,-1,1
24,024_adaptive_cache_lookup_workload_run01,adaptive,cache_lookup_workload,1779900460.3985019,/big.txt,3448832,65536,seek-suppressed,0.5000,0.0000,2510848,0,,,1,-1,0
