run_index,run_label,mode,workload,seq,timestamp,path,offset,size
,,adaptive,,1,1773859683.348044,/big.txt,172032,4096
,,adaptive,,2,1773859683.348554,/big.txt,20480,4096
,,adaptive,,3,1773859683.3488,/big.txt,491520,4096
,,adaptive,,4,1773859683.349057,/big.txt,1228800,4096
,,adaptive,,5,1773859683.349548,/big.txt,69632,4096
,,adaptive,,6,1773859683.350137,/big.txt,1024000,4096
,,adaptive,,7,1773859683.350966,/big.txt,360448,4096
,,adaptive,,8,1773859683.3527098,/big.txt,245760,4096
,,adaptive,,9,1773859683.352853,/big.txt,778240,4096
,,adaptive,,10,1773859683.353533,/big.txt,40960,4096
,,adaptive,,11,1773859683.353837,/big.txt,1363968,4096
,,adaptive,,12,1773859683.354969,/big.txt,307200,4096
,,adaptive,,13,1773859683.355507,/big.txt,2097152,4096
,,adaptive,,14,1773859683.355936,/big.txt,819200,4096
,,adaptive,,15,1773859683.355999,/big.txt,1843200,4096
,,adaptive,,16,1773859683.3567822,/big.txt,2457600,4096
,,adaptive,,17,1773859683.356904,/big.txt,405504,4096
,,adaptive,,18,1773859683.357573,/big.txt,614400,4096
,,adaptive,,19,1773859683.3578382,/big.txt,2949120,4096
,,adaptive,,20,1773859683.358128,/big.txt,1556480,4096
