run_index,run_label,mode,workload,seq,timestamp,path,offset,size
,,none,,1,1773859509.165279,/big.txt,20480,4096
,,none,,2,1773859509.1659598,/big.txt,172032,4096
,,none,,3,1773859509.1665401,/big.txt,1228800,4096
,,none,,4,1773859509.16668,/big.txt,491520,4096
,,none,,5,1773859509.168185,/big.txt,69632,4096
,,none,,6,1773859509.168778,/big.txt,360448,4096
,,none,,7,1773859509.1691892,/big.txt,1024000,4096
,,none,,8,1773859509.1694021,/big.txt,40960,4096
,,none,,9,1773859509.169492,/big.txt,245760,4096
,,none,,10,1773859509.169641,/big.txt,778240,4096
,,none,,11,1773859509.170797,/big.txt,1363968,4096
,,none,,12,1773859509.171778,/big.txt,2097152,4096
,,none,,13,1773859509.172035,/big.txt,307200,4096
,,none,,14,1773859509.1722329,/big.txt,1843200,4096
,,none,,15,1773859509.172283,/big.txt,819200,4096
,,none,,16,1773859509.17326,/big.txt,405504,4096
,,none,,17,1773859509.1737118,/big.txt,2457600,4096
,,none,,18,1773859509.173802,/big.txt,2949120,4096
,,none,,19,1773859509.17419,/big.txt,614400,4096
,,none,,20,1773859509.1743271,/big.txt,1556480,4096
