workload,mode,runs,avg_prefetch_rate,avg_confidence,std_confidence,avg_seek_delta,seek_suppressed_rate,cache_hit_rate,false_negative_rate,chain_start_fn_rate
cache_lookup_workload,adaptive,1,0.0027,0.4977,0.0460,706137.0,0.2663,-0.7554,0.5299,0.4701
cache_lookup_workload,baseline,1,1.0000,0.4977,0.0460,706137.0,0.0000,-0.7554,0.0000,0.0000
cache_lookup_workload,none,1,0.0000,0.4977,0.0460,706137.0,0.0000,-0.7554,0.0000,0.0000
gradual_drift,adaptive,1,0.9167,0.9167,0.2887,0.0,0.0000,0.0000,0.0833,0.0833
gradual_drift,baseline,1,1.0000,0.9167,0.2887,0.0,0.0000,0.0000,0.0000,0.0000
gradual_drift,none,1,0.0000,0.9167,0.2887,0.0,0.0000,0.0000,0.0000,0.0000
phase_change,adaptive,1,0.7935,0.8258,0.3697,246896.3,0.1097,-0.0194,0.0323,0.0129
phase_change,baseline,1,0.9871,0.8258,0.3697,246896.3,0.0000,-0.0194,0.0000,0.0000
phase_change,none,1,0.0000,0.8258,0.3697,246896.3,0.0000,-0.0194,0.0000,0.0000
python_import,adaptive,1,0.0000,0.5004,0.0364,71.8,0.0000,1.0000,0.0000,0.0000
python_import,baseline,1,0.5000,0.5004,0.0364,71.8,0.0000,1.0000,0.0000,0.0000
python_import,none,1,0.0000,0.5004,0.0364,71.8,0.0000,0.5000,0.0000,0.0000
random,adaptive,1,0.0000,0.0000,0.0000,603477.3,0.2000,-0.3333,0.0000,0.0000
random,baseline,1,1.0000,0.0000,0.0000,603477.3,0.0000,-0.3333,0.0000,0.0000
random,none,1,0.0000,0.0000,0.0000,603477.3,0.0000,-0.3333,0.0000,0.0000
seek_suppression,adaptive,1,0.2500,0.5417,0.4167,497664.0,0.2500,-0.5000,0.5000,0.5000
seek_suppression,baseline,1,1.0000,0.5417,0.4167,497664.0,0.0000,-0.5000,0.0000,0.0000
seek_suppression,none,1,0.0000,0.5417,0.4167,497664.0,0.0000,-0.5000,0.0000,0.0000
sequential,adaptive,1,0.9692,0.9846,0.1240,0.0,0.0000,0.0000,0.0154,0.0154
sequential,baseline,1,0.9846,0.9846,0.1240,0.0,0.0000,0.0000,0.0000,0.0000
sequential,none,1,0.0000,0.9846,0.1240,0.0,0.0000,0.0000,0.0000,0.0000
tar_workload,adaptive,1,0.9946,0.9946,0.0733,0.0,0.0000,-0.7473,0.0054,0.0054
tar_workload,baseline,1,1.0000,0.9946,0.0733,0.0,0.0000,-0.7473,0.0000,0.0000
tar_workload,none,1,0.0000,0.9946,0.0733,0.0,0.0000,-0.7473,0.0000,0.0000
