workload,run,real_sec,user_sec,sys_sec
sequential,1,0.1380,0.0040,0.0160
sequential,2,0.0830,0.0040,0.0180
sequential,3,0.0630,0.0020,0.0120
sequential,4,0.0850,0.0040,0.0190
sequential,5,0.0820,0.0040,0.0200
sequential,6,0.0850,0.0040,0.0200
sequential,7,0.0850,0.0040,0.0180
sequential,8,0.0850,0.0040,0.0190
sequential,9,0.0820,0.0040,0.0210
sequential,10,0.0820,0.0040,0.0200
sequential,11,0.0790,0.0040,0.0180
sequential,12,0.0890,0.0040,0.0220
sequential,13,0.0840,0.0040,0.0180
sequential,14,0.0560,0.0020,0.0110
sequential,15,0.0860,0.0040,0.0170
sequential,16,0.0800,0.0040,0.0160
sequential,17,0.0560,0.0020,0.0100
sequential,18,0.0830,0.0040,0.0190
sequential,19,0.0810,0.0040,0.0170
sequential,20,0.0590,0.0020,0.0110
random,1,0.0470,0.0140,0.0260
random,2,0.0380,0.0110,0.0210
random,3,0.0500,0.0150,0.0270
random,4,0.0490,0.0140,0.0260
random,5,0.0380,0.0110,0.0190
random,6,0.0490,0.0150,0.0270
random,7,0.0480,0.0140,0.0260
random,8,0.0490,0.0150,0.0270
random,9,0.0460,0.0130,0.0250
random,10,0.0480,0.0140,0.0260
random,11,0.0490,0.0140,0.0270
random,12,0.0670,0.0160,0.0330
random,13,0.0490,0.0140,0.0270
random,14,0.0480,0.0140,0.0260
random,15,0.0420,0.0120,0.0230
random,16,0.0480,0.0140,0.0260
random,17,0.0490,0.0140,0.0270
random,18,0.0490,0.0140,0.0270
random,19,0.0480,0.0140,0.0260
random,20,0.0440,0.0130,0.0240
phase_change,1,0.1420,0.0090,0.0330
phase_change,2,0.1430,0.0080,0.0320
phase_change,3,0.1410,0.0090,0.0310
phase_change,4,0.1460,0.0090,0.0320
phase_change,5,0.1450,0.0090,0.0310
phase_change,6,0.1450,0.0090,0.0320
phase_change,7,0.1400,0.0090,0.0300
phase_change,8,0.1410,0.0080,0.0320
phase_change,9,0.1440,0.0090,0.0310
phase_change,10,0.1450,0.0090,0.0320
phase_change,11,0.1440,0.0090,0.0310
phase_change,12,0.1460,0.0090,0.0330
phase_change,13,0.1440,0.0090,0.0310
phase_change,14,0.1450,0.0090,0.0320
phase_change,15,0.1420,0.0090,0.0310
phase_change,16,0.1450,0.0090,0.0310
phase_change,17,0.1400,0.0090,0.0300
phase_change,18,0.1420,0.0080,0.0300
phase_change,19,0.1470,0.0090,0.0320
phase_change,20,0.1510,0.0090,0.0360
tar_workload,1,0.0690,0.0090,0.0500
tar_workload,2,0.0670,0.0100,0.0520
tar_workload,3,0.0640,0.0090,0.0480
tar_workload,4,0.0700,0.0100,0.0520
tar_workload,5,0.0680,0.0090,0.0530
tar_workload,6,0.0630,0.0090,0.0470
tar_workload,7,0.0660,0.0090,0.0520
tar_workload,8,0.0640,0.0070,0.0480
tar_workload,9,0.0690,0.0100,0.0510
tar_workload,10,0.0680,0.0100,0.0510
tar_workload,11,0.0680,0.0100,0.0520
tar_workload,12,0.0650,0.0100,0.0500
tar_workload,13,0.0670,0.0100,0.0520
tar_workload,14,0.0690,0.0100,0.0530
tar_workload,15,0.0670,0.0100,0.0520
tar_workload,16,0.0660,0.0100,0.0510
tar_workload,17,0.0670,0.0100,0.0510
tar_workload,18,0.0670,0.0100,0.0520
tar_workload,19,0.0630,0.0090,0.0490
tar_workload,20,0.0680,0.0100,0.0520
python_import,1,0.0780,0.0070,0.0240
python_import,2,0.0540,0.0070,0.0220
python_import,3,0.0580,0.0070,0.0200
python_import,4,0.0540,0.0070,0.0220
python_import,5,0.0420,0.0050,0.0160
python_import,6,0.0480,0.0060,0.0190
python_import,7,0.0550,0.0070,0.0220
python_import,8,0.0540,0.0070,0.0220
python_import,9,0.0480,0.0060,0.0190
python_import,10,0.0300,0.0040,0.0110
python_import,11,0.0560,0.0070,0.0220
python_import,12,0.0540,0.0070,0.0220
python_import,13,0.0410,0.0060,0.0160
python_import,14,0.0480,0.0070,0.0190
python_import,15,0.0510,0.0070,0.0220
python_import,16,0.0540,0.0070,0.0220
python_import,17,0.0470,0.0070,0.0190
python_import,18,0.0540,0.0070,0.0220
python_import,19,0.0550,0.0080,0.0220
python_import,20,0.0520,0.0080,0.0220
