run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,decay_rate,seek_delta,prefetch,prefetch_offset,prefetch_size,prefetch_depth,cache_hit,false_negative
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.854317,/big.txt,0,65536,unknown,0.0000,0.0000,0,1,65536,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.858679,/big.txt,65536,65536,sequential,1.0000,0.0000,0,1,131072,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.863639,/big.txt,131072,65536,sequential,1.0000,0.0000,0,1,196608,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.868746,/big.txt,196608,65536,sequential,1.0000,0.0000,0,1,262144,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.873621,/big.txt,262144,65536,sequential,1.0000,0.0000,0,1,327680,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.878508,/big.txt,327680,65536,sequential,1.0000,0.0000,0,1,393216,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.8824441,/big.txt,393216,65536,sequential,1.0000,0.0000,0,1,458752,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.886613,/big.txt,458752,65536,sequential,1.0000,0.0000,0,1,524288,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.8903859,/big.txt,524288,65536,sequential,1.0000,0.0000,0,1,589824,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.8944159,/big.txt,589824,65536,sequential,1.0000,0.0000,0,1,655360,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.8983538,/big.txt,655360,65536,sequential,1.0000,0.0000,0,1,720896,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.902355,/big.txt,720896,65536,sequential,1.0000,0.0000,0,1,786432,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.906398,/big.txt,786432,65536,sequential,1.0000,0.0000,0,1,851968,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.910408,/big.txt,851968,65536,sequential,1.0000,0.0000,0,1,917504,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.9149828,/big.txt,917504,65536,sequential,1.0000,0.0000,0,1,983040,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.920497,/big.txt,983040,65536,sequential,1.0000,0.0000,0,1,1048576,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.92453,/big.txt,1048576,65536,sequential,1.0000,0.0000,0,1,1114112,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.928575,/big.txt,1114112,65536,sequential,1.0000,0.0000,0,1,1179648,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.932576,/big.txt,1179648,65536,sequential,1.0000,0.0000,0,1,1245184,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.9364932,/big.txt,1245184,65536,sequential,1.0000,0.0000,0,1,1310720,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.9406888,/big.txt,1310720,65536,sequential,1.0000,0.0000,0,1,1376256,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.945558,/big.txt,1376256,65536,sequential,1.0000,0.0000,0,1,1441792,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.949743,/big.txt,1441792,65536,sequential,1.0000,0.0000,0,1,1507328,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.954777,/big.txt,1507328,65536,sequential,1.0000,0.0000,0,1,1572864,4096,1,0,0
8,008_baseline_phase_change_run01,baseline,phase_change,1779906822.960151,/big.txt,1572864,65536,sequential,1.0000,0.0000,0,1,1638400,4096,1,0,0
