timestamp,mode,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size,prefetch_depth
1773186196.93632,baseline,/pyfiles/module_1.py,0,137,unknown,0.0000,1,137,4096,1
1773186196.9363961,baseline,/pyfiles/module_1.py,137,0,sequential,1.0000,0,,,1
1773186196.936595,baseline,/pyfiles/module_10.py,0,142,irregular,0.5000,1,142,4096,1
1773186196.93664,baseline,/pyfiles/module_10.py,142,0,irregular,0.6667,0,,,1
1773186196.9368398,baseline,/pyfiles/module_100.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.9368892,baseline,/pyfiles/module_100.py,147,0,irregular,0.5000,0,,,1
1773186196.9370391,baseline,/pyfiles/module_101.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.937075,baseline,/pyfiles/module_101.py,147,0,irregular,0.5000,0,,,1
1773186196.937233,baseline,/pyfiles/module_102.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.93727,baseline,/pyfiles/module_102.py,147,0,irregular,0.5000,0,,,1
1773186196.93743,baseline,/pyfiles/module_103.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.9374669,baseline,/pyfiles/module_103.py,147,0,irregular,0.5000,0,,,1
1773186196.93763,baseline,/pyfiles/module_104.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.937662,baseline,/pyfiles/module_104.py,147,0,irregular,0.5000,0,,,1
1773186196.9377952,baseline,/pyfiles/module_105.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.937828,baseline,/pyfiles/module_105.py,147,0,irregular,0.5000,0,,,1
1773186196.9379652,baseline,/pyfiles/module_106.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.937998,baseline,/pyfiles/module_106.py,147,0,irregular,0.5000,0,,,1
1773186196.938139,baseline,/pyfiles/module_107.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.9381719,baseline,/pyfiles/module_107.py,147,0,irregular,0.5000,0,,,1
1773186196.9383008,baseline,/pyfiles/module_108.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.9383318,baseline,/pyfiles/module_108.py,147,0,irregular,0.5000,0,,,1
1773186196.938466,baseline,/pyfiles/module_109.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.938497,baseline,/pyfiles/module_109.py,147,0,irregular,0.5000,0,,,1
1773186196.938636,baseline,/pyfiles/module_11.py,0,142,irregular,0.5000,1,142,4096,1
1773186196.938668,baseline,/pyfiles/module_11.py,142,0,irregular,0.5000,0,,,1
1773186196.938805,baseline,/pyfiles/module_110.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.938839,baseline,/pyfiles/module_110.py,147,0,irregular,0.5000,0,,,1
1773186196.93898,baseline,/pyfiles/module_111.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.939011,baseline,/pyfiles/module_111.py,147,0,irregular,0.5000,0,,,1
1773186196.939161,baseline,/pyfiles/module_112.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.939193,baseline,/pyfiles/module_112.py,147,0,irregular,0.5000,0,,,1
1773186196.93932,baseline,/pyfiles/module_113.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.939353,baseline,/pyfiles/module_113.py,147,0,irregular,0.5000,0,,,1
1773186196.9394848,baseline,/pyfiles/module_114.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.939517,baseline,/pyfiles/module_114.py,147,0,irregular,0.5000,0,,,1
1773186196.939647,baseline,/pyfiles/module_115.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.939679,baseline,/pyfiles/module_115.py,147,0,irregular,0.5000,0,,,1
1773186196.9398,baseline,/pyfiles/module_116.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.939831,baseline,/pyfiles/module_116.py,147,0,irregular,0.5000,0,,,1
1773186196.939956,baseline,/pyfiles/module_117.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.939988,baseline,/pyfiles/module_117.py,147,0,irregular,0.5000,0,,,1
1773186196.940118,baseline,/pyfiles/module_118.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.940151,baseline,/pyfiles/module_118.py,147,0,irregular,0.5000,0,,,1
1773186196.9402912,baseline,/pyfiles/module_119.py,0,147,irregular,0.5000,1,147,4096,1
1773186196.9403222,baseline,/pyfiles/module_119.py,147,0,irregular,0.5000,0,,,1
1773186196.9404428,baseline,/pyfiles/module_12.py,0,142,irregular,0.5000,1,142,4096,1
1773186196.940474,baseline,/pyfiles/module_12.py,142,0,irregular,0.5000,0,,,1
1773186196.940659,baseline,/pyfiles/module_120.py,0,147,irregular,0.5000,1,147,4096,1
