seq,timestamp,path,offset,size
98126,1773186404.596885,/archive.tar,0,65536
98127,1773186404.599193,/archive.tar,65536,65536
98128,1773186404.60082,/archive.tar,131072,65536
98129,1773186404.6028879,/archive.tar,196608,65536
98130,1773186404.604279,/archive.tar,262144,65536
98131,1773186404.60603,/archive.tar,327680,65536
98132,1773186404.607411,/archive.tar,393216,65536
98133,1773186404.609015,/archive.tar,458752,65536
98134,1773186404.610294,/archive.tar,524288,65536
98135,1773186404.6117609,/archive.tar,589824,65536
98136,1773186404.613048,/archive.tar,655360,65536
98137,1773186404.614262,/archive.tar,720896,65536
98138,1773186404.615733,/archive.tar,786432,65536
98139,1773186404.616816,/archive.tar,851968,65536
98140,1773186404.61818,/archive.tar,917504,65536
98141,1773186404.619234,/archive.tar,983040,65536
98142,1773186404.62062,/archive.tar,1048576,65536
98143,1773186404.621686,/archive.tar,1114112,65536
98144,1773186404.622997,/archive.tar,1179648,65536
98145,1773186404.623945,/archive.tar,1245184,65536
98146,1773186404.625153,/archive.tar,1310720,65536
98147,1773186404.6261828,/archive.tar,1376256,65536
98148,1773186404.6271648,/archive.tar,1441792,65536
98149,1773186404.628408,/archive.tar,1507328,65536
98150,1773186404.629324,/archive.tar,1572864,65536
98151,1773186404.630514,/archive.tar,1638400,65536
98152,1773186404.631428,/archive.tar,1703936,65536
98153,1773186404.632611,/archive.tar,1769472,65536
98154,1773186404.633522,/archive.tar,1835008,62976
