timestamp,mode,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size,prefetch_depth
1773186410.8392692,adaptive,/archive.tar,0,65536,unknown,0.0000,0,,,1
1773186410.840425,adaptive,/archive.tar,65536,65536,sequential,1.0000,1,131072,4096,1
1773186410.8413088,adaptive,/archive.tar,131072,65536,sequential,1.0000,1,196608,4096,1
1773186410.8428018,adaptive,/archive.tar,196608,65536,sequential,1.0000,1,262144,4096,1
1773186410.843924,adaptive,/archive.tar,262144,65536,sequential,1.0000,1,327680,4096,1
1773186410.845016,adaptive,/archive.tar,327680,65536,sequential,1.0000,1,393216,4096,1
1773186410.8458502,adaptive,/archive.tar,393216,65536,sequential,1.0000,1,458752,4096,1
1773186410.846913,adaptive,/archive.tar,458752,65536,sequential,1.0000,1,524288,4096,1
1773186410.848022,adaptive,/archive.tar,524288,65536,sequential,1.0000,1,589824,4096,1
1773186410.849044,adaptive,/archive.tar,589824,65536,sequential,1.0000,1,655360,4096,1
1773186410.850024,adaptive,/archive.tar,655360,65536,sequential,1.0000,1,720896,4096,1
1773186410.8511229,adaptive,/archive.tar,720896,65536,sequential,1.0000,1,786432,4096,1
1773186410.852146,adaptive,/archive.tar,786432,65536,sequential,1.0000,1,851968,4096,1
1773186410.8531158,adaptive,/archive.tar,851968,65536,sequential,1.0000,1,917504,4096,1
1773186410.8544252,adaptive,/archive.tar,917504,65536,sequential,1.0000,1,983040,4096,1
1773186410.85636,adaptive,/archive.tar,983040,65536,sequential,1.0000,1,1048576,4096,1
1773186410.8579562,adaptive,/archive.tar,1048576,65536,sequential,1.0000,1,1114112,4096,1
1773186410.8593438,adaptive,/archive.tar,1114112,65536,sequential,1.0000,1,1179648,4096,1
1773186410.860876,adaptive,/archive.tar,1179648,65536,sequential,1.0000,1,1245184,4096,1
1773186410.862047,adaptive,/archive.tar,1245184,65536,sequential,1.0000,1,1310720,4096,1
1773186410.863371,adaptive,/archive.tar,1310720,65536,sequential,1.0000,1,1376256,4096,1
1773186410.8644202,adaptive,/archive.tar,1376256,65536,sequential,1.0000,1,1441792,4096,1
1773186410.865154,adaptive,/archive.tar,1441792,65536,sequential,1.0000,1,1507328,4096,1
1773186410.8661702,adaptive,/archive.tar,1507328,65536,sequential,1.0000,1,1572864,4096,1
1773186410.867022,adaptive,/archive.tar,1572864,65536,sequential,1.0000,1,1638400,4096,1
1773186410.8681011,adaptive,/archive.tar,1638400,65536,sequential,1.0000,1,1703936,4096,1
1773186410.869036,adaptive,/archive.tar,1703936,65536,sequential,1.0000,1,1769472,4096,1
1773186410.870293,adaptive,/archive.tar,1769472,65536,sequential,1.0000,1,1835008,4096,1
1773186410.87334,adaptive,/archive.tar,1835008,62976,sequential,1.0000,1,1897984,4096,1
