timestamp,mode,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size,prefetch_depth
1773186157.5327191,baseline,/archive.tar,0,65536,unknown,0.0000,1,65536,4096,1
1773186157.535151,baseline,/archive.tar,65536,65536,sequential,1.0000,1,131072,4096,1
1773186157.5362759,baseline,/archive.tar,131072,65536,sequential,1.0000,1,196608,4096,1
1773186157.538312,baseline,/archive.tar,196608,65536,sequential,1.0000,1,262144,4096,1
1773186157.540071,baseline,/archive.tar,262144,65536,sequential,1.0000,1,327680,4096,1
1773186157.541677,baseline,/archive.tar,327680,65536,sequential,1.0000,1,393216,4096,1
1773186157.5430899,baseline,/archive.tar,393216,65536,sequential,1.0000,1,458752,4096,1
1773186157.5447328,baseline,/archive.tar,458752,65536,sequential,1.0000,1,524288,4096,1
1773186157.546002,baseline,/archive.tar,524288,65536,sequential,1.0000,1,589824,4096,1
1773186157.5471082,baseline,/archive.tar,589824,65536,sequential,1.0000,1,655360,4096,1
1773186157.5484438,baseline,/archive.tar,655360,65536,sequential,1.0000,1,720896,4096,1
1773186157.549459,baseline,/archive.tar,720896,65536,sequential,1.0000,1,786432,4096,1
1773186157.5505762,baseline,/archive.tar,786432,65536,sequential,1.0000,1,851968,4096,1
1773186157.5515609,baseline,/archive.tar,851968,65536,sequential,1.0000,1,917504,4096,1
1773186157.552671,baseline,/archive.tar,917504,65536,sequential,1.0000,1,983040,4096,1
1773186157.553525,baseline,/archive.tar,983040,65536,sequential,1.0000,1,1048576,4096,1
1773186157.554652,baseline,/archive.tar,1048576,65536,sequential,1.0000,1,1114112,4096,1
1773186157.555521,baseline,/archive.tar,1114112,65536,sequential,1.0000,1,1179648,4096,1
1773186157.5566049,baseline,/archive.tar,1179648,65536,sequential,1.0000,1,1245184,4096,1
1773186157.5574489,baseline,/archive.tar,1245184,65536,sequential,1.0000,1,1310720,4096,1
1773186157.558474,baseline,/archive.tar,1310720,65536,sequential,1.0000,1,1376256,4096,1
1773186157.559364,baseline,/archive.tar,1376256,65536,sequential,1.0000,1,1441792,4096,1
1773186157.560184,baseline,/archive.tar,1441792,65536,sequential,1.0000,1,1507328,4096,1
1773186157.561219,baseline,/archive.tar,1507328,65536,sequential,1.0000,1,1572864,4096,1
1773186157.562015,baseline,/archive.tar,1572864,65536,sequential,1.0000,1,1638400,4096,1
1773186157.5630238,baseline,/archive.tar,1638400,65536,sequential,1.0000,1,1703936,4096,1
1773186157.563825,baseline,/archive.tar,1703936,65536,sequential,1.0000,1,1769472,4096,1
1773186157.564852,baseline,/archive.tar,1769472,65536,sequential,1.0000,1,1835008,4096,1
1773186157.565709,baseline,/archive.tar,1835008,62976,sequential,1.0000,1,1897984,4096,1
