seq,timestamp,path,offset,size
98271,1773185908.423195,/archive.tar,0,65536
98272,1773185908.4254348,/archive.tar,65536,65536
98273,1773185908.426832,/archive.tar,131072,65536
98274,1773185908.4285681,/archive.tar,196608,65536
98275,1773185908.429952,/archive.tar,262144,65536
98276,1773185908.43153,/archive.tar,327680,65536
98277,1773185908.432769,/archive.tar,393216,65536
98278,1773185908.4342139,/archive.tar,458752,65536
98279,1773185908.4353878,/archive.tar,524288,65536
98280,1773185908.4367309,/archive.tar,589824,65536
98281,1773185908.437846,/archive.tar,655360,65536
98282,1773185908.4388921,/archive.tar,720896,65536
98283,1773185908.440213,/archive.tar,786432,65536
98284,1773185908.4411688,/archive.tar,851968,65536
98285,1773185908.4424162,/archive.tar,917504,65536
98286,1773185908.44336,/archive.tar,983040,65536
98287,1773185908.4446132,/archive.tar,1048576,65536
98288,1773185908.4455712,/archive.tar,1114112,65536
98289,1773185908.446812,/archive.tar,1179648,65536
98290,1773185908.447896,/archive.tar,1245184,65536
98291,1773185908.4490292,/archive.tar,1310720,65536
98292,1773185908.450043,/archive.tar,1376256,65536
98293,1773185908.450971,/archive.tar,1441792,65536
98294,1773185908.452183,/archive.tar,1507328,65536
98295,1773185908.453059,/archive.tar,1572864,65536
98296,1773185908.4542148,/archive.tar,1638400,65536
98297,1773185908.455063,/archive.tar,1703936,65536
98298,1773185908.456185,/archive.tar,1769472,65536
98299,1773185908.457042,/archive.tar,1835008,62976
