workload,mode,n,avg_real,std_real,ci95_real,min_real,max_real,overhead_vs_native
sequential,native,20,0.0219,0.0052,0.0023,0.0110,0.0270,0.0%
sequential,none,20,0.0613,0.0035,0.0016,0.0500,0.0690,+180.3%
sequential,baseline,20,0.0853,0.0102,0.0045,0.0740,0.1240,+290.2%
sequential,adaptive,20,0.0829,0.0032,0.0014,0.0740,0.0860,+279.6%
sequential,adaptive_depth1,20,0.0823,0.0038,0.0016,0.0720,0.0870,+276.4%
sequential,adaptive_depth2,20,0.0853,0.0035,0.0015,0.0750,0.0920,+290.4%
sequential,adaptive_depth4,20,0.0865,0.0061,0.0027,0.0740,0.1070,+296.1%
sequential,adaptive_depth8,20,0.0932,0.0013,0.0005,0.0910,0.0950,+326.8%
random,native,20,0.0324,0.0036,0.0016,0.0210,0.0360,0.0%
random,none,20,0.0339,0.0035,0.0015,0.0230,0.0370,+4.6%
random,baseline,20,0.0344,0.0043,0.0019,0.0230,0.0380,+6.3%
random,adaptive,20,0.0340,0.0041,0.0018,0.0230,0.0370,+4.9%
random,adaptive_depth1,20,0.0337,0.0044,0.0019,0.0230,0.0370,+4.2%
random,adaptive_depth2,20,0.0341,0.0039,0.0017,0.0230,0.0380,+5.6%
random,adaptive_depth4,20,0.0350,0.0015,0.0006,0.0310,0.0370,+8.2%
random,adaptive_depth8,20,0.0338,0.0040,0.0017,0.0230,0.0370,+4.5%
phase_change,native,20,0.0621,0.0053,0.0023,0.0490,0.0670,0.0%
phase_change,none,20,0.1447,0.0038,0.0016,0.1320,0.1510,+133.1%
phase_change,baseline,20,0.1940,0.0055,0.0024,0.1840,0.2060,+212.3%
phase_change,adaptive,20,0.1920,0.0051,0.0022,0.1840,0.2090,+209.3%
phase_change,adaptive_depth1,20,0.1918,0.0056,0.0025,0.1800,0.2020,+208.9%
phase_change,adaptive_depth2,20,0.1969,0.0064,0.0028,0.1840,0.2130,+217.0%
phase_change,adaptive_depth4,20,0.2004,0.0040,0.0018,0.1930,0.2140,+222.7%
phase_change,adaptive_depth8,20,0.2196,0.0093,0.0041,0.2020,0.2430,+253.6%
tar_workload,native,20,0.0504,0.0035,0.0015,0.0410,0.0540,0.0%
tar_workload,none,20,0.0522,0.0046,0.0020,0.0410,0.0630,+3.6%
tar_workload,baseline,20,0.0536,0.0025,0.0011,0.0440,0.0560,+6.2%
tar_workload,adaptive,20,0.0538,0.0056,0.0025,0.0420,0.0730,+6.7%
tar_workload,adaptive_depth1,20,0.0537,0.0054,0.0024,0.0410,0.0730,+6.5%
tar_workload,adaptive_depth2,20,0.0527,0.0038,0.0017,0.0410,0.0560,+4.6%
tar_workload,adaptive_depth4,20,0.0544,0.0048,0.0021,0.0430,0.0670,+7.9%
tar_workload,adaptive_depth8,20,0.0535,0.0024,0.0010,0.0440,0.0560,+6.2%
python_import,native,20,0.0191,0.0039,0.0017,0.0090,0.0240,0.0%
python_import,none,20,0.0392,0.0054,0.0024,0.0280,0.0490,+105.2%
python_import,baseline,20,0.0422,0.0037,0.0016,0.0310,0.0480,+121.2%
python_import,adaptive,20,0.0385,0.0038,0.0017,0.0270,0.0440,+101.6%
python_import,adaptive_depth1,20,0.0396,0.0041,0.0018,0.0270,0.0490,+107.3%
python_import,adaptive_depth2,20,0.0392,0.0044,0.0019,0.0270,0.0460,+105.0%
python_import,adaptive_depth4,20,0.0393,0.0011,0.0005,0.0360,0.0410,+105.5%
python_import,adaptive_depth8,20,0.0399,0.0013,0.0006,0.0370,0.0430,+108.6%
cache_lookup_workload,native,20,2.4577,0.0183,0.0080,2.4280,2.4990,0.0%
cache_lookup_workload,none,20,2.4778,0.0212,0.0093,2.4510,2.5320,+0.8%
cache_lookup_workload,baseline,20,2.4818,0.0183,0.0080,2.4410,2.5060,+1.0%
cache_lookup_workload,adaptive,20,2.5554,0.0911,0.0399,2.4550,2.7070,+4.0%
cache_lookup_workload,adaptive_depth1,20,2.4761,0.0147,0.0065,2.4600,2.5250,+0.8%
cache_lookup_workload,adaptive_depth2,20,2.6920,0.0347,0.0152,2.6230,2.7560,+9.5%
cache_lookup_workload,adaptive_depth4,20,2.4754,0.0157,0.0069,2.4560,2.5090,+0.7%
cache_lookup_workload,adaptive_depth8,20,2.4687,0.0116,0.0051,2.4490,2.4850,+0.4%
