run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,decay_rate,seek_delta,prefetch,prefetch_offset,prefetch_size,prefetch_depth
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.481275,/big.txt,33918976,4096,unknown,0.0000,0.0000,0,1,33923072,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.4916494,/big.txt,43741184,4096,irregular,0.0000,0.0000,9818112,1,43745280,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.5020676,/big.txt,26480640,4096,irregular,0.0000,0.0000,17264640,1,26484736,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.5125108,/big.txt,32276480,4096,irregular,0.0000,0.0000,5791744,1,32280576,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.523162,/big.txt,25919488,4096,irregular,0.0000,0.0000,6361088,1,25923584,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.5336869,/big.txt,15441920,4096,irregular,0.0000,0.0000,10481664,1,15446016,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.5442803,/big.txt,39231488,4096,irregular,0.0000,0.0000,23785472,1,39235584,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.5549178,/big.txt,63918080,4096,irregular,0.0000,0.0000,24682496,1,63922176,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.5655618,/big.txt,74878976,4096,irregular,0.0000,0.0000,10956800,1,74883072,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.5762072,/big.txt,82051072,4096,irregular,0.0000,0.0000,7168000,1,82055168,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.5869098,/big.txt,31916032,4096,irregular,0.0000,0.0000,50139136,1,31920128,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.5975928,/big.txt,19521536,4096,irregular,0.0000,0.0000,12398592,1,19525632,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.6082757,/big.txt,74608640,4096,irregular,0.0000,0.0000,55083008,1,74612736,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.6189835,/big.txt,84643840,4096,irregular,0.0000,0.0000,10031104,1,84647936,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.629713,/big.txt,88731648,4096,irregular,0.0000,0.0000,4083712,1,88735744,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.6404395,/big.txt,67190784,4096,irregular,0.0000,0.0000,21544960,1,67194880,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.651136,/big.txt,323584,4096,irregular,0.0000,0.0000,66871296,1,327680,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.6618714,/big.txt,37572608,4096,irregular,0.0000,0.0000,37244928,1,37576704,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.6725955,/big.txt,3805184,4096,irregular,0.0000,0.0000,33771520,1,3809280,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.6832678,/big.txt,66723840,4096,irregular,0.0000,0.0000,62914560,1,66727936,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.6939847,/big.txt,23175168,4096,irregular,0.0000,0.0000,43552768,1,23179264,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.7046793,/big.txt,25665536,4096,irregular,0.0000,0.0000,2486272,1,25669632,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.7153454,/big.txt,68087808,4096,irregular,0.0000,0.0000,42418176,1,68091904,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.7260325,/big.txt,52150272,4096,irregular,0.0000,0.0000,15941632,1,52154368,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.7367516,/big.txt,24543232,4096,irregular,0.0000,0.0000,27611136,1,24547328,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.7473748,/big.txt,44490752,4096,irregular,0.0000,0.0000,19943424,1,44494848,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.7580605,/big.txt,43147264,4096,irregular,0.0000,0.0000,1347584,1,43151360,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.7687428,/big.txt,15740928,4096,irregular,0.0000,0.0000,27410432,1,15745024,4096,1
314,314_baseline_cache_lookup_workload_run14,baseline,cache_lookup_workload,1778259363.7794135,/big.txt,11698176,4096,irregular,0.0000,0.0000,4046848,1,11702272,4096,1
