run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size,prefetch_depth
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.3857818,/big.txt,33918976,4096,unknown,0.0000,1,33923072,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.396168,/big.txt,43741184,4096,irregular,0.0000,1,43745280,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.406586,/big.txt,26480640,4096,irregular,0.0000,1,26484736,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.417041,/big.txt,32276480,4096,irregular,0.0000,1,32280576,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.4275527,/big.txt,25919488,4096,irregular,0.0000,1,25923584,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.4381526,/big.txt,15441920,4096,irregular,0.0000,1,15446016,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.4487865,/big.txt,39231488,4096,irregular,0.0000,1,39235584,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.4594462,/big.txt,63918080,4096,irregular,0.0000,1,63922176,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.4701273,/big.txt,74878976,4096,irregular,0.0000,1,74883072,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.4810724,/big.txt,82051072,4096,irregular,0.0000,1,82055168,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.4917617,/big.txt,31916032,4096,irregular,0.0000,1,31920128,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.5024648,/big.txt,19521536,4096,irregular,0.0000,1,19525632,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.5131516,/big.txt,74608640,4096,irregular,0.0000,1,74612736,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.5238328,/big.txt,84643840,4096,irregular,0.0000,1,84647936,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.5345201,/big.txt,88731648,4096,irregular,0.0000,1,88735744,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.5452285,/big.txt,67190784,4096,irregular,0.0000,1,67194880,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.5559487,/big.txt,323584,4096,irregular,0.0000,1,327680,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.5666652,/big.txt,37572608,4096,irregular,0.0000,1,37576704,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.577388,/big.txt,3805184,4096,irregular,0.0000,1,3809280,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.5880966,/big.txt,66723840,4096,irregular,0.0000,1,66727936,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.5988507,/big.txt,23175168,4096,irregular,0.0000,1,23179264,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.6095743,/big.txt,25665536,4096,irregular,0.0000,1,25669632,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.6202912,/big.txt,68087808,4096,irregular,0.0000,1,68091904,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.6310556,/big.txt,52150272,4096,irregular,0.0000,1,52154368,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.641802,/big.txt,24543232,4096,irregular,0.0000,1,24547328,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.6525102,/big.txt,44490752,4096,irregular,0.0000,1,44494848,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.6632283,/big.txt,43147264,4096,irregular,0.0000,1,43151360,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.6739082,/big.txt,15740928,4096,irregular,0.0000,1,15745024,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.6845937,/big.txt,11698176,4096,irregular,0.0000,1,11702272,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.6952631,/big.txt,73949184,4096,irregular,0.0000,1,73953280,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.7059426,/big.txt,104517632,4096,irregular,0.0000,1,104521728,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.7166255,/big.txt,34942976,4096,irregular,0.0000,1,34947072,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.7272766,/big.txt,71667712,4096,irregular,0.0000,1,71671808,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.7379785,/big.txt,63033344,4096,irregular,0.0000,1,63037440,4096,1
237,237_baseline_cache_lookup_workload_run17,baseline,cache_lookup_workload,1773855051.7486713,/big.txt,27508736,4096,irregular,0.0000,1,27512832,4096,1
