run_index,run_label,mode,workload,seq,timestamp,path,offset,size
,,adaptive,,1,1773859585.3349266,/big.txt,491520,4096
,,adaptive,,2,1773859585.3351362,/big.txt,1228800,4096
,,adaptive,,3,1773859585.3352435,/big.txt,20480,4096
,,adaptive,,4,1773859585.3354857,/big.txt,1024000,4096
,,adaptive,,5,1773859585.3355565,/big.txt,360448,4096
,,adaptive,,6,1773859585.33586,/big.txt,69632,4096
,,adaptive,,7,1773859585.3361206,/big.txt,40960,4096
,,adaptive,,8,1773859585.336201,/big.txt,778240,4096
,,adaptive,,9,1773859585.3362987,/big.txt,172032,4096
,,adaptive,,10,1773859585.336375,/big.txt,245760,4096
,,adaptive,,11,1773859585.3365686,/big.txt,1363968,4096
,,adaptive,,12,1773859585.3367863,/big.txt,819200,4096
,,adaptive,,13,1773859585.336878,/big.txt,307200,4096
,,adaptive,,14,1773859585.3369694,/big.txt,2097152,4096
,,adaptive,,15,1773859585.3370605,/big.txt,1843200,4096
,,adaptive,,16,1773859585.3371327,/big.txt,2457600,4096
,,adaptive,,17,1773859585.3371634,/big.txt,405504,4096
,,adaptive,,18,1773859585.3371994,/big.txt,614400,4096
,,adaptive,,19,1773859585.3372304,/big.txt,1556480,4096
,,adaptive,,20,1773859585.3374412,/big.txt,2949120,4096
