run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size,prefetch_depth
,,adaptive,,1773859600.465991,/big.txt,20480,4096,unknown,0.0000,0,,,1
,,adaptive,,1773859600.4661286,/big.txt,491520,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.466186,/big.txt,1228800,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.46645,/big.txt,1024000,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.4665911,/big.txt,172032,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.4667797,/big.txt,245760,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.4670677,/big.txt,69632,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.4671376,/big.txt,360448,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.4673338,/big.txt,40960,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.4674163,/big.txt,778240,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.4676888,/big.txt,307200,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.467742,/big.txt,1363968,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.4678621,/big.txt,2097152,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.468028,/big.txt,819200,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.4681613,/big.txt,614400,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.468236,/big.txt,405504,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.4683073,/big.txt,1556480,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.468383,/big.txt,1843200,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.468526,/big.txt,2949120,4096,irregular,0.0000,0,,,1
,,adaptive,,1773859600.4687345,/big.txt,2457600,4096,irregular,0.0000,0,,,1
