run_index,run_label,mode,workload,seq,timestamp,path,offset,size
,,baseline,,1,1773859573.2150686,/big.txt,172032,4096
,,baseline,,2,1773859573.2153227,/big.txt,491520,4096
,,baseline,,3,1773859573.2154374,/big.txt,1228800,4096
,,baseline,,4,1773859573.215538,/big.txt,20480,4096
,,baseline,,5,1773859573.2159052,/big.txt,1024000,4096
,,baseline,,6,1773859573.2160451,/big.txt,360448,4096
,,baseline,,7,1773859573.2162623,/big.txt,778240,4096
,,baseline,,8,1773859573.2164006,/big.txt,245760,4096
,,baseline,,9,1773859573.2167914,/big.txt,40960,4096
,,baseline,,10,1773859573.217042,/big.txt,69632,4096
,,baseline,,11,1773859573.2171884,/big.txt,1363968,4096
,,baseline,,12,1773859573.2172675,/big.txt,2097152,4096
,,baseline,,13,1773859573.2173197,/big.txt,307200,4096
,,baseline,,14,1773859573.2174535,/big.txt,2457600,4096
,,baseline,,15,1773859573.217545,/big.txt,405504,4096
,,baseline,,16,1773859573.2176013,/big.txt,614400,4096
,,baseline,,17,1773859573.217651,/big.txt,1843200,4096
,,baseline,,18,1773859573.217699,/big.txt,819200,4096
,,baseline,,19,1773859573.217753,/big.txt,2949120,4096
,,baseline,,20,1773859573.2178187,/big.txt,1556480,4096
