run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size,prefetch_depth
,,baseline,,1773859533.8484612,/big.txt,491520,4096,unknown,0.0000,1,495616,4096,1
,,baseline,,1773859533.8486118,/big.txt,172032,4096,irregular,0.0000,1,176128,4096,1
,,baseline,,1773859533.8487153,/big.txt,20480,4096,irregular,0.0000,1,24576,4096,1
,,baseline,,1773859533.8488142,/big.txt,1228800,4096,irregular,0.0000,1,1232896,4096,1
,,baseline,,1773859533.849039,/big.txt,69632,4096,irregular,0.0000,1,73728,4096,1
,,baseline,,1773859533.8494174,/big.txt,360448,4096,irregular,0.0000,1,364544,4096,1
,,baseline,,1773859533.849546,/big.txt,778240,4096,irregular,0.0000,1,782336,4096,1
,,baseline,,1773859533.8497431,/big.txt,245760,4096,irregular,0.0000,1,249856,4096,1
,,baseline,,1773859533.8498604,/big.txt,1024000,4096,irregular,0.0000,1,1028096,4096,1
,,baseline,,1773859533.8500628,/big.txt,1363968,4096,irregular,0.0000,1,1368064,4096,1
,,baseline,,1773859533.8502438,/big.txt,40960,4096,irregular,0.0000,1,45056,4096,1
,,baseline,,1773859533.8504245,/big.txt,307200,4096,irregular,0.0000,1,311296,4096,1
,,baseline,,1773859533.8505306,/big.txt,2097152,4096,irregular,0.0000,1,2101248,4096,1
,,baseline,,1773859533.8506868,/big.txt,819200,4096,irregular,0.0000,1,823296,4096,1
,,baseline,,1773859533.8507953,/big.txt,405504,4096,irregular,0.0000,1,409600,4096,1
,,baseline,,1773859533.850871,/big.txt,1843200,4096,irregular,0.0000,1,1847296,4096,1
,,baseline,,1773859533.8510282,/big.txt,614400,4096,irregular,0.0000,1,618496,4096,1
,,baseline,,1773859533.8511574,/big.txt,2457600,4096,irregular,0.0000,1,2461696,4096,1
,,baseline,,1773859533.8512378,/big.txt,2949120,4096,irregular,0.0000,1,2953216,4096,1
,,baseline,,1773859533.851325,/big.txt,1556480,4096,irregular,0.0000,1,1560576,4096,1
