run_index,run_label,mode,workload,seq,timestamp,path,offset,size
,,none,,1,1773859506.5979338,/big.txt,20480,4096
,,none,,2,1773859506.598145,/big.txt,491520,4096
,,none,,3,1773859506.598287,/big.txt,1228800,4096
,,none,,4,1773859506.5984976,/big.txt,1024000,4096
,,none,,5,1773859506.5986402,/big.txt,778240,4096
,,none,,6,1773859506.5988412,/big.txt,1363968,4096
,,none,,7,1773859506.5990784,/big.txt,69632,4096
,,none,,8,1773859506.59916,/big.txt,172032,4096
,,none,,9,1773859506.5992177,/big.txt,360448,4096
,,none,,10,1773859506.599444,/big.txt,40960,4096
,,none,,11,1773859506.5997117,/big.txt,2097152,4096
,,none,,12,1773859506.5998852,/big.txt,307200,4096
,,none,,13,1773859506.6001167,/big.txt,245760,4096
,,none,,14,1773859506.6001854,/big.txt,819200,4096
,,none,,15,1773859506.6003177,/big.txt,1843200,4096
,,none,,16,1773859506.6003928,/big.txt,614400,4096
,,none,,17,1773859506.60052,/big.txt,1556480,4096
,,none,,18,1773859506.6005926,/big.txt,405504,4096
,,none,,19,1773859506.6006587,/big.txt,2457600,4096
,,none,,20,1773859506.600784,/big.txt,2949120,4096
