run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,decay_rate,seek_delta,prefetch,prefetch_offset,prefetch_size,prefetch_depth,cache_hit,false_negative
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1023629,/big.txt,0,4096,unknown,0.0000,0.0000,0,0,,,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1037805,/big.txt,4096,4096,sequential,1.0000,0.0000,0,1,8192,4096,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1050687,/big.txt,8192,4096,sequential,1.0000,0.0000,0,1,12288,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1062899,/big.txt,12288,4096,sequential,1.0000,0.0000,0,1,16384,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1075685,/big.txt,16384,4096,sequential,1.0000,0.0000,0,1,20480,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1088538,/big.txt,20480,4096,sequential,1.0000,0.0000,0,1,24576,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1101282,/big.txt,24576,4096,sequential,1.0000,0.0000,0,1,28672,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1114447,/big.txt,28672,4096,sequential,1.0000,0.0000,0,1,32768,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1127496,/big.txt,32768,4096,sequential,1.0000,0.0000,0,1,36864,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1140318,/big.txt,40960,4096,irregular,0.7500,0.2500,4096,0,,,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1154084,/big.txt,45056,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.116804,/big.txt,49152,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1181974,/big.txt,53248,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1196434,/big.txt,57344,4096,sequential,1.0000,0.0000,0,1,61440,4096,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1211913,/big.txt,61440,4096,sequential,1.0000,0.0000,0,1,65536,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1227388,/big.txt,65536,4096,sequential,1.0000,0.0000,0,1,69632,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1242843,/big.txt,69632,4096,sequential,1.0000,0.0000,0,1,73728,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1259224,/big.txt,77824,4096,irregular,0.7500,0.2500,4096,0,,,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1276083,/big.txt,81920,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1293285,/big.txt,86016,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1310759,/big.txt,90112,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1327662,/big.txt,94208,4096,sequential,1.0000,0.0000,0,1,98304,4096,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1344562,/big.txt,98304,4096,sequential,1.0000,0.0000,0,1,102400,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1361415,/big.txt,102400,4096,sequential,1.0000,0.0000,0,1,106496,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1378398,/big.txt,106496,4096,sequential,1.0000,0.0000,0,1,110592,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1395943,/big.txt,114688,4096,irregular,0.7500,0.2500,4096,0,,,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.14131,/big.txt,118784,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1429942,/big.txt,122880,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1446676,/big.txt,126976,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1463609,/big.txt,131072,4096,sequential,1.0000,0.0000,0,1,135168,4096,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1480622,/big.txt,135168,4096,sequential,1.0000,0.0000,0,1,139264,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.149791,/big.txt,139264,4096,sequential,1.0000,0.0000,0,1,143360,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1516972,/big.txt,143360,4096,sequential,1.0000,0.0000,0,1,147456,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1535447,/big.txt,151552,4096,irregular,0.7500,0.2500,4096,0,,,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1554074,/big.txt,155648,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1572475,/big.txt,159744,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.159095,/big.txt,163840,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1609592,/big.txt,167936,4096,sequential,1.0000,0.0000,0,1,172032,4096,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.162854,/big.txt,172032,4096,sequential,1.0000,0.0000,0,1,176128,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1647394,/big.txt,176128,4096,sequential,1.0000,0.0000,0,1,180224,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1666088,/big.txt,180224,4096,sequential,1.0000,0.0000,0,1,184320,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1684504,/big.txt,188416,4096,irregular,0.7500,0.2500,4096,0,,,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1703162,/big.txt,192512,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1721854,/big.txt,196608,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.174045,/big.txt,200704,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1759372,/big.txt,204800,4096,sequential,1.0000,0.0000,0,1,208896,4096,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1778333,/big.txt,208896,4096,sequential,1.0000,0.0000,0,1,212992,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1797242,/big.txt,212992,4096,sequential,1.0000,0.0000,0,1,217088,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1815894,/big.txt,217088,4096,sequential,1.0000,0.0000,0,1,221184,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.183448,/big.txt,225280,4096,irregular,0.7500,0.2500,4096,0,,,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1853063,/big.txt,229376,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.187164,/big.txt,233472,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1890032,/big.txt,237568,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1909049,/big.txt,241664,4096,sequential,1.0000,0.0000,0,1,245760,4096,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1927798,/big.txt,245760,4096,sequential,1.0000,0.0000,0,1,249856,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1946504,/big.txt,249856,4096,sequential,1.0000,0.0000,0,1,253952,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1965353,/big.txt,253952,4096,sequential,1.0000,0.0000,0,1,258048,4096,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.1983733,/big.txt,262144,4096,irregular,0.7500,0.2500,4096,0,,,1,1,0
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.2002695,/big.txt,266240,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.202115,/big.txt,270336,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.203999,/big.txt,274432,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.205877,/big.txt,278528,4096,sequential,1.0000,0.0000,0,1,282624,4096,1,1,1
391,391_adaptive_gradual_drift_run11,adaptive,gradual_drift,1778276308.2078283,/big.txt,282624,4096,sequential,1.0000,0.0000,0,1,286720,4096,1,1,0
