run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,decay_rate,seek_delta,prefetch,prefetch_offset,prefetch_size,prefetch_depth
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9553378,/big.txt,0,4096,unknown,0.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9554582,/big.txt,4096,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.95556,/big.txt,8192,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9556468,/big.txt,12288,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9557054,/big.txt,16384,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9557629,/big.txt,20480,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.955939,/big.txt,24576,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.955995,/big.txt,28672,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9560497,/big.txt,32768,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9561043,/big.txt,40960,4096,irregular,0.7500,0.2500,4096,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.956159,/big.txt,45056,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9562132,/big.txt,49152,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9562693,/big.txt,53248,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9563222,/big.txt,57344,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.956375,/big.txt,61440,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9564278,/big.txt,65536,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9564838,/big.txt,69632,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.956537,/big.txt,77824,4096,irregular,0.7500,0.2500,4096,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.956593,/big.txt,81920,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9566464,/big.txt,86016,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.956701,/big.txt,90112,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9567537,/big.txt,94208,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.956807,/big.txt,98304,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9568627,/big.txt,102400,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.95692,/big.txt,106496,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9569752,/big.txt,114688,4096,irregular,0.7500,0.2500,4096,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9570298,/big.txt,118784,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9570835,/big.txt,122880,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.957138,/big.txt,126976,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9571927,/big.txt,131072,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9572456,/big.txt,135168,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.957299,/big.txt,139264,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.957364,/big.txt,143360,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9574182,/big.txt,151552,4096,irregular,0.7500,0.2500,4096,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.957472,/big.txt,155648,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9575255,/big.txt,159744,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9575794,/big.txt,163840,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9576328,/big.txt,167936,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9576921,/big.txt,172032,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9577463,/big.txt,176128,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9578025,/big.txt,180224,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9578567,/big.txt,188416,4096,irregular,0.7500,0.2500,4096,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.957917,/big.txt,192512,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9579716,/big.txt,196608,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9580276,/big.txt,200704,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9580834,/big.txt,204800,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9581397,/big.txt,208896,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9581947,/big.txt,212992,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9582484,/big.txt,217088,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9583044,/big.txt,225280,4096,irregular,0.7500,0.2500,4096,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9583588,/big.txt,229376,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.958413,/big.txt,233472,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.958467,/big.txt,237568,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.958521,/big.txt,241664,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.958575,/big.txt,245760,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9586291,/big.txt,249856,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9586842,/big.txt,253952,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9587379,/big.txt,262144,4096,irregular,0.7500,0.2500,4096,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9588268,/big.txt,266240,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9588969,/big.txt,270336,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9589508,/big.txt,274432,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9590046,/big.txt,278528,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9590638,/big.txt,282624,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9591184,/big.txt,286720,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9591744,/big.txt,290816,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9592392,/big.txt,299008,4096,irregular,0.7500,0.2500,4096,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9592946,/big.txt,303104,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9593487,/big.txt,307200,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9594033,/big.txt,311296,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9594579,/big.txt,315392,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9595122,/big.txt,319488,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9595664,/big.txt,323584,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.959621,/big.txt,327680,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.959675,/big.txt,335872,4096,irregular,0.7500,0.2500,4096,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9597313,/big.txt,339968,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.959786,/big.txt,344064,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9598448,/big.txt,348160,4096,irregular,0.7500,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.959901,/big.txt,352256,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9599562,/big.txt,356352,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.9600108,/big.txt,360448,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.960067,/big.txt,364544,4096,sequential,1.0000,0.0000,0,0,,,1
76,076_none_gradual_drift_run16,none,gradual_drift,1778258558.960124,/big.txt,372736,4096,irregular,0.7500,0.2500,4096,0,,,1
