workload,run,real_sec,user_sec,sys_sec
sequential,1,1.9380,0.0020,0.0200
sequential,2,1.8740,0.0130,0.0090
sequential,3,1.8970,0.0050,0.0180
sequential,4,1.7080,0.0020,0.0180
sequential,5,1.8990,0.0040,0.0180
sequential,6,1.8850,0.0020,0.0200
sequential,7,1.9030,0.0060,0.0160
sequential,8,1.9100,0.0080,0.0150
sequential,9,1.8400,0.0180,0.0030
sequential,10,1.8640,0.0050,0.0170
sequential,11,1.9060,0.0010,0.0220
sequential,12,1.8920,0.0100,0.0110
sequential,13,1.9090,0.0020,0.0210
sequential,14,1.9050,0.0050,0.0180
sequential,15,1.8400,0.0040,0.0160
sequential,16,1.8830,0.0040,0.0180
sequential,17,1.9220,0.0130,0.0090
sequential,18,1.9090,0.0090,0.0130
sequential,19,1.9260,0.0050,0.0170
sequential,20,1.8560,0.0020,0.0200
random,1,0.0760,0.0230,0.0060
random,2,0.0810,0.0240,0.0080
random,3,0.0820,0.0160,0.0170
random,4,0.0810,0.0200,0.0110
random,5,0.0820,0.0170,0.0160
random,6,0.0830,0.0240,0.0080
random,7,0.0810,0.0210,0.0100
random,8,0.0800,0.0250,0.0060
random,9,0.0830,0.0160,0.0140
random,10,0.0800,0.0190,0.0120
random,11,0.0820,0.0180,0.0150
random,12,0.0810,0.0180,0.0140
random,13,0.0790,0.0180,0.0140
random,14,0.0820,0.0210,0.0120
random,15,0.0720,0.0190,0.0080
random,16,0.0800,0.0240,0.0090
random,17,0.0810,0.0260,0.0060
random,18,0.0790,0.0220,0.0090
random,19,0.0630,0.0170,0.0060
random,20,0.0820,0.0200,0.0130
phase_change,1,3.7290,0.0260,0.0430
phase_change,2,3.5560,0.0300,0.0370
phase_change,3,3.4630,0.0390,0.0260
phase_change,4,3.5360,0.0270,0.0410
phase_change,5,3.3390,0.0280,0.0360
phase_change,6,3.4610,0.0460,0.0190
phase_change,7,3.4960,0.0260,0.0400
phase_change,8,3.5530,0.0280,0.0390
phase_change,9,2.9150,0.0210,0.0270
phase_change,10,3.6240,0.0280,0.0390
phase_change,11,2.9340,0.0200,0.0300
phase_change,12,2.2920,0.0280,0.0150
phase_change,13,2.4830,0.0270,0.0200
phase_change,14,3.6550,0.0260,0.0420
phase_change,15,3.4370,0.0210,0.0380
phase_change,16,3.3790,0.0240,0.0420
phase_change,17,3.0820,0.0240,0.0360
phase_change,18,2.7900,0.0310,0.0220
phase_change,19,2.7970,0.0210,0.0260
phase_change,20,2.9480,0.0220,0.0290
gradual_drift,1,0.2480,0.0160,0.0080
gradual_drift,2,0.2560,0.0170,0.0080
gradual_drift,3,0.3050,0.0190,0.0080
gradual_drift,4,0.2490,0.0160,0.0090
gradual_drift,5,0.2910,0.0180,0.0090
gradual_drift,6,0.3170,0.0170,0.0090
gradual_drift,7,0.2810,0.0180,0.0070
