workload,run,real_sec,user_sec,sys_sec
sequential,1,2.0540,0.0080,0.0150
sequential,2,1.9370,0.0120,0.0110
sequential,3,1.9280,0.0080,0.0140
sequential,4,1.9650,0.0030,0.0200
sequential,5,1.9220,0.0140,0.0090
sequential,6,1.9350,0.0100,0.0120
sequential,7,1.9170,0.0040,0.0180
sequential,8,1.7770,0.0020,0.0190
sequential,9,1.9470,0.0190,0.0030
sequential,10,1.9260,0.0010,0.0220
sequential,11,1.3390,0.0040,0.0130
sequential,12,1.9370,0.0190,0.0030
sequential,13,1.9080,0.0050,0.0180
sequential,14,1.5820,0.0020,0.0180
sequential,15,1.9180,0.0020,0.0210
sequential,16,1.9090,0.0010,0.0200
sequential,17,1.8950,0.0080,0.0140
sequential,18,1.9400,0.0110,0.0110
sequential,19,1.9470,0.0040,0.0180
sequential,20,1.3720,0.0030,0.0140
random,1,0.0830,0.0210,0.0120
random,2,0.0830,0.0200,0.0130
random,3,0.0820,0.0220,0.0100
random,4,0.0820,0.0180,0.0140
random,5,0.0830,0.0230,0.0100
random,6,0.0830,0.0260,0.0080
random,7,0.0810,0.0280,0.0040
random,8,0.0640,0.0170,0.0070
random,9,0.0830,0.0190,0.0140
random,10,0.0790,0.0210,0.0100
random,11,0.0750,0.0180,0.0100
random,12,0.0860,0.0190,0.0140
random,13,0.0830,0.0220,0.0110
random,14,0.0790,0.0190,0.0110
random,15,0.0820,0.0230,0.0100
random,16,0.0810,0.0170,0.0150
random,17,0.0810,0.0170,0.0150
random,18,0.0820,0.0190,0.0130
random,19,0.0800,0.0250,0.0050
random,20,0.0840,0.0200,0.0130
phase_change,1,3.0610,0.0300,0.0230
phase_change,2,3.6350,0.0320,0.0350
phase_change,3,3.4230,0.0370,0.0270
phase_change,4,3.6740,0.0320,0.0350
phase_change,5,3.4080,0.0340,0.0310
phase_change,6,3.5760,0.0280,0.0380
phase_change,7,3.6220,0.0320,0.0350
phase_change,8,3.6670,0.0390,0.0280
phase_change,9,3.5860,0.0320,0.0350
phase_change,10,3.6350,0.0260,0.0410
phase_change,11,2.7530,0.0210,0.0280
phase_change,12,2.8860,0.0340,0.0160
phase_change,13,3.5910,0.0450,0.0230
phase_change,14,3.5130,0.0400,0.0250
phase_change,15,3.5570,0.0340,0.0330
phase_change,16,3.6160,0.0360,0.0300
phase_change,17,3.6320,0.0350,0.0320
phase_change,18,2.8290,0.0390,0.0130
phase_change,19,3.5680,0.0240,0.0420
phase_change,20,3.5410,0.0400,0.0250
gradual_drift,1,0.2660,0.0120,0.0130
gradual_drift,2,0.3270,0.0190,0.0070
gradual_drift,3,0.2780,0.0240,0.0010
gradual_drift,4,0.2530,0.0140,0.0110
gradual_drift,5,0.2920,0.0220,0.0040
gradual_drift,6,0.2850,0.0190,0.0080
gradual_drift,7,0.3280,0.0180,0.0080
gradual_drift,8,0.2910,0.0190,0.0070
gradual_drift,9,0.2200,0.0140,0.0110
gradual_drift,10,0.2430,0.0190,0.0020
gradual_drift,11,0.2660,0.0150,0.0100
gradual_drift,12,0.3230,0.0260,0.0010
gradual_drift,13,0.3170,0.0220,0.0030
gradual_drift,14,0.4500,0.0200,0.0100
gradual_drift,15,0.2870,0.0200,0.0070
gradual_drift,16,0.2700,0.0210,0.0050
gradual_drift,17,0.2920,0.0110,0.0130
gradual_drift,18,0.2990,0.0260,0.0000
gradual_drift,19,0.2850,0.0160,0.0100
gradual_drift,20,0.3280,0.0190,0.0080
seek_suppression,1,0.1380,0.0200,0.0040
seek_suppression,2,0.1550,0.0190,0.0060
seek_suppression,3,0.1110,0.0170,0.0070
seek_suppression,4,0.1180,0.0160,0.0030
seek_suppression,5,0.1440,0.0170,0.0070
seek_suppression,6,0.1230,0.0190,0.0050
seek_suppression,7,0.1440,0.0240,0.0010
seek_suppression,8,0.1150,0.0130,0.0090
seek_suppression,9,0.1350,0.0170,0.0080
seek_suppression,10,0.1290,0.0200,0.0040
seek_suppression,11,0.1270,0.0170,0.0060
seek_suppression,12,0.1220,0.0160,0.0080
seek_suppression,13,0.1170,0.0110,0.0120
seek_suppression,14,0.1300,0.0190,0.0050
seek_suppression,15,0.1430,0.0140,0.0120
seek_suppression,16,0.1380,0.0100,0.0140
seek_suppression,17,0.1480,0.0130,0.0100
seek_suppression,18,0.1240,0.0200,0.0040
seek_suppression,19,0.1170,0.0160,0.0070
seek_suppression,20,0.1090,0.0200,0.0030
tar_workload,1,0.5020,0.0110,0.0160
tar_workload,2,0.5060,0.0090,0.0200
tar_workload,3,0.5050,0.0110,0.0160
tar_workload,4,0.5280,0.0100,0.0190
tar_workload,5,0.5130,0.0060,0.0220
tar_workload,6,0.5170,0.0090,0.0190
tar_workload,7,0.4900,0.0070,0.0200
tar_workload,8,0.5240,0.0050,0.0240
tar_workload,9,0.2400,0.0150,0.0010
tar_workload,10,0.5200,0.0060,0.0230
tar_workload,11,0.4750,0.0100,0.0170
tar_workload,12,0.5180,0.0070,0.0210
tar_workload,13,0.4300,0.0190,0.0070
tar_workload,14,0.5180,0.0070,0.0210
tar_workload,15,0.4350,0.0180,0.0070
tar_workload,16,0.5210,0.0100,0.0190
tar_workload,17,0.4430,0.0060,0.0180
tar_workload,18,0.5030,0.0080,0.0190
tar_workload,19,0.4360,0.0060,0.0190
tar_workload,20,0.4950,0.0080,0.0210
python_import,1,0.5310,0.0020,0.0200
python_import,2,0.5220,0.0090,0.0130
python_import,3,0.5210,0.0050,0.0190
python_import,4,0.6610,0.0040,0.0200
python_import,5,0.6620,0.0040,0.0220
python_import,6,0.7230,0.0130,0.0130
python_import,7,0.5350,0.0060,0.0150
python_import,8,0.5390,0.0100,0.0120
python_import,9,0.5340,0.0120,0.0110
python_import,10,0.5360,0.0110,0.0130
python_import,11,0.5510,0.0150,0.0070
python_import,12,0.5330,0.0050,0.0160
python_import,13,0.5630,0.0170,0.0050
python_import,14,0.5340,0.0100,0.0130
python_import,15,0.5650,0.0160,0.0060
python_import,16,0.5500,0.0080,0.0140
python_import,17,0.5390,0.0100,0.0120
python_import,18,0.5280,0.0100,0.0130
python_import,19,0.5430,0.0150,0.0080
python_import,20,0.5230,0.0050,0.0180
cache_lookup_workload,1,2.7520,0.0270,0.0130
cache_lookup_workload,2,2.5880,0.0290,0.0110
cache_lookup_workload,3,2.7630,0.0270,0.0140
cache_lookup_workload,4,2.7400,0.0270,0.0160
cache_lookup_workload,5,2.7450,0.0250,0.0190
cache_lookup_workload,6,2.6740,0.0420,0.0000
cache_lookup_workload,7,2.6960,0.0200,0.0230
cache_lookup_workload,8,2.7740,0.0290,0.0160
cache_lookup_workload,9,2.7670,0.0230,0.0190
cache_lookup_workload,10,2.7670,0.0300,0.0150
cache_lookup_workload,11,2.7700,0.0220,0.0230
cache_lookup_workload,12,2.7660,0.0270,0.0170
cache_lookup_workload,13,2.7740,0.0390,0.0070
cache_lookup_workload,14,2.7670,0.0330,0.0110
cache_lookup_workload,15,2.7730,0.0330,0.0100
cache_lookup_workload,16,2.7660,0.0370,0.0060
cache_lookup_workload,17,2.7620,0.0310,0.0130
cache_lookup_workload,18,2.7730,0.0360,0.0090
cache_lookup_workload,19,2.7680,0.0290,0.0160
cache_lookup_workload,20,2.7720,0.0290,0.0160
