workload,run,real_sec,user_sec,sys_sec
sequential,1,1.9290,0.0220,0.0000
sequential,2,1.8860,0.0110,0.0110
sequential,3,1.8650,0.0070,0.0160
sequential,4,1.8910,0.0110,0.0110
sequential,5,1.8980,0.0020,0.0200
sequential,6,1.8540,0.0050,0.0170
sequential,7,1.6220,0.0040,0.0170
sequential,8,1.8190,0.0020,0.0210
sequential,9,1.8290,0.0130,0.0090
sequential,10,1.8380,0.0040,0.0180
sequential,11,1.8490,0.0010,0.0210
sequential,12,1.8530,0.0050,0.0170
sequential,13,1.8330,0.0050,0.0170
sequential,14,1.8880,0.0050,0.0170
sequential,15,1.8890,0.0040,0.0180
sequential,16,1.7840,0.0040,0.0170
sequential,17,1.8400,0.0020,0.0200
sequential,18,1.8480,0.0100,0.0110
sequential,19,1.8810,0.0080,0.0130
sequential,20,1.9110,0.0040,0.0170
random,1,0.0780,0.0250,0.0060
random,2,0.0790,0.0190,0.0120
random,3,0.0820,0.0200,0.0120
random,4,0.0830,0.0200,0.0120
random,5,0.0610,0.0160,0.0090
random,6,0.0810,0.0230,0.0080
random,7,0.0840,0.0160,0.0160
random,8,0.0820,0.0260,0.0080
random,9,0.0570,0.0180,0.0040
random,10,0.0810,0.0200,0.0130
random,11,0.0800,0.0220,0.0100
random,12,0.0820,0.0260,0.0070
random,13,0.0810,0.0210,0.0110
random,14,0.0780,0.0190,0.0110
random,15,0.0750,0.0270,0.0020
random,16,0.0800,0.0200,0.0110
random,17,0.0820,0.0170,0.0150
random,18,0.0800,0.0250,0.0050
random,19,0.0810,0.0150,0.0180
random,20,0.0810,0.0250,0.0080
phase_change,1,3.6330,0.0260,0.0430
phase_change,2,3.4880,0.0320,0.0330
phase_change,3,3.5380,0.0210,0.0450
phase_change,4,3.5920,0.0320,0.0340
phase_change,5,3.0260,0.0240,0.0380
phase_change,6,3.5120,0.0370,0.0300
phase_change,7,3.6010,0.0290,0.0390
phase_change,8,3.5310,0.0290,0.0360
phase_change,9,3.6480,0.0250,0.0420
phase_change,10,3.6290,0.0270,0.0400
phase_change,11,3.5990,0.0280,0.0380
phase_change,12,2.6030,0.0250,0.0230
phase_change,13,2.6840,0.0300,0.0180
phase_change,14,3.6800,0.0350,0.0320
phase_change,15,3.6090,0.0350,0.0320
phase_change,16,3.5970,0.0300,0.0370
phase_change,17,3.5750,0.0360,0.0320
phase_change,18,3.5930,0.0280,0.0400
phase_change,19,3.0300,0.0220,0.0390
phase_change,20,2.9680,0.0250,0.0280
gradual_drift,1,0.2980,0.0210,0.0040
gradual_drift,2,0.3110,0.0200,0.0060
gradual_drift,3,0.2850,0.0150,0.0120
gradual_drift,4,0.2210,0.0240,0.0000
gradual_drift,5,0.2900,0.0190,0.0070
gradual_drift,6,0.2480,0.0180,0.0070
gradual_drift,7,0.2670,0.0200,0.0050
gradual_drift,8,0.2200,0.0230,0.0000
gradual_drift,9,0.2600,0.0160,0.0090
gradual_drift,10,0.2480,0.0180,0.0070
gradual_drift,11,0.2520,0.0120,0.0130
gradual_drift,12,0.2890,0.0120,0.0140
gradual_drift,13,0.2890,0.0260,0.0000
gradual_drift,14,0.2610,0.0150,0.0110
gradual_drift,15,0.3560,0.0230,0.0070
gradual_drift,16,0.2340,0.0170,0.0080
gradual_drift,17,0.2810,0.0210,0.0040
gradual_drift,18,0.2420,0.0170,0.0090
gradual_drift,19,0.2250,0.0230,0.0010
gradual_drift,20,0.2160,0.0200,0.0040
seek_suppression,1,0.1090,0.0190,0.0040
