workload,run,mode,real_sec,hits,misses,dirties,hit_ratio
sequential,1,native,0.2150,786,25727,0,2.96
sequential,2,native,0.2160,711,25696,0,2.69
sequential,3,native,0.2160,4550,25952,25,14.92
sequential,4,native,0.2120,4588,26019,31,14.99
sequential,5,native,0.2170,820,25725,0,3.09
sequential,6,native,0.2160,798,25662,0,3.02
sequential,7,native,0.2170,745,25723,0,2.81
sequential,8,native,0.2130,879,25656,0,3.31
sequential,9,native,0.2150,846,25658,0,3.19
sequential,10,native,0.2190,726,25693,0,2.75
sequential,11,native,0.2180,840,25715,0,3.16
sequential,12,native,0.2170,822,25662,0,3.10
sequential,13,native,0.2160,908,25724,0,3.41
sequential,14,native,0.2100,4740,25928,27,15.46
sequential,15,native,0.2210,814,25725,0,3.07
sequential,16,native,0.2140,4232,25677,27,14.15
sequential,17,native,0.2180,1231,25923,0,4.53
sequential,18,native,0.2160,866,25651,0,3.27
sequential,19,native,0.2170,872,25709,0,3.28
sequential,20,native,0.2180,903,25647,0,3.40
random,1,native,0.0190,12379,149,0,98.81
random,2,native,0.0180,12250,53,0,99.57
random,3,native,0.0200,12390,152,24,98.79
random,4,native,0.0190,12423,61,0,99.51
random,5,native,0.0200,16470,361,23,97.86
random,6,native,0.0190,12114,51,0,99.58
random,7,native,0.0180,12478,149,0,98.82
random,8,native,0.0180,12301,53,0,99.57
random,9,native,0.0200,12171,193,0,98.44
random,10,native,0.0200,12096,51,0,99.58
random,11,native,0.0200,12154,135,0,98.90
random,12,native,0.0190,12350,51,0,99.59
random,13,native,0.0190,12194,146,0,98.82
random,14,native,0.0180,12301,53,0,99.57
random,15,native,0.0200,12377,138,0,98.90
random,16,native,0.0190,12552,283,0,97.80
random,17,native,0.0180,11967,174,0,98.57
random,18,native,0.0170,12104,53,0,99.56
random,19,native,0.0190,12360,146,20,98.83
random,20,native,0.0170,14821,53,0,99.64
phase_change,1,native,0.2320,40853,25744,0,61.34
phase_change,2,native,0.2560,41102,25648,0,61.58
