run_index,run_label,mode,workload,seq,timestamp,path,offset,size
173,173_baseline_phase_change_run18,baseline,phase_change,1,1778426218.938108,/big.txt,0,131072
173,173_baseline_phase_change_run18,baseline,phase_change,2,1778426218.9402826,/big.txt,131072,131072
173,173_baseline_phase_change_run18,baseline,phase_change,3,1778426218.9416752,/big.txt,262144,131072
173,173_baseline_phase_change_run18,baseline,phase_change,4,1778426218.9430146,/big.txt,393216,131072
173,173_baseline_phase_change_run18,baseline,phase_change,5,1778426218.9442933,/big.txt,524288,131072
173,173_baseline_phase_change_run18,baseline,phase_change,6,1778426218.9455945,/big.txt,655360,131072
173,173_baseline_phase_change_run18,baseline,phase_change,7,1778426218.946896,/big.txt,786432,131072
173,173_baseline_phase_change_run18,baseline,phase_change,8,1778426218.9481552,/big.txt,917504,131072
173,173_baseline_phase_change_run18,baseline,phase_change,9,1778426218.9494221,/big.txt,1048576,131072
173,173_baseline_phase_change_run18,baseline,phase_change,10,1778426218.9506862,/big.txt,1179648,131072
173,173_baseline_phase_change_run18,baseline,phase_change,11,1778426218.9519749,/big.txt,1310720,131072
173,173_baseline_phase_change_run18,baseline,phase_change,12,1778426218.953245,/big.txt,1441792,131072
173,173_baseline_phase_change_run18,baseline,phase_change,13,1778426218.9545026,/big.txt,1572864,131072
173,173_baseline_phase_change_run18,baseline,phase_change,14,1778426218.9557557,/big.txt,1703936,131072
173,173_baseline_phase_change_run18,baseline,phase_change,15,1778426218.957021,/big.txt,1835008,131072
173,173_baseline_phase_change_run18,baseline,phase_change,16,1778426218.9582796,/big.txt,1966080,131072
173,173_baseline_phase_change_run18,baseline,phase_change,17,1778426218.9597034,/big.txt,2097152,131072
173,173_baseline_phase_change_run18,baseline,phase_change,18,1778426218.9609783,/big.txt,2228224,131072
173,173_baseline_phase_change_run18,baseline,phase_change,19,1778426218.9622478,/big.txt,2359296,131072
173,173_baseline_phase_change_run18,baseline,phase_change,20,1778426218.9636264,/big.txt,2490368,131072
173,173_baseline_phase_change_run18,baseline,phase_change,21,1778426218.9649088,/big.txt,2621440,131072
173,173_baseline_phase_change_run18,baseline,phase_change,22,1778426218.9661758,/big.txt,2752512,131072
173,173_baseline_phase_change_run18,baseline,phase_change,23,1778426218.967488,/big.txt,2883584,131072
173,173_baseline_phase_change_run18,baseline,phase_change,24,1778426218.968757,/big.txt,3014656,131072
173,173_baseline_phase_change_run18,baseline,phase_change,25,1778426218.9700341,/big.txt,3145728,131072
173,173_baseline_phase_change_run18,baseline,phase_change,26,1778426218.9713316,/big.txt,3276800,131072
173,173_baseline_phase_change_run18,baseline,phase_change,27,1778426218.9725997,/big.txt,3407872,131072
173,173_baseline_phase_change_run18,baseline,phase_change,28,1778426218.9738672,/big.txt,3538944,131072
173,173_baseline_phase_change_run18,baseline,phase_change,29,1778426218.9761987,/big.txt,3670016,131072
173,173_baseline_phase_change_run18,baseline,phase_change,30,1778426218.9786808,/big.txt,3801088,131072
173,173_baseline_phase_change_run18,baseline,phase_change,31,1778426218.9811907,/big.txt,3932160,131072
173,173_baseline_phase_change_run18,baseline,phase_change,32,1778426218.98371,/big.txt,4063232,131072
173,173_baseline_phase_change_run18,baseline,phase_change,33,1778426218.9861882,/big.txt,4194304,131072
173,173_baseline_phase_change_run18,baseline,phase_change,34,1778426218.9876044,/big.txt,4325376,131072
173,173_baseline_phase_change_run18,baseline,phase_change,35,1778426218.9888778,/big.txt,4456448,131072
173,173_baseline_phase_change_run18,baseline,phase_change,36,1778426218.9901497,/big.txt,4587520,131072
173,173_baseline_phase_change_run18,baseline,phase_change,37,1778426218.991451,/big.txt,4718592,131072
173,173_baseline_phase_change_run18,baseline,phase_change,38,1778426218.9927263,/big.txt,4849664,131072
173,173_baseline_phase_change_run18,baseline,phase_change,39,1778426218.993999,/big.txt,4980736,131072
173,173_baseline_phase_change_run18,baseline,phase_change,40,1778426218.995307,/big.txt,5111808,131072
173,173_baseline_phase_change_run18,baseline,phase_change,41,1778426218.9965851,/big.txt,5242880,131072
173,173_baseline_phase_change_run18,baseline,phase_change,42,1778426218.9978554,/big.txt,5373952,131072
173,173_baseline_phase_change_run18,baseline,phase_change,43,1778426218.9997876,/big.txt,5505024,131072
173,173_baseline_phase_change_run18,baseline,phase_change,44,1778426219.0010724,/big.txt,5636096,131072
173,173_baseline_phase_change_run18,baseline,phase_change,45,1778426219.0023456,/big.txt,5767168,131072
173,173_baseline_phase_change_run18,baseline,phase_change,46,1778426219.00363,/big.txt,5898240,131072
173,173_baseline_phase_change_run18,baseline,phase_change,47,1778426219.0049083,/big.txt,6029312,131072
173,173_baseline_phase_change_run18,baseline,phase_change,48,1778426219.0061815,/big.txt,6160384,131072
173,173_baseline_phase_change_run18,baseline,phase_change,49,1778426219.007484,/big.txt,6291456,131072
173,173_baseline_phase_change_run18,baseline,phase_change,50,1778426219.0087626,/big.txt,6422528,131072
173,173_baseline_phase_change_run18,baseline,phase_change,51,1778426219.0100157,/big.txt,6553600,131072
173,173_baseline_phase_change_run18,baseline,phase_change,52,1778426219.011314,/big.txt,6684672,131072
173,173_baseline_phase_change_run18,baseline,phase_change,53,1778426219.0125852,/big.txt,6815744,131072
173,173_baseline_phase_change_run18,baseline,phase_change,54,1778426219.0138597,/big.txt,6946816,131072
173,173_baseline_phase_change_run18,baseline,phase_change,55,1778426219.0151558,/big.txt,7077888,131072
173,173_baseline_phase_change_run18,baseline,phase_change,56,1778426219.0164335,/big.txt,7208960,131072
173,173_baseline_phase_change_run18,baseline,phase_change,57,1778426219.0176961,/big.txt,7340032,131072
173,173_baseline_phase_change_run18,baseline,phase_change,58,1778426219.0190275,/big.txt,7471104,131072
173,173_baseline_phase_change_run18,baseline,phase_change,59,1778426219.0202982,/big.txt,7602176,131072
173,173_baseline_phase_change_run18,baseline,phase_change,60,1778426219.021569,/big.txt,7733248,131072
173,173_baseline_phase_change_run18,baseline,phase_change,61,1778426219.0228674,/big.txt,7864320,131072
173,173_baseline_phase_change_run18,baseline,phase_change,62,1778426219.024149,/big.txt,7995392,131072
173,173_baseline_phase_change_run18,baseline,phase_change,63,1778426219.0254154,/big.txt,8126464,131072
173,173_baseline_phase_change_run18,baseline,phase_change,64,1778426219.0266805,/big.txt,8257536,131072
173,173_baseline_phase_change_run18,baseline,phase_change,65,1778426219.0280397,/big.txt,8388608,131072
173,173_baseline_phase_change_run18,baseline,phase_change,66,1778426219.0293145,/big.txt,8519680,131072
173,173_baseline_phase_change_run18,baseline,phase_change,67,1778426219.0305746,/big.txt,8650752,131072
173,173_baseline_phase_change_run18,baseline,phase_change,68,1778426219.0318768,/big.txt,8781824,131072
173,173_baseline_phase_change_run18,baseline,phase_change,69,1778426219.0331461,/big.txt,8912896,131072
173,173_baseline_phase_change_run18,baseline,phase_change,70,1778426219.034409,/big.txt,9043968,131072
173,173_baseline_phase_change_run18,baseline,phase_change,71,1778426219.0357213,/big.txt,9175040,131072
173,173_baseline_phase_change_run18,baseline,phase_change,72,1778426219.0369842,/big.txt,9306112,131072
173,173_baseline_phase_change_run18,baseline,phase_change,73,1778426219.0382512,/big.txt,9437184,131072
173,173_baseline_phase_change_run18,baseline,phase_change,74,1778426219.0395594,/big.txt,9568256,131072
173,173_baseline_phase_change_run18,baseline,phase_change,75,1778426219.040839,/big.txt,9699328,131072
173,173_baseline_phase_change_run18,baseline,phase_change,76,1778426219.0421045,/big.txt,9830400,131072
173,173_baseline_phase_change_run18,baseline,phase_change,77,1778426219.0434124,/big.txt,9961472,131072
173,173_baseline_phase_change_run18,baseline,phase_change,78,1778426219.044694,/big.txt,10092544,131072
173,173_baseline_phase_change_run18,baseline,phase_change,79,1778426219.0459719,/big.txt,10223616,131072
173,173_baseline_phase_change_run18,baseline,phase_change,80,1778426219.0472882,/big.txt,10354688,131072
173,173_baseline_phase_change_run18,baseline,phase_change,81,1778426219.0485704,/big.txt,10485760,131072
173,173_baseline_phase_change_run18,baseline,phase_change,82,1778426219.049855,/big.txt,10616832,131072
173,173_baseline_phase_change_run18,baseline,phase_change,83,1778426219.0511546,/big.txt,10747904,131072
173,173_baseline_phase_change_run18,baseline,phase_change,84,1778426219.0524347,/big.txt,10878976,131072
173,173_baseline_phase_change_run18,baseline,phase_change,85,1778426219.0537038,/big.txt,11010048,131072
173,173_baseline_phase_change_run18,baseline,phase_change,86,1778426219.0550838,/big.txt,11141120,131072
173,173_baseline_phase_change_run18,baseline,phase_change,87,1778426219.056359,/big.txt,11272192,131072
173,173_baseline_phase_change_run18,baseline,phase_change,88,1778426219.057633,/big.txt,11403264,131072
173,173_baseline_phase_change_run18,baseline,phase_change,89,1778426219.0589435,/big.txt,11534336,131072
173,173_baseline_phase_change_run18,baseline,phase_change,90,1778426219.06021,/big.txt,11665408,131072
173,173_baseline_phase_change_run18,baseline,phase_change,91,1778426219.0614724,/big.txt,11796480,131072
173,173_baseline_phase_change_run18,baseline,phase_change,92,1778426219.0627356,/big.txt,11927552,131072
173,173_baseline_phase_change_run18,baseline,phase_change,93,1778426219.0653245,/big.txt,12058624,131072
173,173_baseline_phase_change_run18,baseline,phase_change,94,1778426219.0678735,/big.txt,12189696,131072
173,173_baseline_phase_change_run18,baseline,phase_change,95,1778426219.070379,/big.txt,12320768,131072
173,173_baseline_phase_change_run18,baseline,phase_change,96,1778426219.0729315,/big.txt,12451840,131072
173,173_baseline_phase_change_run18,baseline,phase_change,97,1778426219.075069,/big.txt,12582912,131072
173,173_baseline_phase_change_run18,baseline,phase_change,98,1778426219.0763404,/big.txt,12713984,131072
173,173_baseline_phase_change_run18,baseline,phase_change,99,1778426219.077604,/big.txt,12845056,131072
173,173_baseline_phase_change_run18,baseline,phase_change,100,1778426219.0789087,/big.txt,12976128,131072
173,173_baseline_phase_change_run18,baseline,phase_change,101,1778426219.0801766,/big.txt,13107200,131072
173,173_baseline_phase_change_run18,baseline,phase_change,102,1778426219.0814428,/big.txt,13238272,131072
