run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,decay_rate,seek_delta,prefetch,prefetch_offset,prefetch_size,prefetch_depth,cache_hit,false_negative
291,291_baseline_python_import_run11,baseline,python_import,1778307386.7737312,/pyfiles/module_1.py,0,137,unknown,0.0000,0.0000,0,1,137,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.7749913,/pyfiles/module_1.py,137,0,sequential,1.0000,0.0000,0,0,,,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.7763188,/pyfiles/module_10.py,0,142,irregular,0.5000,0.5000,137,1,142,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.777518,/pyfiles/module_10.py,142,0,irregular,0.6667,0.0000,0,0,,,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.7788858,/pyfiles/module_100.py,0,147,irregular,0.5000,0.1667,142,1,147,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.7800689,/pyfiles/module_100.py,147,0,irregular,0.5000,0.0000,0,0,,,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.7813861,/pyfiles/module_101.py,0,147,irregular,0.5000,0.0000,147,1,147,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.7825334,/pyfiles/module_101.py,147,0,irregular,0.5000,0.0000,0,0,,,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.78379,/pyfiles/module_102.py,0,147,irregular,0.5000,0.0000,147,1,147,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.7849734,/pyfiles/module_102.py,147,0,irregular,0.5000,0.0000,0,0,,,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.786276,/pyfiles/module_103.py,0,147,irregular,0.5000,0.0000,147,1,147,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.7875261,/pyfiles/module_103.py,147,0,irregular,0.5000,0.0000,0,0,,,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.788887,/pyfiles/module_104.py,0,147,irregular,0.5000,0.0000,147,1,147,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.7900443,/pyfiles/module_104.py,147,0,irregular,0.5000,0.0000,0,0,,,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.7913854,/pyfiles/module_105.py,0,147,irregular,0.5000,0.0000,147,1,147,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.792536,/pyfiles/module_105.py,147,0,irregular,0.5000,0.0000,0,0,,,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.7938585,/pyfiles/module_106.py,0,147,irregular,0.5000,0.0000,147,1,147,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.7950525,/pyfiles/module_106.py,147,0,irregular,0.5000,0.0000,0,0,,,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.7963772,/pyfiles/module_107.py,0,147,irregular,0.5000,0.0000,147,1,147,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.797559,/pyfiles/module_107.py,147,0,irregular,0.5000,0.0000,0,0,,,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.798927,/pyfiles/module_108.py,0,147,irregular,0.5000,0.0000,147,1,147,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.8013566,/pyfiles/module_108.py,147,0,irregular,0.5000,0.0000,0,0,,,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.8039248,/pyfiles/module_109.py,0,147,irregular,0.5000,0.0000,147,1,147,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.806394,/pyfiles/module_109.py,147,0,irregular,0.5000,0.0000,0,0,,,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.8089366,/pyfiles/module_11.py,0,142,irregular,0.5000,0.0000,147,1,142,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.8110535,/pyfiles/module_11.py,142,0,irregular,0.5000,0.0000,0,0,,,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.8123767,/pyfiles/module_110.py,0,147,irregular,0.5000,0.0000,142,1,147,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.8135772,/pyfiles/module_110.py,147,0,irregular,0.5000,0.0000,0,0,,,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.814959,/pyfiles/module_111.py,0,147,irregular,0.5000,0.0000,147,1,147,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.8161488,/pyfiles/module_111.py,147,0,irregular,0.5000,0.0000,0,0,,,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.8174691,/pyfiles/module_112.py,0,147,irregular,0.5000,0.0000,147,1,147,4096,1,1,0
291,291_baseline_python_import_run11,baseline,python_import,1778307386.8186285,/pyfiles/module_112.py,147,0,irregular,0.5000,0.0000,0,0,,,1,1,0
