timestamp,mode,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size,prefetch_depth
1773184314.3065333,baseline,/pyfiles/module_1.py,0,137,unknown,0.0000,1,137,4096,1
1773184314.3066113,baseline,/pyfiles/module_1.py,137,0,sequential,1.0000,0,,,1
1773184314.3067477,baseline,/pyfiles/module_10.py,0,142,irregular,0.5000,1,142,4096,1
1773184314.306812,baseline,/pyfiles/module_10.py,142,0,irregular,0.6667,0,,,1
1773184314.3069186,baseline,/pyfiles/module_100.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3069592,baseline,/pyfiles/module_100.py,147,0,irregular,0.5000,0,,,1
1773184314.3070471,baseline,/pyfiles/module_101.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3070848,baseline,/pyfiles/module_101.py,147,0,irregular,0.5000,0,,,1
1773184314.307168,baseline,/pyfiles/module_102.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.307205,baseline,/pyfiles/module_102.py,147,0,irregular,0.5000,0,,,1
1773184314.3072872,baseline,/pyfiles/module_103.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3073242,baseline,/pyfiles/module_103.py,147,0,irregular,0.5000,0,,,1
1773184314.3074062,baseline,/pyfiles/module_104.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3074427,baseline,/pyfiles/module_104.py,147,0,irregular,0.5000,0,,,1
1773184314.3075244,baseline,/pyfiles/module_105.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3075614,baseline,/pyfiles/module_105.py,147,0,irregular,0.5000,0,,,1
1773184314.3076427,baseline,/pyfiles/module_106.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3076792,baseline,/pyfiles/module_106.py,147,0,irregular,0.5000,0,,,1
1773184314.3077605,baseline,/pyfiles/module_107.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3077972,baseline,/pyfiles/module_107.py,147,0,irregular,0.5000,0,,,1
1773184314.3078792,baseline,/pyfiles/module_108.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3079157,baseline,/pyfiles/module_108.py,147,0,irregular,0.5000,0,,,1
1773184314.3079975,baseline,/pyfiles/module_109.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3080347,baseline,/pyfiles/module_109.py,147,0,irregular,0.5000,0,,,1
1773184314.3081162,baseline,/pyfiles/module_11.py,0,142,irregular,0.5000,1,142,4096,1
1773184314.3081532,baseline,/pyfiles/module_11.py,142,0,irregular,0.5000,0,,,1
1773184314.3082364,baseline,/pyfiles/module_110.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3082736,baseline,/pyfiles/module_110.py,147,0,irregular,0.5000,0,,,1
1773184314.308356,baseline,/pyfiles/module_111.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.308393,baseline,/pyfiles/module_111.py,147,0,irregular,0.5000,0,,,1
1773184314.3084748,baseline,/pyfiles/module_112.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3085122,baseline,/pyfiles/module_112.py,147,0,irregular,0.5000,0,,,1
1773184314.3085954,baseline,/pyfiles/module_113.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3086333,baseline,/pyfiles/module_113.py,147,0,irregular,0.5000,0,,,1
1773184314.3087163,baseline,/pyfiles/module_114.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3087537,baseline,/pyfiles/module_114.py,147,0,irregular,0.5000,0,,,1
1773184314.3088365,baseline,/pyfiles/module_115.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.308873,baseline,/pyfiles/module_115.py,147,0,irregular,0.5000,0,,,1
1773184314.3089554,baseline,/pyfiles/module_116.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3089926,baseline,/pyfiles/module_116.py,147,0,irregular,0.5000,0,,,1
1773184314.309075,baseline,/pyfiles/module_117.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3091125,baseline,/pyfiles/module_117.py,147,0,irregular,0.5000,0,,,1
1773184314.3091946,baseline,/pyfiles/module_118.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3092315,baseline,/pyfiles/module_118.py,147,0,irregular,0.5000,0,,,1
1773184314.3093133,baseline,/pyfiles/module_119.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3093503,baseline,/pyfiles/module_119.py,147,0,irregular,0.5000,0,,,1
1773184314.3094335,baseline,/pyfiles/module_12.py,0,142,irregular,0.5000,1,142,4096,1
1773184314.3094702,baseline,/pyfiles/module_12.py,142,0,irregular,0.5000,0,,,1
1773184314.3095598,baseline,/pyfiles/module_120.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3095975,baseline,/pyfiles/module_120.py,147,0,irregular,0.5000,0,,,1
1773184314.3096802,baseline,/pyfiles/module_121.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3097174,baseline,/pyfiles/module_121.py,147,0,irregular,0.5000,0,,,1
1773184314.3097997,baseline,/pyfiles/module_122.py,0,147,irregular,0.5000,1,147,4096,1
1773184314.3098376,baseline,/pyfiles/module_122.py,147,0,irregular,0.5000,0,,,1
1773184314.3099208,baseline,/pyfiles/module_123.py,0,147,irregular,0.5000,1,147,4096,1
