run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,decay_rate,seek_delta,prefetch,prefetch_offset,prefetch_size,prefetch_depth
360,360_adaptive_random_run20,adaptive,random,1778259520.7786198,/big.txt,20480,4096,unknown,0.0000,0.0000,0,0,,,1
360,360_adaptive_random_run20,adaptive,random,1778259520.7809687,/big.txt,491520,4096,irregular,0.0000,0.0000,466944,0,,,1
360,360_adaptive_random_run20,adaptive,random,1778259520.7833977,/big.txt,172032,4096,irregular,0.0000,0.0000,323584,0,,,1
360,360_adaptive_random_run20,adaptive,random,1778259520.7856116,/big.txt,1228800,4096,seek-suppressed,0.0000,0.0000,1052672,0,,,1
360,360_adaptive_random_run20,adaptive,random,1778259520.7881124,/big.txt,69632,4096,seek-suppressed,0.0000,0.0000,1163264,0,,,1
360,360_adaptive_random_run20,adaptive,random,1778259520.790306,/big.txt,1024000,4096,irregular,0.0000,0.0000,950272,0,,,1
360,360_adaptive_random_run20,adaptive,random,1778259520.7925425,/big.txt,360448,4096,irregular,0.0000,0.0000,667648,0,,,1
360,360_adaptive_random_run20,adaptive,random,1778259520.7946715,/big.txt,778240,4096,irregular,0.0000,0.0000,413696,0,,,1
360,360_adaptive_random_run20,adaptive,random,1778259520.7967734,/big.txt,245760,4096,irregular,0.0000,0.0000,536576,0,,,1
360,360_adaptive_random_run20,adaptive,random,1778259520.7989924,/big.txt,40960,4096,irregular,0.0000,0.0000,208896,0,,,1
360,360_adaptive_random_run20,adaptive,random,1778259520.80127,/big.txt,1126400,4096,seek-suppressed,0.0000,0.0000,1081344,0,,,1
360,360_adaptive_random_run20,adaptive,random,1778259520.8035715,/big.txt,135168,4096,irregular,0.0000,0.0000,995328,0,,,1
360,360_adaptive_random_run20,adaptive,random,1778259520.805763,/big.txt,655360,4096,irregular,0.0000,0.0000,516096,0,,,1
360,360_adaptive_random_run20,adaptive,random,1778259520.8079088,/big.txt,860160,4096,irregular,0.0000,0.0000,200704,0,,,1
360,360_adaptive_random_run20,adaptive,random,1778259520.8100662,/big.txt,389120,4096,irregular,0.0000,0.0000,475136,0,,,1
