run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,decay_rate,seek_delta,prefetch,prefetch_offset,prefetch_size,prefetch_depth
38,038_none_random_run18,none,random,1778258440.140352,/big.txt,20480,4096,unknown,0.0000,0.0000,0,0,,,1
38,038_none_random_run18,none,random,1778258440.1432147,/big.txt,491520,4096,irregular,0.0000,0.0000,466944,0,,,1
38,038_none_random_run18,none,random,1778258440.1460178,/big.txt,172032,4096,irregular,0.0000,0.0000,323584,0,,,1
38,038_none_random_run18,none,random,1778258440.1487403,/big.txt,1228800,4096,irregular,0.0000,0.0000,1052672,0,,,1
38,038_none_random_run18,none,random,1778258440.151315,/big.txt,69632,4096,irregular,0.0000,0.0000,1163264,0,,,1
38,038_none_random_run18,none,random,1778258440.153698,/big.txt,1024000,4096,irregular,0.0000,0.0000,950272,0,,,1
38,038_none_random_run18,none,random,1778258440.1560411,/big.txt,360448,4096,irregular,0.0000,0.0000,667648,0,,,1
38,038_none_random_run18,none,random,1778258440.158276,/big.txt,778240,4096,irregular,0.0000,0.0000,413696,0,,,1
38,038_none_random_run18,none,random,1778258440.160413,/big.txt,245760,4096,irregular,0.0000,0.0000,536576,0,,,1
38,038_none_random_run18,none,random,1778258440.1625187,/big.txt,40960,4096,irregular,0.0000,0.0000,208896,0,,,1
38,038_none_random_run18,none,random,1778258440.1645763,/big.txt,1126400,4096,irregular,0.0000,0.0000,1081344,0,,,1
38,038_none_random_run18,none,random,1778258440.1666622,/big.txt,135168,4096,irregular,0.0000,0.0000,995328,0,,,1
38,038_none_random_run18,none,random,1778258440.168812,/big.txt,655360,4096,irregular,0.0000,0.0000,516096,0,,,1
38,038_none_random_run18,none,random,1778258440.171147,/big.txt,860160,4096,irregular,0.0000,0.0000,200704,0,,,1
38,038_none_random_run18,none,random,1778258440.1734307,/big.txt,389120,4096,irregular,0.0000,0.0000,475136,0,,,1
