run_index,run_label,mode,workload,seq,timestamp,path,offset,size
22,022_none_random_run02,none,random,1,1773854307.9008071,/big.txt,20480,4096
22,022_none_random_run02,none,random,2,1773854307.9038677,/big.txt,491520,4096
22,022_none_random_run02,none,random,3,1773854307.906274,/big.txt,172032,4096
22,022_none_random_run02,none,random,4,1773854307.9085846,/big.txt,1228800,4096
22,022_none_random_run02,none,random,5,1773854307.9107213,/big.txt,69632,4096
22,022_none_random_run02,none,random,6,1773854307.912859,/big.txt,1024000,4096
22,022_none_random_run02,none,random,7,1773854307.9149568,/big.txt,360448,4096
22,022_none_random_run02,none,random,8,1773854307.9170604,/big.txt,778240,4096
22,022_none_random_run02,none,random,9,1773854307.9192953,/big.txt,245760,4096
22,022_none_random_run02,none,random,10,1773854307.921496,/big.txt,40960,4096
22,022_none_random_run02,none,random,11,1773854307.9239008,/big.txt,1126400,4096
22,022_none_random_run02,none,random,12,1773854307.92619,/big.txt,135168,4096
22,022_none_random_run02,none,random,13,1773854307.9284103,/big.txt,655360,4096
22,022_none_random_run02,none,random,14,1773854307.9305522,/big.txt,860160,4096
22,022_none_random_run02,none,random,15,1773854307.9328566,/big.txt,389120,4096
