seq,timestamp,path,offset,size
16231,1773184401.3723273,/big.txt,20480,4096
16232,1773184401.3754785,/big.txt,491520,4096
16233,1773184401.3780649,/big.txt,172032,4096
16234,1773184401.3804865,/big.txt,1228800,4096
16235,1773184401.3827357,/big.txt,69632,4096
16236,1773184401.3851082,/big.txt,1024000,4096
16237,1773184401.3875763,/big.txt,360448,4096
16238,1773184401.3896992,/big.txt,778240,4096
16239,1773184401.3919504,/big.txt,245760,4096
16240,1773184401.394133,/big.txt,40960,4096
16241,1773184401.396234,/big.txt,1126400,4096
16242,1773184401.398353,/big.txt,135168,4096
16243,1773184401.4005232,/big.txt,655360,4096
16244,1773184401.4026616,/big.txt,860160,4096
16245,1773184401.4047344,/big.txt,389120,4096
