run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,decay_rate,seek_delta,prefetch,prefetch_offset,prefetch_size,prefetch_depth,cache_hit,false_negative
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.618928,/big.txt,0,4096,unknown,0.0000,0.0000,0,0,,,1,0,0
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.620343,/big.txt,4096,4096,sequential,1.0000,0.0000,0,1,8192,4096,1,1,1
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.621738,/big.txt,8192,4096,sequential,1.0000,0.0000,0,1,12288,4096,1,1,0
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.6231363,/big.txt,12288,4096,sequential,1.0000,0.0000,0,1,16384,4096,1,1,0
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.6244204,/big.txt,16384,4096,sequential,1.0000,0.0000,0,1,20480,4096,1,1,0
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.6256564,/big.txt,20480,4096,sequential,1.0000,0.0000,0,1,24576,4096,1,1,0
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.627045,/big.txt,2121728,4096,seek-suppressed,0.7500,0.2500,2097152,0,,,1,0,0
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.6284454,/big.txt,2125824,4096,irregular,0.7500,0.0000,0,0,,,1,0,1
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.6296558,/big.txt,2129920,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.6309178,/big.txt,2134016,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.632149,/big.txt,2138112,4096,sequential,1.0000,0.0000,0,1,2142208,4096,1,1,1
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.6333673,/big.txt,2142208,4096,sequential,1.0000,0.0000,0,1,2146304,4096,1,1,0
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.6346915,/big.txt,4243456,4096,seek-suppressed,0.7500,0.2500,2097152,0,,,1,0,0
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.6363528,/big.txt,4247552,4096,irregular,0.7500,0.0000,0,0,,,1,0,1
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.6379845,/big.txt,4251648,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.6393106,/big.txt,4255744,4096,irregular,0.7500,0.0000,0,0,,,1,1,1
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.6405516,/big.txt,4259840,4096,sequential,1.0000,0.0000,0,1,4263936,4096,1,1,1
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.6417706,/big.txt,4263936,4096,sequential,1.0000,0.0000,0,1,4268032,4096,1,1,0
297,297_adaptive_seek_suppression_run19,adaptive,seek_suppression,1778426636.6431632,/big.txt,6365184,4096,seek-suppressed,0.7500,0.2500,2097152,0,,,1,0,0
