run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,decay_rate,seek_delta,prefetch,prefetch_offset,prefetch_size,prefetch_depth
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.401501,/big.txt,0,4096,unknown,0.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4016652,/big.txt,4096,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.401811,/big.txt,8192,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4019563,/big.txt,12288,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.402043,/big.txt,16384,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.402092,/big.txt,20480,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.402234,/big.txt,2121728,4096,irregular,0.7500,0.2500,2097152,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4022818,/big.txt,2125824,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4023244,/big.txt,2129920,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4023662,/big.txt,2134016,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4024062,/big.txt,2138112,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4024453,/big.txt,2142208,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4024894,/big.txt,4243456,4096,irregular,0.7500,0.2500,2097152,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4025292,/big.txt,4247552,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4025671,/big.txt,4251648,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4026058,/big.txt,4255744,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4026473,/big.txt,4259840,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4026856,/big.txt,4263936,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4027271,/big.txt,6365184,4096,irregular,0.7500,0.2500,2097152,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4027667,/big.txt,6369280,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.402851,/big.txt,6373376,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4028933,/big.txt,6377472,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4029338,/big.txt,6381568,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4029746,/big.txt,6385664,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4030173,/big.txt,8486912,4096,irregular,0.7500,0.2500,2097152,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4030595,/big.txt,8491008,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4031003,/big.txt,8495104,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.403139,/big.txt,8499200,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.403179,/big.txt,8503296,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.403217,/big.txt,8507392,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4032564,/big.txt,10608640,4096,irregular,0.7500,0.2500,2097152,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.403305,/big.txt,10612736,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.403348,/big.txt,10616832,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4033873,/big.txt,10620928,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4034257,/big.txt,10625024,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.403464,/big.txt,10629120,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4035041,/big.txt,12730368,4096,irregular,0.7500,0.2500,2097152,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4035428,/big.txt,12734464,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4035866,/big.txt,12738560,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4036288,/big.txt,12742656,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4036722,/big.txt,12746752,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4037118,/big.txt,12750848,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4037528,/big.txt,14852096,4096,irregular,0.7500,0.2500,2097152,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4037917,/big.txt,14856192,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4038348,/big.txt,14860288,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.403873,/big.txt,14864384,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.403914,/big.txt,14868480,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4039521,/big.txt,14872576,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4039912,/big.txt,16973824,4096,irregular,0.7500,0.2500,2097152,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.404034,/big.txt,16977920,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4040732,/big.txt,16982016,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4041123,/big.txt,16986112,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4041512,/big.txt,16990208,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4041893,/big.txt,16994304,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4042284,/big.txt,19095552,4096,irregular,0.7500,0.2500,2097152,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4042668,/big.txt,19099648,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.404305,/big.txt,19103744,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4043434,/big.txt,19107840,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4043858,/big.txt,19111936,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4044251,/big.txt,19116032,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4044647,/big.txt,21217280,4096,irregular,0.7500,0.2500,2097152,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4045086,/big.txt,21221376,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.404552,/big.txt,21225472,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4045916,/big.txt,21229568,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4046319,/big.txt,21233664,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4046752,/big.txt,21237760,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.404715,/big.txt,23339008,4096,irregular,0.7500,0.2500,2097152,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4047563,/big.txt,23343104,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4047954,/big.txt,23347200,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4048345,/big.txt,23351296,4096,irregular,0.7500,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4048736,/big.txt,23355392,4096,sequential,1.0000,0.0000,0,0,,,1
85,085_none_seek_suppression_run05,none,seek_suppression,1778258586.4049132,/big.txt,23359488,4096,sequential,1.0000,0.0000,0,0,,,1
