threshold,workload,run,prefetch_rate,seek_suppressed_rate,avg_seek_delta,max_seek_delta
262144,sequential,1,0.998,0.000,0.0,0
262144,sequential,2,0.998,0.000,0.0,0
262144,sequential,3,0.998,0.000,0.0,0
262144,sequential,4,0.998,0.000,0.0,0
262144,sequential,5,0.998,0.000,0.0,0
262144,random,1,0.000,0.800,603477.3,1163264
262144,random,2,0.000,0.800,603477.3,1163264
262144,random,3,0.000,0.800,603477.3,1163264
262144,random,4,0.000,0.800,603477.3,1163264
262144,random,5,0.000,0.800,603477.3,1163264
262144,seek_suppression,1,0.375,0.153,320398.2,2097152
262144,seek_suppression,2,0.375,0.153,320398.2,2097152
262144,seek_suppression,3,0.375,0.153,320398.2,2097152
262144,seek_suppression,4,0.375,0.153,320398.2,2097152
262144,seek_suppression,5,0.375,0.153,320398.2,2097152
262144,cache_lookup_workload,1,0.000,0.995,34528092.2,97882112
262144,cache_lookup_workload,2,0.000,0.995,34528092.2,97882112
262144,cache_lookup_workload,3,0.000,0.995,34528092.2,97882112
262144,cache_lookup_workload,4,0.000,0.995,34528092.2,97882112
262144,cache_lookup_workload,5,0.000,0.995,34528092.2,97882112
524288,sequential,1,0.998,0.000,0.0,0
524288,sequential,2,0.998,0.000,0.0,0
524288,sequential,3,0.998,0.000,0.0,0
524288,sequential,4,0.998,0.000,0.0,0
524288,sequential,5,0.998,0.000,0.0,0
524288,random,1,0.000,0.467,603477.3,1163264
524288,random,2,0.000,0.467,603477.3,1163264
524288,random,3,0.000,0.467,603477.3,1163264
524288,random,4,0.000,0.467,603477.3,1163264
524288,random,5,0.000,0.467,603477.3,1163264
524288,seek_suppression,1,0.375,0.153,320398.2,2097152
524288,seek_suppression,2,0.375,0.153,320398.2,2097152
524288,seek_suppression,3,0.375,0.153,320398.2,2097152
524288,seek_suppression,4,0.375,0.153,320398.2,2097152
524288,seek_suppression,5,0.375,0.153,320398.2,2097152
524288,cache_lookup_workload,1,0.000,0.990,34528092.2,97882112
524288,cache_lookup_workload,2,0.000,0.990,34528092.2,97882112
524288,cache_lookup_workload,3,0.000,0.990,34528092.2,97882112
524288,cache_lookup_workload,4,0.000,0.990,34528092.2,97882112
524288,cache_lookup_workload,5,0.000,0.990,34528092.2,97882112
1048576,sequential,1,0.998,0.000,0.0,0
1048576,sequential,2,0.998,0.000,0.0,0
1048576,sequential,3,0.998,0.000,0.0,0
1048576,sequential,4,0.998,0.000,0.0,0
1048576,sequential,5,0.998,0.000,0.0,0
1048576,random,1,0.000,0.200,603477.3,1163264
1048576,random,2,0.000,0.200,603477.3,1163264
1048576,random,3,0.000,0.200,603477.3,1163264
1048576,random,4,0.000,0.200,603477.3,1163264
1048576,random,5,0.000,0.200,603477.3,1163264
1048576,seek_suppression,1,0.375,0.153,320398.2,2097152
1048576,seek_suppression,2,0.375,0.153,320398.2,2097152
1048576,seek_suppression,3,0.375,0.153,320398.2,2097152
1048576,seek_suppression,4,0.375,0.153,320398.2,2097152
1048576,seek_suppression,5,0.375,0.153,320398.2,2097152
1048576,cache_lookup_workload,1,0.000,0.980,34528092.2,97882112
1048576,cache_lookup_workload,2,0.000,0.980,34528092.2,97882112
1048576,cache_lookup_workload,3,0.000,0.980,34528092.2,97882112
1048576,cache_lookup_workload,4,0.000,0.980,34528092.2,97882112
1048576,cache_lookup_workload,5,0.000,0.980,34528092.2,97882112
2097152,sequential,1,0.998,0.000,0.0,0
2097152,sequential,2,0.998,0.000,0.0,0
2097152,sequential,3,0.998,0.000,0.0,0
2097152,sequential,4,0.998,0.000,0.0,0
2097152,sequential,5,0.998,0.000,0.0,0
2097152,random,1,0.000,0.000,603477.3,1163264
2097152,random,2,0.000,0.000,603477.3,1163264
2097152,random,3,0.000,0.000,603477.3,1163264
2097152,random,4,0.000,0.000,603477.3,1163264
2097152,random,5,0.000,0.000,603477.3,1163264
2097152,seek_suppression,1,0.375,0.000,320398.2,2097152
2097152,seek_suppression,2,0.375,0.000,320398.2,2097152
2097152,seek_suppression,3,0.375,0.000,320398.2,2097152
2097152,seek_suppression,4,0.375,0.000,320398.2,2097152
2097152,seek_suppression,5,0.375,0.000,320398.2,2097152
2097152,cache_lookup_workload,1,0.000,0.960,34528092.2,97882112
2097152,cache_lookup_workload,2,0.000,0.960,34528092.2,97882112
2097152,cache_lookup_workload,3,0.000,0.960,34528092.2,97882112
2097152,cache_lookup_workload,4,0.000,0.960,34528092.2,97882112
2097152,cache_lookup_workload,5,0.000,0.960,34528092.2,97882112
