seq,timestamp,path,offset,size
5608,1773184345.4066288,/big.txt,0,131072
5609,1773184345.4069269,/big.txt,131072,131072
5610,1773184345.4073048,/big.txt,262144,131072
5611,1773184345.4076693,/big.txt,393216,131072
5612,1773184345.408036,/big.txt,524288,131072
5613,1773184345.4083567,/big.txt,655360,131072
5614,1773184345.4086347,/big.txt,786432,131072
5615,1773184345.408901,/big.txt,917504,131072
5616,1773184345.4091606,/big.txt,1048576,131072
5617,1773184345.4094,/big.txt,1179648,131072
5618,1773184345.4096384,/big.txt,1310720,131072
5619,1773184345.4098804,/big.txt,1441792,131072
5620,1773184345.410115,/big.txt,1572864,131072
5621,1773184345.4103527,/big.txt,1703936,131072
5622,1773184345.410589,/big.txt,1835008,131072
5623,1773184345.4108114,/big.txt,1966080,131072
5624,1773184345.4110823,/big.txt,2097152,131072
5625,1773184345.4113224,/big.txt,2228224,131072
5626,1773184345.4115665,/big.txt,2359296,131072
5627,1773184345.411807,/big.txt,2490368,131072
5628,1773184345.4120464,/big.txt,2621440,131072
5629,1773184345.4122863,/big.txt,2752512,131072
5630,1773184345.4125276,/big.txt,2883584,131072
5631,1773184345.412767,/big.txt,3014656,131072
5632,1773184345.4129906,/big.txt,3145728,131072
5633,1773184345.413213,/big.txt,3276800,131072
5634,1773184345.4134338,/big.txt,3407872,131072
5635,1773184345.413657,/big.txt,3538944,131072
5636,1773184345.4138782,/big.txt,3670016,131072
5637,1773184345.4141033,/big.txt,3801088,131072
5638,1773184345.414325,/big.txt,3932160,131072
5639,1773184345.4145474,/big.txt,4063232,131072
5640,1773184345.4147458,/big.txt,4194304,131072
5641,1773184345.4149816,/big.txt,4325376,131072
5642,1773184345.4152057,/big.txt,4456448,131072
5643,1773184345.415431,/big.txt,4587520,131072
5644,1773184345.4156535,/big.txt,4718592,131072
5645,1773184345.4158757,/big.txt,4849664,131072
5646,1773184345.416096,/big.txt,4980736,131072
5647,1773184345.4163203,/big.txt,5111808,131072
5648,1773184345.4165418,/big.txt,5242880,131072
5649,1773184345.4167624,/big.txt,5373952,131072
5650,1773184345.4169843,/big.txt,5505024,131072
