run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,decay_rate,seek_delta,prefetch,prefetch_offset,prefetch_size,prefetch_depth,cache_hit,false_negative
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426701.9698167,/archive.tar,0,10240,unknown,0.0000,0.0000,0,1,10240,4096,1,0,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426701.9724734,/archive.tar,10240,10240,sequential,1.0000,0.0000,0,1,20480,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426701.9748282,/archive.tar,20480,10240,sequential,1.0000,0.0000,0,1,30720,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426701.9770114,/archive.tar,30720,10240,sequential,1.0000,0.0000,0,1,40960,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426701.9792638,/archive.tar,40960,10240,sequential,1.0000,0.0000,0,1,51200,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426701.9814708,/archive.tar,51200,10240,sequential,1.0000,0.0000,0,1,61440,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426701.983707,/archive.tar,61440,10240,sequential,1.0000,0.0000,0,1,71680,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426701.9859476,/archive.tar,71680,10240,sequential,1.0000,0.0000,0,1,81920,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426701.9881387,/archive.tar,81920,10240,sequential,1.0000,0.0000,0,1,92160,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426701.9903228,/archive.tar,92160,10240,sequential,1.0000,0.0000,0,1,102400,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426701.9925277,/archive.tar,102400,10240,sequential,1.0000,0.0000,0,1,112640,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426701.9946716,/archive.tar,112640,10240,sequential,1.0000,0.0000,0,1,122880,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426701.9969232,/archive.tar,122880,10240,sequential,1.0000,0.0000,0,1,133120,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426701.9991639,/archive.tar,133120,10240,sequential,1.0000,0.0000,0,1,143360,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0013971,/archive.tar,143360,10240,sequential,1.0000,0.0000,0,1,153600,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.003606,/archive.tar,153600,10240,sequential,1.0000,0.0000,0,1,163840,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0057266,/archive.tar,163840,10240,sequential,1.0000,0.0000,0,1,174080,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0079403,/archive.tar,174080,10240,sequential,1.0000,0.0000,0,1,184320,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0101366,/archive.tar,184320,10240,sequential,1.0000,0.0000,0,1,194560,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0123425,/archive.tar,194560,10240,sequential,1.0000,0.0000,0,1,204800,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0145319,/archive.tar,204800,10240,sequential,1.0000,0.0000,0,1,215040,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0166545,/archive.tar,215040,10240,sequential,1.0000,0.0000,0,1,225280,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0188968,/archive.tar,225280,10240,sequential,1.0000,0.0000,0,1,235520,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0210857,/archive.tar,235520,10240,sequential,1.0000,0.0000,0,1,245760,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0234132,/archive.tar,245760,10240,sequential,1.0000,0.0000,0,1,256000,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0256476,/archive.tar,256000,10240,sequential,1.0000,0.0000,0,1,266240,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0278616,/archive.tar,266240,10240,sequential,1.0000,0.0000,0,1,276480,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0300658,/archive.tar,276480,10240,sequential,1.0000,0.0000,0,1,286720,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0322294,/archive.tar,286720,10240,sequential,1.0000,0.0000,0,1,296960,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0344229,/archive.tar,296960,10240,sequential,1.0000,0.0000,0,1,307200,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0366635,/archive.tar,307200,10240,sequential,1.0000,0.0000,0,1,317440,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.038999,/archive.tar,317440,10240,sequential,1.0000,0.0000,0,1,327680,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0412462,/archive.tar,327680,10240,sequential,1.0000,0.0000,0,1,337920,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0434008,/archive.tar,337920,10240,sequential,1.0000,0.0000,0,1,348160,4096,1,1,0
317,317_baseline_tar_workload_run06,baseline,tar_workload,1778426702.0456142,/archive.tar,348160,10240,sequential,1.0000,0.0000,0,1,358400,4096,1,1,0
