seq,timestamp,path,offset,size
53135,1773184033.7010014,/archive.tar,0,10240
53136,1773184033.7016468,/archive.tar,10240,10240
53137,1773184033.7019746,/archive.tar,20480,10240
53138,1773184033.7022145,/archive.tar,30720,10240
53139,1773184033.7024312,/archive.tar,40960,10240
53140,1773184033.7025585,/archive.tar,51200,10240
53141,1773184033.7027159,/archive.tar,61440,10240
53142,1773184033.702919,/archive.tar,71680,10240
53143,1773184033.703103,/archive.tar,81920,10240
53144,1773184033.7033541,/archive.tar,92160,10240
53145,1773184033.7035508,/archive.tar,102400,10240
53146,1773184033.7036839,/archive.tar,112640,10240
53147,1773184033.7038424,/archive.tar,122880,10240
53148,1773184033.703967,/archive.tar,133120,10240
53149,1773184033.7041228,/archive.tar,143360,10240
53150,1773184033.7042806,/archive.tar,153600,10240
53151,1773184033.7043912,/archive.tar,163840,10240
53152,1773184033.7045393,/archive.tar,174080,10240
53153,1773184033.7046518,/archive.tar,184320,10240
53154,1773184033.7048068,/archive.tar,194560,10240
53155,1773184033.7049618,/archive.tar,204800,10240
53156,1773184033.7050815,/archive.tar,215040,10240
53157,1773184033.7052233,/archive.tar,225280,10240
53158,1773184033.705328,/archive.tar,235520,10240
53159,1773184033.7054732,/archive.tar,245760,10240
53160,1773184033.7056215,/archive.tar,256000,10240
53161,1773184033.7057276,/archive.tar,266240,10240
53162,1773184033.7058978,/archive.tar,276480,10240
53163,1773184033.7060208,/archive.tar,286720,10240
53164,1773184033.7061744,/archive.tar,296960,10240
53165,1773184033.7063243,/archive.tar,307200,10240
53166,1773184033.7064383,/archive.tar,317440,10240
53167,1773184033.7065907,/archive.tar,327680,10240
53168,1773184033.7067027,/archive.tar,337920,10240
53169,1773184033.7068763,/archive.tar,348160,10240
53170,1773184033.7070472,/archive.tar,358400,10240
53171,1773184033.7071545,/archive.tar,368640,10240
53172,1773184033.7073011,/archive.tar,378880,10240
53173,1773184033.7074106,/archive.tar,389120,10240
53174,1773184033.707546,/archive.tar,399360,10240
53175,1773184033.7076862,/archive.tar,409600,10240
53176,1773184033.7077968,/archive.tar,419840,10240
53177,1773184033.7079365,/archive.tar,430080,10240
53178,1773184033.7080746,/archive.tar,440320,10240
53179,1773184033.7081857,/archive.tar,450560,10240
53180,1773184033.7083282,/archive.tar,460800,10240
53181,1773184033.708437,/archive.tar,471040,10240
53182,1773184033.708575,/archive.tar,481280,10240
53183,1773184033.7087202,/archive.tar,491520,10240
53184,1773184033.7088256,/archive.tar,501760,10240
53185,1773184033.708971,/archive.tar,512000,10240
53186,1773184033.709079,/archive.tar,522240,10240
53187,1773184033.7092183,/archive.tar,532480,10240
53188,1773184033.7093668,/archive.tar,542720,10240
53189,1773184033.7094862,/archive.tar,552960,10240
53190,1773184033.7096312,/archive.tar,563200,10240
53191,1773184033.7097359,/archive.tar,573440,10240
53192,1773184033.7098806,/archive.tar,583680,10240
53193,1773184033.7100246,/archive.tar,593920,10240
53194,1773184033.7101307,/archive.tar,604160,10240
53195,1773184033.7102757,/archive.tar,614400,10240
53196,1773184033.710382,/archive.tar,624640,10240
53197,1773184033.71053,/archive.tar,634880,10240
53198,1773184033.7106762,/archive.tar,645120,10240
53199,1773184033.7108002,/archive.tar,655360,10240
53200,1773184033.7109609,/archive.tar,665600,10240
53201,1773184033.7110655,/archive.tar,675840,10240
53202,1773184033.7112138,/archive.tar,686080,10240
53203,1773184033.7113638,/archive.tar,696320,10240
53204,1773184033.711474,/archive.tar,706560,10240
53205,1773184033.711619,/archive.tar,716800,10240
53206,1773184033.7117317,/archive.tar,727040,10240
53207,1773184033.7118707,/archive.tar,737280,10240
53208,1773184033.7120166,/archive.tar,747520,10240
53209,1773184033.7121298,/archive.tar,757760,10240
53210,1773184033.7122786,/archive.tar,768000,10240
53211,1773184033.7124212,/archive.tar,778240,10240
53212,1773184033.712534,/archive.tar,788480,10240
53213,1773184033.71268,/archive.tar,798720,10240
53214,1773184033.7128017,/archive.tar,808960,10240
53215,1773184033.7129455,/archive.tar,819200,10240
53216,1773184033.7130966,/archive.tar,829440,10240
53217,1773184033.7132008,/archive.tar,839680,10240
53218,1773184033.7133434,/archive.tar,849920,10240
53219,1773184033.7134497,/archive.tar,860160,10240
53220,1773184033.7135932,/archive.tar,870400,10240
53221,1773184033.7137415,/archive.tar,880640,10240
53222,1773184033.7138484,/archive.tar,890880,10240
53223,1773184033.7139974,/archive.tar,901120,10240
53224,1773184033.7141001,/archive.tar,911360,10240
53225,1773184033.7142453,/archive.tar,921600,10240
53226,1773184033.7143931,/archive.tar,931840,10240
53227,1773184033.7144966,/archive.tar,942080,10240
53228,1773184033.7146475,/archive.tar,952320,10240
53229,1773184033.7147522,/archive.tar,962560,10240
53230,1773184033.714922,/archive.tar,972800,10240
53231,1773184033.715071,/archive.tar,983040,10240
53232,1773184033.7151747,/archive.tar,993280,10240
53233,1773184033.7153232,/archive.tar,1003520,10240
53234,1773184033.715429,/archive.tar,1013760,10240
53235,1773184033.7155812,/archive.tar,1024000,10240
53236,1773184033.71573,/archive.tar,1034240,10240
53237,1773184033.715838,/archive.tar,1044480,10240
53238,1773184033.715983,/archive.tar,1054720,10240
53239,1773184033.7160928,/archive.tar,1064960,10240
53240,1773184033.7162356,/archive.tar,1075200,10240
53241,1773184033.716383,/archive.tar,1085440,10240
53242,1773184033.71649,/archive.tar,1095680,10240
53243,1773184033.7166371,/archive.tar,1105920,10240
53244,1773184033.716792,/archive.tar,1116160,10240
53245,1773184033.7169027,/archive.tar,1126400,10240
53246,1773184033.71705,/archive.tar,1136640,10240
53247,1773184033.717161,/archive.tar,1146880,10240
53248,1773184033.717308,/archive.tar,1157120,10240
53249,1773184033.71746,/archive.tar,1167360,10240
53250,1773184033.7175639,/archive.tar,1177600,10240
53251,1773184033.7177103,/archive.tar,1187840,10240
53252,1773184033.7178187,/archive.tar,1198080,10240
53253,1773184033.717971,/archive.tar,1208320,10240
53254,1773184033.7181237,/archive.tar,1218560,10240
53255,1773184033.7182279,/archive.tar,1228800,10240
