workload,mode,n,avg_real,std_real,ci95_real,min_real,max_real,overhead_vs_native
sequential,native,20,0.0260,0.0365,0.0160,0.0150,0.1810,0.0%
sequential,none,20,1.8349,0.1590,0.0697,1.4330,1.9760,+6971.1%
sequential,baseline,20,1.8921,0.1500,0.0657,1.3770,2.1370,+7191.1%
sequential,adaptive,20,1.7418,0.2353,0.1031,1.0490,1.9520,+6612.1%
random,native,20,0.0296,0.0033,0.0015,0.0200,0.0320,0.0%
random,none,20,0.0881,0.0057,0.0025,0.0790,0.0970,+197.0%
random,baseline,20,0.0766,0.0102,0.0045,0.0540,0.0850,+158.2%
random,adaptive,20,0.0805,0.0059,0.0026,0.0570,0.0870,+171.5%
phase_change,native,20,0.0460,0.0008,0.0004,0.0440,0.0470,0.0%
phase_change,none,20,3.2156,0.4564,0.2000,2.1280,3.6400,+6897.9%
phase_change,baseline,20,3.3120,0.4467,0.1958,2.4050,3.7390,+7107.8%
phase_change,adaptive,20,3.4931,0.4053,0.1776,2.2910,3.8320,+7501.8%
gradual_drift,native,20,0.0212,0.0011,0.0005,0.0190,0.0220,0.0%
gradual_drift,none,20,0.2826,0.0522,0.0229,0.2130,0.4340,+1233.0%
gradual_drift,baseline,20,0.2938,0.0495,0.0217,0.2570,0.4860,+1285.6%
gradual_drift,adaptive,20,0.2836,0.0255,0.0112,0.2230,0.3260,+1237.7%
seek_suppression,native,20,0.0212,0.0009,0.0004,0.0190,0.0220,0.0%
seek_suppression,none,20,0.1316,0.0144,0.0063,0.1080,0.1530,+519.5%
seek_suppression,baseline,20,0.1301,0.0131,0.0058,0.1100,0.1560,+512.2%
seek_suppression,adaptive,20,0.1345,0.0130,0.0057,0.1070,0.1530,+532.9%
tar_workload,native,20,0.0162,0.0012,0.0005,0.0140,0.0200,0.0%
tar_workload,none,20,0.4647,0.0660,0.0289,0.2680,0.5160,+2768.5%
tar_workload,baseline,20,0.4707,0.0482,0.0211,0.3850,0.5270,+2805.6%
tar_workload,adaptive,20,0.4661,0.0590,0.0258,0.2960,0.5230,+2777.2%
python_import,native,20,0.0140,0.0040,0.0018,0.0080,0.0300,0.0%
python_import,none,20,0.5795,0.1115,0.0489,0.5120,1.0060,+4053.8%
python_import,baseline,20,0.5948,0.1407,0.0617,0.5200,1.0660,+4163.4%
python_import,adaptive,20,0.6474,0.1529,0.0670,0.5150,0.9790,+4540.5%
cache_lookup_workload,native,20,2.0688,0.0020,0.0009,2.0630,2.0710,0.0%
cache_lookup_workload,none,20,2.7535,0.0094,0.0041,2.7210,2.7640,+33.1%
cache_lookup_workload,baseline,20,2.7595,0.0225,0.0098,2.6820,2.7780,+33.4%
cache_lookup_workload,adaptive,20,2.7477,0.0146,0.0064,2.7140,2.7640,+32.8%
