workload,run,real_sec,user_sec,sys_sec
sequential,1,0.1770,0.0040,0.0210
sequential,2,0.1990,0.0040,0.0180
sequential,3,0.1660,0.0020,0.0170
sequential,4,0.1790,0.0040,0.0210
sequential,5,0.1720,0.0030,0.0200
sequential,6,0.1860,0.0040,0.0190
sequential,7,0.1780,0.0040,0.0200
sequential,8,0.1540,0.0020,0.0160
sequential,9,0.1780,0.0040,0.0210
sequential,10,0.1550,0.0020,0.0160
sequential,11,0.1810,0.0040,0.0210
sequential,12,0.1820,0.0040,0.0210
sequential,13,0.1800,0.0040,0.0210
sequential,14,0.1790,0.0040,0.0210
sequential,15,0.1830,0.0040,0.0210
sequential,16,0.1810,0.0040,0.0210
sequential,17,0.1640,0.0020,0.0170
sequential,18,0.1790,0.0040,0.0210
sequential,19,0.1830,0.0040,0.0210
sequential,20,0.1840,0.0040,0.0210
random,1,0.0470,0.0130,0.0240
random,2,0.0510,0.0150,0.0260
random,3,0.0500,0.0140,0.0260
random,4,0.0510,0.0140,0.0260
random,5,0.0510,0.0140,0.0270
random,6,0.0440,0.0130,0.0230
random,7,0.0450,0.0130,0.0230
random,8,0.0400,0.0120,0.0200
random,9,0.0250,0.0070,0.0120
random,10,0.0500,0.0140,0.0260
random,11,0.0500,0.0150,0.0260
random,12,0.0520,0.0150,0.0260
random,13,0.0510,0.0150,0.0260
random,14,0.0330,0.0090,0.0150
random,15,0.0430,0.0120,0.0230
random,16,0.0510,0.0140,0.0260
random,17,0.0500,0.0140,0.0260
random,18,0.0480,0.0140,0.0260
random,19,0.0330,0.0100,0.0160
random,20,0.0420,0.0120,0.0220
phase_change,1,0.3390,0.0080,0.0420
phase_change,2,0.3460,0.0080,0.0420
phase_change,3,0.3390,0.0080,0.0420
phase_change,4,0.3550,0.0080,0.0420
phase_change,5,0.3410,0.0090,0.0420
phase_change,6,0.3470,0.0080,0.0420
phase_change,7,0.3410,0.0090,0.0420
phase_change,8,0.3300,0.0070,0.0390
phase_change,9,0.3480,0.0090,0.0420
phase_change,10,0.3230,0.0070,0.0370
phase_change,11,0.3460,0.0090,0.0420
phase_change,12,0.3390,0.0090,0.0420
phase_change,13,0.3500,0.0090,0.0430
phase_change,14,0.3780,0.0100,0.0430
phase_change,15,0.3680,0.0090,0.0430
phase_change,16,0.3440,0.0080,0.0420
phase_change,17,0.4040,0.0080,0.0410
phase_change,18,0.3470,0.0080,0.0420
phase_change,19,0.3850,0.0090,0.0440
phase_change,20,0.3620,0.0090,0.0430
sqlite_workload,1,0.0260,0.0050,0.0060
sqlite_workload,2,0.0330,0.0060,0.0070
sqlite_workload,3,0.0320,0.0060,0.0070
sqlite_workload,4,0.0320,0.0060,0.0080
sqlite_workload,5,0.0320,0.0060,0.0080
sqlite_workload,6,0.0330,0.0060,0.0070
sqlite_workload,7,0.0310,0.0060,0.0070
sqlite_workload,8,0.0330,0.0060,0.0080
sqlite_workload,9,0.0320,0.0060,0.0080
sqlite_workload,10,0.0310,0.0060,0.0080
sqlite_workload,11,0.0330,0.0060,0.0080
sqlite_workload,12,0.0310,0.0050,0.0070
sqlite_workload,13,0.0330,0.0060,0.0080
sqlite_workload,14,0.0320,0.0060,0.0080
sqlite_workload,15,0.0290,0.0060,0.0070
sqlite_workload,16,0.0320,0.0060,0.0080
sqlite_workload,17,0.0310,0.0060,0.0080
sqlite_workload,18,0.0280,0.0060,0.0070
sqlite_workload,19,0.0320,0.0060,0.0070
sqlite_workload,20,0.0320,0.0060,0.0080
tar_workload,1,0.0610,0.0080,0.0460
tar_workload,2,0.0730,0.0100,0.0520
tar_workload,3,0.0680,0.0100,0.0500
tar_workload,4,0.0690,0.0100,0.0510
tar_workload,5,0.0970,0.0100,0.0560
tar_workload,6,0.0680,0.0100,0.0500
tar_workload,7,0.0620,0.0090,0.0460
tar_workload,8,0.0600,0.0080,0.0440
tar_workload,9,0.0660,0.0100,0.0480
tar_workload,10,0.0620,0.0090,0.0450
tar_workload,11,0.0690,0.0100,0.0500
tar_workload,12,0.0680,0.0100,0.0500
tar_workload,13,0.0690,0.0100,0.0500
tar_workload,14,0.0680,0.0100,0.0500
tar_workload,15,0.0620,0.0090,0.0450
tar_workload,16,0.0680,0.0100,0.0500
tar_workload,17,0.0620,0.0090,0.0450
tar_workload,18,0.0690,0.0100,0.0500
tar_workload,19,0.0680,0.0100,0.0500
tar_workload,20,0.0620,0.0090,0.0450
python_import,1,0.0670,0.0060,0.0180
python_import,2,0.0750,0.0070,0.0210
python_import,3,0.0760,0.0070,0.0210
python_import,4,0.0760,0.0070,0.0210
python_import,5,0.0800,0.0070,0.0230
python_import,6,0.0800,0.0080,0.0240
python_import,7,0.0780,0.0080,0.0230
python_import,8,0.0790,0.0080,0.0240
python_import,9,0.0840,0.0080,0.0260
python_import,10,0.0960,0.0080,0.0250
python_import,11,0.0770,0.0070,0.0220
python_import,12,0.0700,0.0060,0.0170
python_import,13,0.0790,0.0070,0.0220
python_import,14,0.0710,0.0070,0.0200
python_import,15,0.0740,0.0060,0.0210
python_import,16,0.0770,0.0070,0.0210
python_import,17,0.0770,0.0070,0.0210
python_import,18,0.0750,0.0070,0.0200
python_import,19,0.0680,0.0060,0.0180
python_import,20,0.0750,0.0070,0.0200
