seq,timestamp,path,offset,size
83713,1773185838.309139,/big.txt,0,65536
83714,1773185838.30927,/big.txt,65536,65536
83715,1773185838.3095071,/big.txt,131072,65536
83716,1773185838.309698,/big.txt,196608,65536
83717,1773185838.309769,/big.txt,262144,65536
83718,1773185838.309845,/big.txt,327680,65536
83719,1773185838.309936,/big.txt,393216,65536
83720,1773185838.310074,/big.txt,458752,65536
83721,1773185838.310198,/big.txt,524288,65536
83722,1773185838.3103092,/big.txt,589824,65536
83723,1773185838.310403,/big.txt,655360,65536
83724,1773185838.310488,/big.txt,720896,65536
83725,1773185838.310563,/big.txt,786432,65536
83726,1773185838.3106282,/big.txt,851968,65536
83727,1773185838.310703,/big.txt,917504,65536
83728,1773185838.310765,/big.txt,983040,65536
83729,1773185838.3108249,/big.txt,1048576,65536
83730,1773185838.310888,/big.txt,1114112,65536
83731,1773185838.310975,/big.txt,1179648,65536
83732,1773185838.311071,/big.txt,1245184,65536
83733,1773185838.31115,/big.txt,1310720,65536
83734,1773185838.311212,/big.txt,1376256,65536
83735,1773185838.311268,/big.txt,1441792,65536
83736,1773185838.311323,/big.txt,1507328,65536
83737,1773185838.3113759,/big.txt,1572864,65536
83738,1773185838.311432,/big.txt,1638400,65536
83739,1773185838.311486,/big.txt,1703936,65536
83740,1773185838.31154,/big.txt,1769472,65536
83741,1773185838.311591,/big.txt,1835008,65536
83742,1773185838.311645,/big.txt,1900544,65536
83743,1773185838.311697,/big.txt,1966080,65536
83744,1773185838.31175,/big.txt,2031616,65536
83745,1773185838.311807,/big.txt,2097152,65536
83746,1773185838.31186,/big.txt,2162688,65536
83747,1773185838.311918,/big.txt,2228224,65536
83748,1773185838.311975,/big.txt,2293760,65536
83749,1773185838.312028,/big.txt,2359296,65536
83750,1773185838.3120792,/big.txt,2424832,65536
83751,1773185838.3121312,/big.txt,2490368,65536
83752,1773185838.312182,/big.txt,2555904,65536
83753,1773185838.312234,/big.txt,2621440,65536
83754,1773185838.312285,/big.txt,2686976,65536
83755,1773185838.312337,/big.txt,2752512,65536
83756,1773185838.3123882,/big.txt,2818048,65536
83757,1773185838.312439,/big.txt,2883584,65536
83758,1773185838.312497,/big.txt,2949120,65536
83759,1773185838.312549,/big.txt,3014656,65536
83760,1773185838.312608,/big.txt,3080192,65536
83761,1773185838.3126552,/big.txt,3145728,65536
83762,1773185838.312703,/big.txt,3211264,65536
83763,1773185838.312751,/big.txt,3276800,65536
83764,1773185838.312799,/big.txt,3342336,65536
83765,1773185838.3128471,/big.txt,3407872,65536
83766,1773185838.3128982,/big.txt,3473408,65536
83767,1773185838.3129458,/big.txt,3538944,65536
83768,1773185838.312994,/big.txt,3604480,65536
83769,1773185838.313041,/big.txt,3670016,65536
83770,1773185838.3131258,/big.txt,3735552,65536
83771,1773185838.313189,/big.txt,3801088,65536
83772,1773185838.313246,/big.txt,3866624,65536
83773,1773185838.313299,/big.txt,3932160,65536
83774,1773185838.31335,/big.txt,3997696,65536
83775,1773185838.313401,/big.txt,4063232,65536
83776,1773185838.313451,/big.txt,4128768,65536
83777,1773185838.313527,/big.txt,4194304,65536
83778,1773185838.313589,/big.txt,4259840,65536
83779,1773185838.313642,/big.txt,4325376,65536
83780,1773185838.313694,/big.txt,4390912,65536
83781,1773185838.3137438,/big.txt,4456448,65536
83782,1773185838.313795,/big.txt,4521984,65536
83783,1773185838.313844,/big.txt,4587520,65536
83784,1773185838.313893,/big.txt,4653056,65536
83785,1773185838.313941,/big.txt,4718592,65536
83786,1773185838.3139908,/big.txt,4784128,65536
83787,1773185838.31404,/big.txt,4849664,65536
83788,1773185838.314089,/big.txt,4915200,65536
83789,1773185838.314137,/big.txt,4980736,65536
83790,1773185838.314186,/big.txt,5046272,65536
83791,1773185838.3142452,/big.txt,5111808,65536
83792,1773185838.314307,/big.txt,5177344,65536
83793,1773185838.3143601,/big.txt,5242880,65536
83794,1773185838.314411,/big.txt,5308416,65536
83795,1773185838.314461,/big.txt,5373952,65536
83796,1773185838.314511,/big.txt,5439488,65536
83797,1773185838.3145568,/big.txt,5505024,65536
83798,1773185838.3146281,/big.txt,5570560,65536
83799,1773185838.314673,/big.txt,5636096,65536
83800,1773185838.3147159,/big.txt,5701632,65536
83801,1773185838.314759,/big.txt,5767168,65536
83802,1773185838.314803,/big.txt,5832704,65536
83803,1773185838.314846,/big.txt,5898240,65536
83804,1773185838.31489,/big.txt,5963776,65536
83805,1773185838.3149362,/big.txt,6029312,65536
83806,1773185838.3149812,/big.txt,6094848,65536
83807,1773185838.315027,/big.txt,6160384,65536
83808,1773185838.31507,/big.txt,6225920,65536
83809,1773185838.315115,/big.txt,6291456,65536
83810,1773185838.315159,/big.txt,6356992,65536
83811,1773185838.3152032,/big.txt,6422528,65536
83812,1773185838.315247,/big.txt,6488064,65536
83813,1773185838.3152902,/big.txt,6553600,65536
83814,1773185838.3153338,/big.txt,6619136,65536
83815,1773185838.315377,/big.txt,6684672,65536
83816,1773185838.315422,/big.txt,6750208,65536
83817,1773185838.3154671,/big.txt,6815744,65536
83818,1773185838.3155131,/big.txt,6881280,65536
83819,1773185838.315557,/big.txt,6946816,65536
83820,1773185838.3156018,/big.txt,7012352,65536
83821,1773185838.315645,/big.txt,7077888,65536
83822,1773185838.3156888,/big.txt,7143424,65536
83823,1773185838.315732,/big.txt,7208960,65536
83824,1773185838.315774,/big.txt,7274496,65536
83825,1773185838.31582,/big.txt,7340032,65536
83826,1773185838.315864,/big.txt,7405568,65536
83827,1773185838.315925,/big.txt,7471104,65536
