timestamp,mode,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size,prefetch_depth
1773186221.7438579,baseline,/pyfiles/module_1.py,0,137,unknown,0.0000,1,137,4096,1
1773186221.743924,baseline,/pyfiles/module_1.py,137,0,sequential,1.0000,0,,,1
1773186221.744125,baseline,/pyfiles/module_10.py,0,142,irregular,0.5000,1,142,4096,1
1773186221.744172,baseline,/pyfiles/module_10.py,142,0,irregular,0.6667,0,,,1
1773186221.74433,baseline,/pyfiles/module_100.py,0,147,irregular,0.5000,1,147,4096,1
1773186221.744364,baseline,/pyfiles/module_100.py,147,0,irregular,0.5000,0,,,1
1773186221.744513,baseline,/pyfiles/module_101.py,0,147,irregular,0.5000,1,147,4096,1
1773186221.744548,baseline,/pyfiles/module_101.py,147,0,irregular,0.5000,0,,,1
1773186221.74469,baseline,/pyfiles/module_102.py,0,147,irregular,0.5000,1,147,4096,1
1773186221.744746,baseline,/pyfiles/module_102.py,147,0,irregular,0.5000,0,,,1
1773186221.744898,baseline,/pyfiles/module_103.py,0,147,irregular,0.5000,1,147,4096,1
1773186221.744929,baseline,/pyfiles/module_103.py,147,0,irregular,0.5000,0,,,1
1773186221.745069,baseline,/pyfiles/module_104.py,0,147,irregular,0.5000,1,147,4096,1
1773186221.7451,baseline,/pyfiles/module_104.py,147,0,irregular,0.5000,0,,,1
1773186221.7452328,baseline,/pyfiles/module_105.py,0,147,irregular,0.5000,1,147,4096,1
1773186221.745265,baseline,/pyfiles/module_105.py,147,0,irregular,0.5000,0,,,1
1773186221.745392,baseline,/pyfiles/module_106.py,0,147,irregular,0.5000,1,147,4096,1
1773186221.745423,baseline,/pyfiles/module_106.py,147,0,irregular,0.5000,0,,,1
1773186221.7455611,baseline,/pyfiles/module_107.py,0,147,irregular,0.5000,1,147,4096,1
1773186221.745596,baseline,/pyfiles/module_107.py,147,0,irregular,0.5000,0,,,1
1773186221.745733,baseline,/pyfiles/module_108.py,0,147,irregular,0.5000,1,147,4096,1
1773186221.7457678,baseline,/pyfiles/module_108.py,147,0,irregular,0.5000,0,,,1
1773186221.745901,baseline,/pyfiles/module_109.py,0,147,irregular,0.5000,1,147,4096,1
1773186221.745932,baseline,/pyfiles/module_109.py,147,0,irregular,0.5000,0,,,1
1773186221.746061,baseline,/pyfiles/module_11.py,0,142,irregular,0.5000,1,142,4096,1
1773186221.7460961,baseline,/pyfiles/module_11.py,142,0,irregular,0.5000,0,,,1
