seq,timestamp,path,offset,size
28819,1773186263.900854,/big.txt,0,65536
28820,1773186263.9010189,/big.txt,65536,65536
28821,1773186263.901199,/big.txt,131072,65536
28822,1773186263.901335,/big.txt,196608,65536
28823,1773186263.9015732,/big.txt,262144,65536
28824,1773186263.901768,/big.txt,327680,65536
28825,1773186263.901886,/big.txt,393216,65536
28826,1773186263.901999,/big.txt,458752,65536
28827,1773186263.902111,/big.txt,524288,65536
28828,1773186263.9022322,/big.txt,589824,65536
28829,1773186263.902338,/big.txt,655360,65536
28830,1773186263.902463,/big.txt,720896,65536
28831,1773186263.9025779,/big.txt,786432,65536
28832,1773186263.902681,/big.txt,851968,65536
28833,1773186263.902791,/big.txt,917504,65536
28834,1773186263.902901,/big.txt,983040,65536
28835,1773186263.903003,/big.txt,1048576,65536
28836,1773186263.9031098,/big.txt,1114112,65536
28837,1773186263.903213,/big.txt,1179648,65536
28838,1773186263.903324,/big.txt,1245184,65536
28839,1773186263.903429,/big.txt,1310720,65536
28840,1773186263.9035368,/big.txt,1376256,65536
28841,1773186263.903643,/big.txt,1441792,65536
28842,1773186263.9037461,/big.txt,1507328,65536
28843,1773186263.903852,/big.txt,1572864,65536
28844,1773186263.903955,/big.txt,1638400,65536
28845,1773186263.904057,/big.txt,1703936,65536
28846,1773186263.9041631,/big.txt,1769472,65536
28847,1773186263.904269,/big.txt,1835008,65536
28848,1773186263.9043798,/big.txt,1900544,65536
28849,1773186263.904483,/big.txt,1966080,65536
28850,1773186263.904587,/big.txt,2031616,65536
28851,1773186263.90469,/big.txt,2097152,65536
28852,1773186263.904796,/big.txt,2162688,65536
28853,1773186263.904897,/big.txt,2228224,65536
28854,1773186263.9049978,/big.txt,2293760,65536
28855,1773186263.905099,/big.txt,2359296,65536
28856,1773186263.905201,/big.txt,2424832,65536
28857,1773186263.905304,/big.txt,2490368,65536
28858,1773186263.905408,/big.txt,2555904,65536
28859,1773186263.9055,/big.txt,2621440,65536
28860,1773186263.905586,/big.txt,2686976,65536
28861,1773186263.905675,/big.txt,2752512,65536
28862,1773186263.905761,/big.txt,2818048,65536
