timestamp,mode,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size,prefetch_depth
1773186242.777351,adaptive,/big.txt,0,65536,unknown,0.0000,0,,,1
1773186242.777581,adaptive,/big.txt,65536,65536,sequential,1.0000,1,131072,4096,1
1773186242.7777128,adaptive,/big.txt,131072,65536,sequential,1.0000,1,196608,4096,1
1773186242.777837,adaptive,/big.txt,196608,65536,sequential,1.0000,1,262144,4096,1
1773186242.777947,adaptive,/big.txt,262144,65536,sequential,1.0000,1,327680,4096,1
1773186242.778056,adaptive,/big.txt,327680,65536,sequential,1.0000,1,393216,4096,1
1773186242.778157,adaptive,/big.txt,393216,65536,sequential,1.0000,1,458752,4096,1
1773186242.778259,adaptive,/big.txt,458752,65536,sequential,1.0000,1,524288,4096,1
1773186242.778359,adaptive,/big.txt,524288,65536,sequential,1.0000,1,589824,4096,1
1773186242.7784598,adaptive,/big.txt,589824,65536,sequential,1.0000,1,655360,4096,1
1773186242.7785652,adaptive,/big.txt,655360,65536,sequential,1.0000,1,720896,4096,1
1773186242.778666,adaptive,/big.txt,720896,65536,sequential,1.0000,1,786432,4096,1
1773186242.7787678,adaptive,/big.txt,786432,65536,sequential,1.0000,1,851968,4096,1
1773186242.778867,adaptive,/big.txt,851968,65536,sequential,1.0000,1,917504,4096,1
1773186242.778966,adaptive,/big.txt,917504,65536,sequential,1.0000,1,983040,4096,1
1773186242.779068,adaptive,/big.txt,983040,65536,sequential,1.0000,1,1048576,4096,1
1773186242.779169,adaptive,/big.txt,1048576,65536,sequential,1.0000,1,1114112,4096,1
1773186242.779271,adaptive,/big.txt,1114112,65536,sequential,1.0000,1,1179648,4096,1
1773186242.779376,adaptive,/big.txt,1179648,65536,sequential,1.0000,1,1245184,4096,1
1773186242.779479,adaptive,/big.txt,1245184,65536,sequential,1.0000,1,1310720,4096,1
1773186242.779579,adaptive,/big.txt,1310720,65536,sequential,1.0000,1,1376256,4096,1
1773186242.77968,adaptive,/big.txt,1376256,65536,sequential,1.0000,1,1441792,4096,1
1773186242.779836,adaptive,/big.txt,1441792,65536,sequential,1.0000,1,1507328,4096,1
1773186242.780055,adaptive,/big.txt,1507328,65536,sequential,1.0000,1,1572864,4096,1
1773186242.7802088,adaptive,/big.txt,1572864,65536,sequential,1.0000,1,1638400,4096,1
1773186242.7803268,adaptive,/big.txt,1638400,65536,sequential,1.0000,1,1703936,4096,1
1773186242.780442,adaptive,/big.txt,1703936,65536,sequential,1.0000,1,1769472,4096,1
1773186242.7805471,adaptive,/big.txt,1769472,65536,sequential,1.0000,1,1835008,4096,1
1773186242.780653,adaptive,/big.txt,1835008,65536,sequential,1.0000,1,1900544,4096,1
1773186242.780755,adaptive,/big.txt,1900544,65536,sequential,1.0000,1,1966080,4096,1
1773186242.780858,adaptive,/big.txt,1966080,65536,sequential,1.0000,1,2031616,4096,1
1773186242.780965,adaptive,/big.txt,2031616,65536,sequential,1.0000,1,2097152,4096,1
1773186242.781075,adaptive,/big.txt,2097152,65536,sequential,1.0000,1,2162688,4096,1
1773186242.781188,adaptive,/big.txt,2162688,65536,sequential,1.0000,1,2228224,4096,1
1773186242.781296,adaptive,/big.txt,2228224,65536,sequential,1.0000,1,2293760,4096,1
1773186242.7814028,adaptive,/big.txt,2293760,65536,sequential,1.0000,1,2359296,4096,1
1773186242.781516,adaptive,/big.txt,2359296,65536,sequential,1.0000,1,2424832,4096,1
1773186242.781641,adaptive,/big.txt,2424832,65536,sequential,1.0000,1,2490368,4096,1
1773186242.781753,adaptive,/big.txt,2490368,65536,sequential,1.0000,1,2555904,4096,1
1773186242.781852,adaptive,/big.txt,2555904,65536,sequential,1.0000,1,2621440,4096,1
1773186242.781944,adaptive,/big.txt,2621440,65536,sequential,1.0000,1,2686976,4096,1
1773186242.782169,adaptive,/big.txt,2686976,65536,sequential,1.0000,1,2752512,4096,1
1773186242.782259,adaptive,/big.txt,2752512,65536,sequential,1.0000,1,2818048,4096,1
1773186242.782322,adaptive,/big.txt,2818048,65536,sequential,1.0000,1,2883584,4096,1
1773186242.7824168,adaptive,/big.txt,2883584,65536,sequential,1.0000,1,2949120,4096,1
1773186242.782513,adaptive,/big.txt,2949120,65536,sequential,1.0000,1,3014656,4096,1
1773186242.782584,adaptive,/big.txt,3014656,65536,sequential,1.0000,1,3080192,4096,1
1773186242.782669,adaptive,/big.txt,3080192,65536,sequential,1.0000,1,3145728,4096,1
1773186242.7827258,adaptive,/big.txt,3145728,65536,sequential,1.0000,1,3211264,4096,1
1773186242.78278,adaptive,/big.txt,3211264,65536,sequential,1.0000,1,3276800,4096,1
1773186242.7828329,adaptive,/big.txt,3276800,65536,sequential,1.0000,1,3342336,4096,1
1773186242.782885,adaptive,/big.txt,3342336,65536,sequential,1.0000,1,3407872,4096,1
1773186242.782936,adaptive,/big.txt,3407872,65536,sequential,1.0000,1,3473408,4096,1
1773186242.78299,adaptive,/big.txt,3473408,65536,sequential,1.0000,1,3538944,4096,1
1773186242.783039,adaptive,/big.txt,3538944,65536,sequential,1.0000,1,3604480,4096,1
1773186242.783082,adaptive,/big.txt,3604480,65536,sequential,1.0000,1,3670016,4096,1
1773186242.783128,adaptive,/big.txt,3670016,65536,sequential,1.0000,1,3735552,4096,1
1773186242.783177,adaptive,/big.txt,3735552,65536,sequential,1.0000,1,3801088,4096,1
1773186242.783225,adaptive,/big.txt,3801088,65536,sequential,1.0000,1,3866624,4096,1
1773186242.783267,adaptive,/big.txt,3866624,65536,sequential,1.0000,1,3932160,4096,1
1773186242.7833128,adaptive,/big.txt,3932160,65536,sequential,1.0000,1,3997696,4096,1
1773186242.783363,adaptive,/big.txt,3997696,65536,sequential,1.0000,1,4063232,4096,1
1773186242.783415,adaptive,/big.txt,4063232,65536,sequential,1.0000,1,4128768,4096,1
1773186242.783458,adaptive,/big.txt,4128768,65536,sequential,1.0000,1,4194304,4096,1
1773186242.783506,adaptive,/big.txt,4194304,65536,sequential,1.0000,1,4259840,4096,1
1773186242.783555,adaptive,/big.txt,4259840,65536,sequential,1.0000,1,4325376,4096,1
1773186242.783602,adaptive,/big.txt,4325376,65536,sequential,1.0000,1,4390912,4096,1
1773186242.783649,adaptive,/big.txt,4390912,65536,sequential,1.0000,1,4456448,4096,1
1773186242.7836952,adaptive,/big.txt,4456448,65536,sequential,1.0000,1,4521984,4096,1
1773186242.7837398,adaptive,/big.txt,4521984,65536,sequential,1.0000,1,4587520,4096,1
1773186242.783788,adaptive,/big.txt,4587520,65536,sequential,1.0000,1,4653056,4096,1
1773186242.78387,adaptive,/big.txt,4653056,65536,sequential,1.0000,1,4718592,4096,1
1773186242.783929,adaptive,/big.txt,4718592,65536,sequential,1.0000,1,4784128,4096,1
1773186242.783977,adaptive,/big.txt,4784128,65536,sequential,1.0000,1,4849664,4096,1
1773186242.784019,adaptive,/big.txt,4849664,65536,sequential,1.0000,1,4915200,4096,1
1773186242.784061,adaptive,/big.txt,4915200,65536,sequential,1.0000,1,4980736,4096,1
1773186242.784102,adaptive,/big.txt,4980736,65536,sequential,1.0000,1,5046272,4096,1
1773186242.784141,adaptive,/big.txt,5046272,65536,sequential,1.0000,1,5111808,4096,1
1773186242.784178,adaptive,/big.txt,5111808,65536,sequential,1.0000,1,5177344,4096,1
1773186242.784215,adaptive,/big.txt,5177344,65536,sequential,1.0000,1,5242880,4096,1
1773186242.784252,adaptive,/big.txt,5242880,65536,sequential,1.0000,1,5308416,4096,1
1773186242.78429,adaptive,/big.txt,5308416,65536,sequential,1.0000,1,5373952,4096,1
1773186242.7843451,adaptive,/big.txt,5373952,65536,sequential,1.0000,1,5439488,4096,1
1773186242.78445,adaptive,/big.txt,5439488,65536,sequential,1.0000,1,5505024,4096,1
1773186242.784579,adaptive,/big.txt,5505024,65536,sequential,1.0000,1,5570560,4096,1
1773186242.784679,adaptive,/big.txt,5570560,65536,sequential,1.0000,1,5636096,4096,1
1773186242.7847779,adaptive,/big.txt,5636096,65536,sequential,1.0000,1,5701632,4096,1
1773186242.784877,adaptive,/big.txt,5701632,65536,sequential,1.0000,1,5767168,4096,1
1773186242.784974,adaptive,/big.txt,5767168,65536,sequential,1.0000,1,5832704,4096,1
1773186242.785072,adaptive,/big.txt,5832704,65536,sequential,1.0000,1,5898240,4096,1
1773186242.785171,adaptive,/big.txt,5898240,65536,sequential,1.0000,1,5963776,4096,1
1773186242.78527,adaptive,/big.txt,5963776,65536,sequential,1.0000,1,6029312,4096,1
1773186242.7853692,adaptive,/big.txt,6029312,65536,sequential,1.0000,1,6094848,4096,1
1773186242.7854679,adaptive,/big.txt,6094848,65536,sequential,1.0000,1,6160384,4096,1
1773186242.785569,adaptive,/big.txt,6160384,65536,sequential,1.0000,1,6225920,4096,1
1773186242.7856882,adaptive,/big.txt,6225920,65536,sequential,1.0000,1,6291456,4096,1
1773186242.7857862,adaptive,/big.txt,6291456,65536,sequential,1.0000,1,6356992,4096,1
1773186242.785888,adaptive,/big.txt,6356992,65536,sequential,1.0000,1,6422528,4096,1
1773186242.785984,adaptive,/big.txt,6422528,65536,sequential,1.0000,1,6488064,4096,1
1773186242.786067,adaptive,/big.txt,6488064,65536,sequential,1.0000,1,6553600,4096,1
1773186242.78615,adaptive,/big.txt,6553600,65536,sequential,1.0000,1,6619136,4096,1
1773186242.7862332,adaptive,/big.txt,6619136,65536,sequential,1.0000,1,6684672,4096,1
1773186242.786316,adaptive,/big.txt,6684672,65536,sequential,1.0000,1,6750208,4096,1
1773186242.786399,adaptive,/big.txt,6750208,65536,sequential,1.0000,1,6815744,4096,1
1773186242.786481,adaptive,/big.txt,6815744,65536,sequential,1.0000,1,6881280,4096,1
1773186242.786564,adaptive,/big.txt,6881280,65536,sequential,1.0000,1,6946816,4096,1
1773186242.786666,adaptive,/big.txt,6946816,65536,sequential,1.0000,1,7012352,4096,1
1773186242.786726,adaptive,/big.txt,7012352,65536,sequential,1.0000,1,7077888,4096,1
1773186242.786763,adaptive,/big.txt,7077888,65536,sequential,1.0000,1,7143424,4096,1
1773186242.7867992,adaptive,/big.txt,7143424,65536,sequential,1.0000,1,7208960,4096,1
1773186242.786835,adaptive,/big.txt,7208960,65536,sequential,1.0000,1,7274496,4096,1
1773186242.786871,adaptive,/big.txt,7274496,65536,sequential,1.0000,1,7340032,4096,1
1773186242.786907,adaptive,/big.txt,7340032,65536,sequential,1.0000,1,7405568,4096,1
1773186242.786945,adaptive,/big.txt,7405568,65536,sequential,1.0000,1,7471104,4096,1
1773186242.7869818,adaptive,/big.txt,7471104,65536,sequential,1.0000,1,7536640,4096,1
1773186242.787018,adaptive,/big.txt,7536640,65536,sequential,1.0000,1,7602176,4096,1
1773186242.787053,adaptive,/big.txt,7602176,65536,sequential,1.0000,1,7667712,4096,1
1773186242.7870889,adaptive,/big.txt,7667712,65536,sequential,1.0000,1,7733248,4096,1
1773186242.787125,adaptive,/big.txt,7733248,65536,sequential,1.0000,1,7798784,4096,1
1773186242.7871602,adaptive,/big.txt,7798784,65536,sequential,1.0000,1,7864320,4096,1
1773186242.7872052,adaptive,/big.txt,7864320,65536,sequential,1.0000,1,7929856,4096,1
1773186242.787298,adaptive,/big.txt,7929856,65536,sequential,1.0000,1,7995392,4096,1
1773186242.7873821,adaptive,/big.txt,7995392,65536,sequential,1.0000,1,8060928,4096,1
1773186242.787466,adaptive,/big.txt,8060928,65536,sequential,1.0000,1,8126464,4096,1
