timestamp,mode,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size,prefetch_depth
1773185974.626611,baseline,/big.txt,0,65536,unknown,0.0000,1,65536,4096,1
1773185974.626688,baseline,/big.txt,65536,65536,sequential,1.0000,1,131072,4096,1
1773185974.626747,baseline,/big.txt,131072,65536,sequential,1.0000,1,196608,4096,1
1773185974.626801,baseline,/big.txt,196608,65536,sequential,1.0000,1,262144,4096,1
1773185974.6268532,baseline,/big.txt,262144,65536,sequential,1.0000,1,327680,4096,1
1773185974.626904,baseline,/big.txt,327680,65536,sequential,1.0000,1,393216,4096,1
1773185974.626954,baseline,/big.txt,393216,65536,sequential,1.0000,1,458752,4096,1
1773185974.627003,baseline,/big.txt,458752,65536,sequential,1.0000,1,524288,4096,1
1773185974.627053,baseline,/big.txt,524288,65536,sequential,1.0000,1,589824,4096,1
1773185974.627102,baseline,/big.txt,589824,65536,sequential,1.0000,1,655360,4096,1
1773185974.627152,baseline,/big.txt,655360,65536,sequential,1.0000,1,720896,4096,1
1773185974.6272051,baseline,/big.txt,720896,65536,sequential,1.0000,1,786432,4096,1
1773185974.62726,baseline,/big.txt,786432,65536,sequential,1.0000,1,851968,4096,1
1773185974.62731,baseline,/big.txt,851968,65536,sequential,1.0000,1,917504,4096,1
1773185974.627359,baseline,/big.txt,917504,65536,sequential,1.0000,1,983040,4096,1
1773185974.627407,baseline,/big.txt,983040,65536,sequential,1.0000,1,1048576,4096,1
1773185974.627459,baseline,/big.txt,1048576,65536,sequential,1.0000,1,1114112,4096,1
1773185974.627508,baseline,/big.txt,1114112,65536,sequential,1.0000,1,1179648,4096,1
1773185974.627556,baseline,/big.txt,1179648,65536,sequential,1.0000,1,1245184,4096,1
1773185974.627604,baseline,/big.txt,1245184,65536,sequential,1.0000,1,1310720,4096,1
1773185974.6276522,baseline,/big.txt,1310720,65536,sequential,1.0000,1,1376256,4096,1
1773185974.627701,baseline,/big.txt,1376256,65536,sequential,1.0000,1,1441792,4096,1
1773185974.6277509,baseline,/big.txt,1441792,65536,sequential,1.0000,1,1507328,4096,1
1773185974.627799,baseline,/big.txt,1507328,65536,sequential,1.0000,1,1572864,4096,1
1773185974.627847,baseline,/big.txt,1572864,65536,sequential,1.0000,1,1638400,4096,1
1773185974.627896,baseline,/big.txt,1638400,65536,sequential,1.0000,1,1703936,4096,1
1773185974.627946,baseline,/big.txt,1703936,65536,sequential,1.0000,1,1769472,4096,1
1773185974.6279948,baseline,/big.txt,1769472,65536,sequential,1.0000,1,1835008,4096,1
1773185974.6280441,baseline,/big.txt,1835008,65536,sequential,1.0000,1,1900544,4096,1
1773185974.6280918,baseline,/big.txt,1900544,65536,sequential,1.0000,1,1966080,4096,1
1773185974.6281412,baseline,/big.txt,1966080,65536,sequential,1.0000,1,2031616,4096,1
1773185974.62819,baseline,/big.txt,2031616,65536,sequential,1.0000,1,2097152,4096,1
1773185974.6282399,baseline,/big.txt,2097152,65536,sequential,1.0000,1,2162688,4096,1
1773185974.628289,baseline,/big.txt,2162688,65536,sequential,1.0000,1,2228224,4096,1
1773185974.628337,baseline,/big.txt,2228224,65536,sequential,1.0000,1,2293760,4096,1
1773185974.628386,baseline,/big.txt,2293760,65536,sequential,1.0000,1,2359296,4096,1
1773185974.6284359,baseline,/big.txt,2359296,65536,sequential,1.0000,1,2424832,4096,1
1773185974.628486,baseline,/big.txt,2424832,65536,sequential,1.0000,1,2490368,4096,1
1773185974.628535,baseline,/big.txt,2490368,65536,sequential,1.0000,1,2555904,4096,1
1773185974.628644,baseline,/big.txt,2555904,65536,sequential,1.0000,1,2621440,4096,1
1773185974.6287081,baseline,/big.txt,2621440,65536,sequential,1.0000,1,2686976,4096,1
1773185974.6288111,baseline,/big.txt,2686976,65536,sequential,1.0000,1,2752512,4096,1
1773185974.628883,baseline,/big.txt,2752512,65536,sequential,1.0000,1,2818048,4096,1
1773185974.628942,baseline,/big.txt,2818048,65536,sequential,1.0000,1,2883584,4096,1
1773185974.629,baseline,/big.txt,2883584,65536,sequential,1.0000,1,2949120,4096,1
1773185974.629054,baseline,/big.txt,2949120,65536,sequential,1.0000,1,3014656,4096,1
1773185974.629108,baseline,/big.txt,3014656,65536,sequential,1.0000,1,3080192,4096,1
1773185974.629178,baseline,/big.txt,3080192,65536,sequential,1.0000,1,3145728,4096,1
1773185974.6292312,baseline,/big.txt,3145728,65536,sequential,1.0000,1,3211264,4096,1
1773185974.6292832,baseline,/big.txt,3211264,65536,sequential,1.0000,1,3276800,4096,1
1773185974.629336,baseline,/big.txt,3276800,65536,sequential,1.0000,1,3342336,4096,1
1773185974.629388,baseline,/big.txt,3342336,65536,sequential,1.0000,1,3407872,4096,1
1773185974.6294389,baseline,/big.txt,3407872,65536,sequential,1.0000,1,3473408,4096,1
1773185974.629503,baseline,/big.txt,3473408,65536,sequential,1.0000,1,3538944,4096,1
1773185974.629643,baseline,/big.txt,3538944,65536,sequential,1.0000,1,3604480,4096,1
1773185974.629709,baseline,/big.txt,3604480,65536,sequential,1.0000,1,3670016,4096,1
1773185974.629823,baseline,/big.txt,3670016,65536,sequential,1.0000,1,3735552,4096,1
1773185974.629973,baseline,/big.txt,3735552,65536,sequential,1.0000,1,3801088,4096,1
1773185974.630029,baseline,/big.txt,3801088,65536,sequential,1.0000,1,3866624,4096,1
1773185974.630079,baseline,/big.txt,3866624,65536,sequential,1.0000,1,3932160,4096,1
1773185974.6301289,baseline,/big.txt,3932160,65536,sequential,1.0000,1,3997696,4096,1
1773185974.630178,baseline,/big.txt,3997696,65536,sequential,1.0000,1,4063232,4096,1
1773185974.630242,baseline,/big.txt,4063232,65536,sequential,1.0000,1,4128768,4096,1
1773185974.630292,baseline,/big.txt,4128768,65536,sequential,1.0000,1,4194304,4096,1
1773185974.630343,baseline,/big.txt,4194304,65536,sequential,1.0000,1,4259840,4096,1
1773185974.630392,baseline,/big.txt,4259840,65536,sequential,1.0000,1,4325376,4096,1
1773185974.630441,baseline,/big.txt,4325376,65536,sequential,1.0000,1,4390912,4096,1
1773185974.630493,baseline,/big.txt,4390912,65536,sequential,1.0000,1,4456448,4096,1
1773185974.630541,baseline,/big.txt,4456448,65536,sequential,1.0000,1,4521984,4096,1
1773185974.63059,baseline,/big.txt,4521984,65536,sequential,1.0000,1,4587520,4096,1
1773185974.6306381,baseline,/big.txt,4587520,65536,sequential,1.0000,1,4653056,4096,1
1773185974.630683,baseline,/big.txt,4653056,65536,sequential,1.0000,1,4718592,4096,1
1773185974.630729,baseline,/big.txt,4718592,65536,sequential,1.0000,1,4784128,4096,1
1773185974.6307762,baseline,/big.txt,4784128,65536,sequential,1.0000,1,4849664,4096,1
1773185974.6308212,baseline,/big.txt,4849664,65536,sequential,1.0000,1,4915200,4096,1
1773185974.630868,baseline,/big.txt,4915200,65536,sequential,1.0000,1,4980736,4096,1
1773185974.630914,baseline,/big.txt,4980736,65536,sequential,1.0000,1,5046272,4096,1
1773185974.630964,baseline,/big.txt,5046272,65536,sequential,1.0000,1,5111808,4096,1
1773185974.63101,baseline,/big.txt,5111808,65536,sequential,1.0000,1,5177344,4096,1
1773185974.6310558,baseline,/big.txt,5177344,65536,sequential,1.0000,1,5242880,4096,1
1773185974.631103,baseline,/big.txt,5242880,65536,sequential,1.0000,1,5308416,4096,1
1773185974.6311538,baseline,/big.txt,5308416,65536,sequential,1.0000,1,5373952,4096,1
1773185974.6312,baseline,/big.txt,5373952,65536,sequential,1.0000,1,5439488,4096,1
