seq,timestamp,path,offset,size
98387,1773165085.935075,/archive.tar,0,65536
98388,1773165085.937547,/archive.tar,65536,65536
98389,1773165085.939378,/archive.tar,131072,65536
98390,1773165085.94149,/archive.tar,196608,65536
98391,1773165085.943129,/archive.tar,262144,65536
98392,1773165085.945106,/archive.tar,327680,65536
98393,1773165085.9465039,/archive.tar,393216,65536
98394,1773165085.948204,/archive.tar,458752,65536
98395,1773165085.949858,/archive.tar,524288,65536
98396,1773165085.951694,/archive.tar,589824,65536
98397,1773165085.953147,/archive.tar,655360,65536
98398,1773165085.954487,/archive.tar,720896,65536
98399,1773165085.956144,/archive.tar,786432,65536
98400,1773165085.957342,/archive.tar,851968,65536
98401,1773165085.9590342,/archive.tar,917504,65536
98402,1773165085.960372,/archive.tar,983040,65536
98403,1773165085.961851,/archive.tar,1048576,65536
98404,1773165085.962972,/archive.tar,1114112,65536
98405,1773165085.9643688,/archive.tar,1179648,65536
98406,1773165085.96545,/archive.tar,1245184,65536
98407,1773165085.9667509,/archive.tar,1310720,65536
98408,1773165085.96787,/archive.tar,1376256,65536
98409,1773165085.968936,/archive.tar,1441792,65536
98410,1773165085.970276,/archive.tar,1507328,65536
98411,1773165085.971303,/archive.tar,1572864,65536
98412,1773165085.972588,/archive.tar,1638400,65536
98413,1773165085.9736261,/archive.tar,1703936,65536
98414,1773165085.975093,/archive.tar,1769472,65536
98415,1773165085.9761422,/archive.tar,1835008,62976
