seq,timestamp,path,offset,size
98097,1773185896.0085309,/archive.tar,0,65536
98098,1773185896.011271,/archive.tar,65536,65536
98099,1773185896.012871,/archive.tar,131072,65536
98100,1773185896.015666,/archive.tar,196608,65536
98101,1773185896.017042,/archive.tar,262144,65536
98102,1773185896.0190861,/archive.tar,327680,65536
98103,1773185896.0204318,/archive.tar,393216,65536
98104,1773185896.0219269,/archive.tar,458752,65536
98105,1773185896.0231428,/archive.tar,524288,65536
98106,1773185896.0245152,/archive.tar,589824,65536
98107,1773185896.0256798,/archive.tar,655360,65536
98108,1773185896.0267148,/archive.tar,720896,65536
98109,1773185896.0280519,/archive.tar,786432,65536
98110,1773185896.029,/archive.tar,851968,65536
98111,1773185896.03023,/archive.tar,917504,65536
98112,1773185896.031187,/archive.tar,983040,65536
98113,1773185896.032427,/archive.tar,1048576,65536
98114,1773185896.033537,/archive.tar,1114112,65536
98115,1773185896.034687,/archive.tar,1179648,65536
98116,1773185896.035573,/archive.tar,1245184,65536
98117,1773185896.036654,/archive.tar,1310720,65536
98118,1773185896.037675,/archive.tar,1376256,65536
98119,1773185896.0385869,/archive.tar,1441792,65536
98120,1773185896.0397499,/archive.tar,1507328,65536
98121,1773185896.040704,/archive.tar,1572864,65536
98122,1773185896.041781,/archive.tar,1638400,65536
98123,1773185896.042619,/archive.tar,1703936,65536
98124,1773185896.0436962,/archive.tar,1769472,65536
98125,1773185896.044532,/archive.tar,1835008,62976
