seq,timestamp,path,offset,size
45337,1773127630.1760778,/big.txt,0,131072
45338,1773127630.176565,/big.txt,131072,131072
45339,1773127630.177043,/big.txt,262144,131072
45340,1773127630.177522,/big.txt,393216,131072
45341,1773127630.178,/big.txt,524288,131072
45342,1773127630.1784399,/big.txt,655360,131072
45343,1773127630.1788225,/big.txt,786432,131072
45344,1773127630.1791804,/big.txt,917504,131072
45345,1773127630.1795363,/big.txt,1048576,131072
45346,1773127630.1798592,/big.txt,1179648,131072
45347,1773127630.1801803,/big.txt,1310720,131072
45348,1773127630.180501,/big.txt,1441792,131072
45349,1773127630.1808228,/big.txt,1572864,131072
45350,1773127630.1811423,/big.txt,1703936,131072
45351,1773127630.1814632,/big.txt,1835008,131072
45352,1773127630.1817665,/big.txt,1966080,131072
45353,1773127630.182072,/big.txt,2097152,131072
45354,1773127630.1823728,/big.txt,2228224,131072
45355,1773127630.1826742,/big.txt,2359296,131072
45356,1773127630.1830094,/big.txt,2490368,131072
45357,1773127630.1833332,/big.txt,2621440,131072
45358,1773127630.183651,/big.txt,2752512,131072
45359,1773127630.1839716,/big.txt,2883584,131072
45360,1773127630.184292,/big.txt,3014656,131072
45361,1773127630.1846092,/big.txt,3145728,131072
45362,1773127630.184907,/big.txt,3276800,131072
45363,1773127630.1852078,/big.txt,3407872,131072
45364,1773127630.1854904,/big.txt,3538944,131072
45365,1773127630.185775,/big.txt,3670016,131072
45366,1773127630.1860542,/big.txt,3801088,131072
45367,1773127630.186336,/big.txt,3932160,131072
45368,1773127630.1866167,/big.txt,4063232,131072
45369,1773127630.1869164,/big.txt,4194304,131072
45370,1773127630.187201,/big.txt,4325376,131072
45371,1773127630.187482,/big.txt,4456448,131072
45372,1773127630.1877615,/big.txt,4587520,131072
45373,1773127630.1880438,/big.txt,4718592,131072
45374,1773127630.1883237,/big.txt,4849664,131072
45375,1773127630.1886034,/big.txt,4980736,131072
45376,1773127630.1888902,/big.txt,5111808,131072
45377,1773127630.1891701,/big.txt,5242880,131072
45378,1773127630.189462,/big.txt,5373952,131072
