timestamp,mode,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size,prefetch_depth
1773184312.2552845,baseline,/pyfiles/module_1.py,0,137,unknown,0.0000,1,137,4096,1
1773184312.255369,baseline,/pyfiles/module_1.py,137,0,sequential,1.0000,0,,,1
1773184312.2555807,baseline,/pyfiles/module_10.py,0,142,irregular,0.5000,1,142,4096,1
1773184312.255623,baseline,/pyfiles/module_10.py,142,0,irregular,0.6667,0,,,1
1773184312.2557166,baseline,/pyfiles/module_100.py,0,147,irregular,0.5000,1,147,4096,1
1773184312.2557566,baseline,/pyfiles/module_100.py,147,0,irregular,0.5000,0,,,1
1773184312.255847,baseline,/pyfiles/module_101.py,0,147,irregular,0.5000,1,147,4096,1
1773184312.2558842,baseline,/pyfiles/module_101.py,147,0,irregular,0.5000,0,,,1
1773184312.2559671,baseline,/pyfiles/module_102.py,0,147,irregular,0.5000,1,147,4096,1
1773184312.2560048,baseline,/pyfiles/module_102.py,147,0,irregular,0.5000,0,,,1
1773184312.2560873,baseline,/pyfiles/module_103.py,0,147,irregular,0.5000,1,147,4096,1
1773184312.2561245,baseline,/pyfiles/module_103.py,147,0,irregular,0.5000,0,,,1
1773184312.2562075,baseline,/pyfiles/module_104.py,0,147,irregular,0.5000,1,147,4096,1
1773184312.2562447,baseline,/pyfiles/module_104.py,147,0,irregular,0.5000,0,,,1
1773184312.256328,baseline,/pyfiles/module_105.py,0,147,irregular,0.5000,1,147,4096,1
1773184312.256365,baseline,/pyfiles/module_105.py,147,0,irregular,0.5000,0,,,1
1773184312.2564483,baseline,/pyfiles/module_106.py,0,147,irregular,0.5000,1,147,4096,1
1773184312.2564852,baseline,/pyfiles/module_106.py,147,0,irregular,0.5000,0,,,1
1773184312.2565684,baseline,/pyfiles/module_107.py,0,147,irregular,0.5000,1,147,4096,1
1773184312.2566056,baseline,/pyfiles/module_107.py,147,0,irregular,0.5000,0,,,1
1773184312.2566874,baseline,/pyfiles/module_108.py,0,147,irregular,0.5000,1,147,4096,1
1773184312.256725,baseline,/pyfiles/module_108.py,147,0,irregular,0.5000,0,,,1
1773184312.2568069,baseline,/pyfiles/module_109.py,0,147,irregular,0.5000,1,147,4096,1
1773184312.2568443,baseline,/pyfiles/module_109.py,147,0,irregular,0.5000,0,,,1
