seq,timestamp,path,offset,size
16156,1773127821.1864824,/big.txt,20480,4096
16157,1773127821.189664,/big.txt,491520,4096
16158,1773127821.19227,/big.txt,172032,4096
16159,1773127821.1947494,/big.txt,1228800,4096
16160,1773127821.1971202,/big.txt,69632,4096
16161,1773127821.1995294,/big.txt,1024000,4096
16162,1773127821.2019935,/big.txt,360448,4096
16163,1773127821.2044244,/big.txt,778240,4096
16164,1773127821.2067122,/big.txt,245760,4096
16165,1773127821.2090654,/big.txt,40960,4096
16166,1773127821.211418,/big.txt,1126400,4096
16167,1773127821.2138247,/big.txt,135168,4096
16168,1773127821.2162943,/big.txt,655360,4096
16169,1773127821.218611,/big.txt,860160,4096
16170,1773127821.2208579,/big.txt,389120,4096
