timestamp,mode,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size,prefetch_depth
1773127915.2955382,baseline,/test.db,0,100,unknown,0.0000,1,100,4096,1
1773127915.2967231,baseline,/test.db,0,4096,irregular,0.0000,1,4096,4096,1
1773127915.2974489,baseline,/test.db,24,16,irregular,0.0000,1,40,4096,1
1773127915.2979784,baseline,/test.db,4096,4096,irregular,0.0000,1,8192,4096,1
1773127915.2983282,baseline,/test.db,8192,4096,irregular,0.2500,1,12288,4096,1
1773127915.2986312,baseline,/test.db,12288,4096,irregular,0.5000,1,16384,4096,1
1773127915.2989407,baseline,/test.db,16384,4096,irregular,0.7500,1,20480,4096,1
1773127915.299247,baseline,/test.db,20480,4096,sequential,1.0000,1,24576,4096,1
1773127915.2995389,baseline,/test.db,24576,4096,sequential,1.0000,1,28672,4096,1
1773127915.2998292,baseline,/test.db,28672,4096,sequential,1.0000,1,32768,4096,1
1773127915.3001168,baseline,/test.db,32768,4096,sequential,1.0000,1,36864,4096,1
1773127915.3004053,baseline,/test.db,36864,4096,sequential,1.0000,1,40960,4096,1
1773127915.3006928,baseline,/test.db,40960,4096,sequential,1.0000,1,45056,4096,1
1773127915.3009796,baseline,/test.db,45056,4096,sequential,1.0000,1,49152,4096,1
1773127915.301269,baseline,/test.db,49152,4096,sequential,1.0000,1,53248,4096,1
1773127915.3015409,baseline,/test.db,53248,4096,sequential,1.0000,1,57344,4096,1
1773127915.3018095,baseline,/test.db,57344,4096,sequential,1.0000,1,61440,4096,1
1773127915.302079,baseline,/test.db,61440,4096,sequential,1.0000,1,65536,4096,1
1773127915.3023465,baseline,/test.db,65536,4096,sequential,1.0000,1,69632,4096,1
1773127915.3026123,baseline,/test.db,69632,4096,sequential,1.0000,1,73728,4096,1
1773127915.3029037,baseline,/test.db,73728,4096,sequential,1.0000,1,77824,4096,1
1773127915.3031802,baseline,/test.db,77824,4096,sequential,1.0000,1,81920,4096,1
1773127915.3034604,baseline,/test.db,81920,4096,sequential,1.0000,1,86016,4096,1
1773127915.3037398,baseline,/test.db,86016,4096,sequential,1.0000,1,90112,4096,1
1773127915.3040166,baseline,/test.db,90112,4096,sequential,1.0000,1,94208,4096,1
1773127915.3042955,baseline,/test.db,94208,4096,sequential,1.0000,1,98304,4096,1
1773127915.3045764,baseline,/test.db,98304,4096,sequential,1.0000,1,102400,4096,1
1773127915.3048382,baseline,/test.db,102400,4096,sequential,1.0000,1,106496,4096,1
1773127915.305093,baseline,/test.db,106496,4096,sequential,1.0000,1,110592,4096,1
1773127915.3053477,baseline,/test.db,110592,4096,sequential,1.0000,1,114688,4096,1
1773127915.3056023,baseline,/test.db,114688,4096,sequential,1.0000,1,118784,4096,1
1773127915.305856,baseline,/test.db,118784,4096,sequential,1.0000,1,122880,4096,1
1773127915.3060837,baseline,/test.db,122880,4096,sequential,1.0000,1,126976,4096,1
1773127915.3063414,baseline,/test.db,126976,4096,sequential,1.0000,1,131072,4096,1
1773127915.306596,baseline,/test.db,131072,4096,sequential,1.0000,1,135168,4096,1
1773127915.3068845,baseline,/test.db,135168,4096,sequential,1.0000,1,139264,4096,1
1773127915.3071501,baseline,/test.db,139264,4096,sequential,1.0000,1,143360,4096,1
1773127915.3074105,baseline,/test.db,143360,4096,sequential,1.0000,1,147456,4096,1
1773127915.3076658,baseline,/test.db,147456,4096,sequential,1.0000,1,151552,4096,1
1773127915.3079255,baseline,/test.db,151552,4096,sequential,1.0000,1,155648,4096,1
1773127915.3081825,baseline,/test.db,155648,4096,sequential,1.0000,1,159744,4096,1
1773127915.3084388,baseline,/test.db,159744,4096,sequential,1.0000,1,163840,4096,1
1773127915.3086944,baseline,/test.db,163840,4096,sequential,1.0000,1,167936,4096,1
1773127915.3089488,baseline,/test.db,167936,4096,sequential,1.0000,1,172032,4096,1
1773127915.3092015,baseline,/test.db,172032,4096,sequential,1.0000,1,176128,4096,1
1773127915.3094559,baseline,/test.db,176128,4096,sequential,1.0000,1,180224,4096,1
1773127915.3097095,baseline,/test.db,180224,4096,sequential,1.0000,1,184320,4096,1
1773127915.3099384,baseline,/test.db,184320,4096,sequential,1.0000,1,188416,4096,1
1773127915.3101676,baseline,/test.db,188416,4096,sequential,1.0000,1,192512,4096,1
1773127915.3104396,baseline,/test.db,192512,4096,sequential,1.0000,1,196608,4096,1
1773127915.3106983,baseline,/test.db,196608,4096,sequential,1.0000,1,200704,4096,1
1773127915.3109555,baseline,/test.db,200704,4096,sequential,1.0000,1,204800,4096,1
1773127915.311216,baseline,/test.db,204800,4096,sequential,1.0000,1,208896,4096,1
1773127915.3114727,baseline,/test.db,208896,4096,sequential,1.0000,1,212992,4096,1
1773127915.3117378,baseline,/test.db,212992,4096,sequential,1.0000,1,217088,4096,1
1773127915.3119957,baseline,/test.db,217088,4096,sequential,1.0000,1,221184,4096,1
1773127915.3122492,baseline,/test.db,221184,4096,sequential,1.0000,1,225280,4096,1
1773127915.312506,baseline,/test.db,225280,4096,sequential,1.0000,1,229376,4096,1
1773127915.312762,baseline,/test.db,229376,4096,sequential,1.0000,1,233472,4096,1
