seq,timestamp,path,offset,size
52803,1773128219.2842214,/archive.tar,0,10240
52804,1773128219.2848458,/archive.tar,10240,10240
52805,1773128219.2852495,/archive.tar,20480,10240
52806,1773128219.285575,/archive.tar,30720,10240
52807,1773128219.2859435,/archive.tar,40960,10240
52808,1773128219.2862651,/archive.tar,51200,10240
52809,1773128219.2866259,/archive.tar,61440,10240
52810,1773128219.2870326,/archive.tar,71680,10240
52811,1773128219.287143,/archive.tar,81920,10240
52812,1773128219.287269,/archive.tar,92160,10240
52813,1773128219.287391,/archive.tar,102400,10240
52814,1773128219.2874968,/archive.tar,112640,10240
52815,1773128219.287622,/archive.tar,122880,10240
52816,1773128219.2877872,/archive.tar,133120,10240
52817,1773128219.2879279,/archive.tar,143360,10240
52818,1773128219.288072,/archive.tar,153600,10240
52819,1773128219.2881913,/archive.tar,163840,10240
52820,1773128219.2883153,/archive.tar,174080,10240
52821,1773128219.2884195,/archive.tar,184320,10240
52822,1773128219.2885425,/archive.tar,194560,10240
52823,1773128219.2886696,/archive.tar,204800,10240
52824,1773128219.2887905,/archive.tar,215040,10240
52825,1773128219.288933,/archive.tar,225280,10240
52826,1773128219.2890522,/archive.tar,235520,10240
52827,1773128219.2891915,/archive.tar,245760,10240
52828,1773128219.2893324,/archive.tar,256000,10240
52829,1773128219.2894526,/archive.tar,266240,10240
52830,1773128219.2895937,/archive.tar,276480,10240
52831,1773128219.2897131,/archive.tar,286720,10240
52832,1773128219.2898545,/archive.tar,296960,10240
52833,1773128219.2899938,/archive.tar,307200,10240
52834,1773128219.2901163,/archive.tar,317440,10240
52835,1773128219.290257,/archive.tar,327680,10240
52836,1773128219.2903767,/archive.tar,337920,10240
52837,1773128219.2905173,/archive.tar,348160,10240
52838,1773128219.290657,/archive.tar,358400,10240
52839,1773128219.2907846,/archive.tar,368640,10240
52840,1773128219.2909613,/archive.tar,378880,10240
52841,1773128219.2910697,/archive.tar,389120,10240
52842,1773128219.2911925,/archive.tar,399360,10240
52843,1773128219.291334,/archive.tar,409600,10240
52844,1773128219.2914567,/archive.tar,419840,10240
52845,1773128219.2915978,/archive.tar,430080,10240
52846,1773128219.2917361,/archive.tar,440320,10240
52847,1773128219.2918596,/archive.tar,450560,10240
52848,1773128219.2919993,/archive.tar,460800,10240
52849,1773128219.2921257,/archive.tar,471040,10240
52850,1773128219.2922685,/archive.tar,481280,10240
52851,1773128219.2924104,/archive.tar,491520,10240
52852,1773128219.2925305,/archive.tar,501760,10240
52853,1773128219.2926712,/archive.tar,512000,10240
52854,1773128219.2927923,/archive.tar,522240,10240
52855,1773128219.2929327,/archive.tar,532480,10240
52856,1773128219.2930748,/archive.tar,542720,10240
52857,1773128219.2931955,/archive.tar,552960,10240
52858,1773128219.2933376,/archive.tar,563200,10240
52859,1773128219.2934587,/archive.tar,573440,10240
52860,1773128219.2936003,/archive.tar,583680,10240
52861,1773128219.293742,/archive.tar,593920,10240
52862,1773128219.2938619,/archive.tar,604160,10240
52863,1773128219.294004,/archive.tar,614400,10240
52864,1773128219.2941241,/archive.tar,624640,10240
52865,1773128219.2942672,/archive.tar,634880,10240
52866,1773128219.2944095,/archive.tar,645120,10240
52867,1773128219.2945309,/archive.tar,655360,10240
52868,1773128219.2946737,/archive.tar,665600,10240
52869,1773128219.2948184,/archive.tar,675840,10240
52870,1773128219.294975,/archive.tar,686080,10240
52871,1773128219.295106,/archive.tar,696320,10240
52872,1773128219.2952302,/archive.tar,706560,10240
52873,1773128219.295373,/archive.tar,716800,10240
52874,1773128219.2954988,/archive.tar,727040,10240
52875,1773128219.2956367,/archive.tar,737280,10240
52876,1773128219.295778,/archive.tar,747520,10240
52877,1773128219.2959015,/archive.tar,757760,10240
52878,1773128219.2960424,/archive.tar,768000,10240
52879,1773128219.2961814,/archive.tar,778240,10240
52880,1773128219.2963047,/archive.tar,788480,10240
52881,1773128219.2964468,/archive.tar,798720,10240
52882,1773128219.2965753,/archive.tar,808960,10240
52883,1773128219.2967172,/archive.tar,819200,10240
52884,1773128219.2968621,/archive.tar,829440,10240
52885,1773128219.296983,/archive.tar,839680,10240
52886,1773128219.2971263,/archive.tar,849920,10240
52887,1773128219.29725,/archive.tar,860160,10240
52888,1773128219.2973926,/archive.tar,870400,10240
52889,1773128219.2975376,/archive.tar,880640,10240
52890,1773128219.2976594,/archive.tar,890880,10240
52891,1773128219.2978032,/archive.tar,901120,10240
52892,1773128219.2979243,/archive.tar,911360,10240
52893,1773128219.2980666,/archive.tar,921600,10240
52894,1773128219.298211,/archive.tar,931840,10240
52895,1773128219.2983365,/archive.tar,942080,10240
52896,1773128219.298481,/archive.tar,952320,10240
52897,1773128219.2986023,/archive.tar,962560,10240
52898,1773128219.298747,/archive.tar,972800,10240
52899,1773128219.2989442,/archive.tar,983040,10240
52900,1773128219.299067,/archive.tar,993280,10240
52901,1773128219.2992113,/archive.tar,1003520,10240
52902,1773128219.2993338,/archive.tar,1013760,10240
52903,1773128219.2994785,/archive.tar,1024000,10240
52904,1773128219.2996218,/archive.tar,1034240,10240
52905,1773128219.2997448,/archive.tar,1044480,10240
52906,1773128219.2998872,/archive.tar,1054720,10240
52907,1773128219.3000119,/archive.tar,1064960,10240
52908,1773128219.3001528,/archive.tar,1075200,10240
52909,1773128219.300297,/archive.tar,1085440,10240
52910,1773128219.3004198,/archive.tar,1095680,10240
52911,1773128219.3005617,/archive.tar,1105920,10240
52912,1773128219.3007019,/archive.tar,1116160,10240
52913,1773128219.3008258,/archive.tar,1126400,10240
52914,1773128219.3009706,/archive.tar,1136640,10240
52915,1773128219.3010948,/archive.tar,1146880,10240
52916,1773128219.3012373,/archive.tar,1157120,10240
52917,1773128219.3013818,/archive.tar,1167360,10240
52918,1773128219.3015034,/archive.tar,1177600,10240
52919,1773128219.301648,/archive.tar,1187840,10240
52920,1773128219.3017697,/archive.tar,1198080,10240
52921,1773128219.3019135,/archive.tar,1208320,10240
52922,1773128219.3020585,/archive.tar,1218560,10240
52923,1773128219.3021803,/archive.tar,1228800,10240
52924,1773128219.302326,/archive.tar,1239040,10240
52925,1773128219.3024476,/archive.tar,1249280,10240
52926,1773128219.3025913,/archive.tar,1259520,10240
52927,1773128219.3027375,/archive.tar,1269760,10240
52928,1773128219.3029144,/archive.tar,1280000,10240
52929,1773128219.3030622,/archive.tar,1290240,10240
52930,1773128219.3031852,/archive.tar,1300480,10240
52931,1773128219.3033304,/archive.tar,1310720,10240
52932,1773128219.303475,/archive.tar,1320960,10240
52933,1773128219.3035986,/archive.tar,1331200,10240
52934,1773128219.3037446,/archive.tar,1341440,10240
52935,1773128219.3038664,/archive.tar,1351680,10240
52936,1773128219.304012,/archive.tar,1361920,10240
52937,1773128219.3041575,/archive.tar,1372160,10240
52938,1773128219.3042805,/archive.tar,1382400,10240
52939,1773128219.3044257,/archive.tar,1392640,10240
52940,1773128219.3045552,/archive.tar,1402880,10240
52941,1773128219.3046951,/archive.tar,1413120,10240
52942,1773128219.3048398,/archive.tar,1423360,10240
52943,1773128219.3049638,/archive.tar,1433600,10240
52944,1773128219.3051083,/archive.tar,1443840,10240
52945,1773128219.30525,/archive.tar,1454080,10240
