seq,timestamp,path,offset,size
50977,1773127942.034025,/archive.tar,0,10240
50978,1773127942.0349822,/archive.tar,10240,10240
50979,1773127942.0355766,/archive.tar,20480,10240
50980,1773127942.036093,/archive.tar,30720,10240
50981,1773127942.0366952,/archive.tar,40960,10240
50982,1773127942.0371861,/archive.tar,51200,10240
50983,1773127942.037724,/archive.tar,61440,10240
50984,1773127942.038271,/archive.tar,71680,10240
50985,1773127942.0387154,/archive.tar,81920,10240
50986,1773127942.0392406,/archive.tar,92160,10240
50987,1773127942.039716,/archive.tar,102400,10240
50988,1773127942.0400882,/archive.tar,112640,10240
50989,1773127942.0405169,/archive.tar,122880,10240
50990,1773127942.0408752,/archive.tar,133120,10240
50991,1773127942.0412629,/archive.tar,143360,10240
50992,1773127942.0416787,/archive.tar,153600,10240
50993,1773127942.042082,/archive.tar,163840,10240
50994,1773127942.0426357,/archive.tar,174080,10240
50995,1773127942.043139,/archive.tar,184320,10240
50996,1773127942.0436535,/archive.tar,194560,10240
50997,1773127942.0441623,/archive.tar,204800,10240
50998,1773127942.0445957,/archive.tar,215040,10240
50999,1773127942.0450952,/archive.tar,225280,10240
51000,1773127942.0455263,/archive.tar,235520,10240
51001,1773127942.0459983,/archive.tar,245760,10240
51002,1773127942.046465,/archive.tar,256000,10240
51003,1773127942.0467458,/archive.tar,266240,10240
51004,1773127942.0470016,/archive.tar,276480,10240
51005,1773127942.0471797,/archive.tar,286720,10240
51006,1773127942.0473819,/archive.tar,296960,10240
51007,1773127942.0475829,/archive.tar,307200,10240
51008,1773127942.0477455,/archive.tar,317440,10240
51009,1773127942.0479047,/archive.tar,327680,10240
51010,1773127942.0480397,/archive.tar,337920,10240
51011,1773127942.048194,/archive.tar,348160,10240
51012,1773127942.048345,/archive.tar,358400,10240
51013,1773127942.0484805,/archive.tar,368640,10240
51014,1773127942.048644,/archive.tar,378880,10240
51015,1773127942.0488095,/archive.tar,389120,10240
51016,1773127942.0489907,/archive.tar,399360,10240
51017,1773127942.0491595,/archive.tar,409600,10240
51018,1773127942.049295,/archive.tar,419840,10240
51019,1773127942.0494447,/archive.tar,430080,10240
51020,1773127942.0495934,/archive.tar,440320,10240
51021,1773127942.0497313,/archive.tar,450560,10240
51022,1773127942.049889,/archive.tar,460800,10240
51023,1773127942.050055,/archive.tar,471040,10240
51024,1773127942.050184,/archive.tar,481280,10240
51025,1773127942.0503032,/archive.tar,491520,10240
51026,1773127942.0504358,/archive.tar,501760,10240
51027,1773127942.050583,/archive.tar,512000,10240
51028,1773127942.0506825,/archive.tar,522240,10240
51029,1773127942.0508156,/archive.tar,532480,10240
51030,1773127942.0509486,/archive.tar,542720,10240
51031,1773127942.051076,/archive.tar,552960,10240
51032,1773127942.0511987,/archive.tar,563200,10240
51033,1773127942.051295,/archive.tar,573440,10240
51034,1773127942.0514076,/archive.tar,583680,10240
51035,1773127942.0515213,/archive.tar,593920,10240
51036,1773127942.051616,/archive.tar,604160,10240
51037,1773127942.0517294,/archive.tar,614400,10240
51038,1773127942.0518246,/archive.tar,624640,10240
51039,1773127942.051938,/archive.tar,634880,10240
51040,1773127942.0520492,/archive.tar,645120,10240
51041,1773127942.0521443,/archive.tar,655360,10240
51042,1773127942.0522578,/archive.tar,665600,10240
51043,1773127942.0523524,/archive.tar,675840,10240
51044,1773127942.052465,/archive.tar,686080,10240
51045,1773127942.0525765,/archive.tar,696320,10240
51046,1773127942.0526733,/archive.tar,706560,10240
51047,1773127942.0527864,/archive.tar,716800,10240
51048,1773127942.0528846,/archive.tar,727040,10240
51049,1773127942.0529933,/archive.tar,737280,10240
51050,1773127942.053104,/archive.tar,747520,10240
51051,1773127942.0531998,/archive.tar,757760,10240
51052,1773127942.0533106,/archive.tar,768000,10240
51053,1773127942.0534213,/archive.tar,778240,10240
51054,1773127942.0535176,/archive.tar,788480,10240
51055,1773127942.0536308,/archive.tar,798720,10240
51056,1773127942.0537326,/archive.tar,808960,10240
51057,1773127942.0538442,/archive.tar,819200,10240
51058,1773127942.053958,/archive.tar,829440,10240
51059,1773127942.0540526,/archive.tar,839680,10240
51060,1773127942.0541658,/archive.tar,849920,10240
