seq,timestamp,path,offset,size
1,1770209243.761627,/big.txt,0,65536
2,1770209243.762033,/big.txt,65536,65536
3,1770209243.762199,/big.txt,131072,65536
4,1770209243.762369,/big.txt,196608,65536
5,1770209243.762594,/big.txt,262144,65536
6,1770209243.762797,/big.txt,327680,65536
7,1770209243.762961,/big.txt,393216,65536
8,1770209243.7630851,/big.txt,458752,65536
9,1770209243.76321,/big.txt,524288,65536
10,1770209243.763339,/big.txt,589824,65536
11,1770209243.763463,/big.txt,655360,65536
12,1770209243.7635672,/big.txt,720896,65536
13,1770209243.7636878,/big.txt,786432,65536
14,1770209243.7638159,/big.txt,851968,65536
15,1770209243.7639198,/big.txt,917504,65536
16,1770209243.764032,/big.txt,983040,40960
17,1770209243.764143,/big.txt,1024000,0
18,1770209243.7670872,/big.txt,20480,4096
19,1770209243.7690911,/big.txt,491520,4096
20,1770209243.770978,/big.txt,172032,4096
21,1770209243.7728891,/big.txt,1228800,0
22,1770209243.774636,/big.txt,69632,4096
23,1770209243.776521,/big.txt,1024000,0
24,1770209243.77824,/big.txt,360448,4096
25,1770209243.7801092,/big.txt,778240,4096
26,1770209243.7818189,/big.txt,245760,4096
27,1770209243.7834911,/big.txt,40960,4096
28,1770209243.785235,/big.txt,0,65536
29,1770209243.785337,/big.txt,65536,65536
30,1770209243.785441,/big.txt,131072,65536
31,1770209243.785544,/big.txt,196608,65536
32,1770209243.785651,/big.txt,262144,65536
33,1770209243.7857332,/big.txt,327680,65536
34,1770209243.7858171,/big.txt,393216,65536
35,1770209243.785905,/big.txt,458752,65536
36,1770209243.785988,/big.txt,524288,65536
37,1770209243.7860749,/big.txt,589824,65536
38,1770209243.786156,/big.txt,655360,65536
39,1770209243.7862349,/big.txt,720896,65536
40,1770209243.7863119,/big.txt,786432,65536
41,1770209243.786402,/big.txt,851968,65536
42,1770209243.786485,/big.txt,917504,65536
43,1770209243.7865632,/big.txt,983040,40960
44,1770209243.786637,/big.txt,1024000,0
