timestamp,mode,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size
1772039060.3890932,none,/big.txt,0,65536,unknown,0.0000,0,,
1772039060.3896031,none,/big.txt,65536,65536,sequential,1.0000,0,,
1772039060.3898292,none,/big.txt,131072,65536,sequential,1.0000,0,,
1772039060.390153,none,/big.txt,196608,65536,sequential,1.0000,0,,
1772039060.3903239,none,/big.txt,262144,65536,sequential,1.0000,0,,
1772039060.390839,none,/big.txt,327680,65536,sequential,1.0000,0,,
1772039060.391217,none,/big.txt,393216,65536,sequential,1.0000,0,,
1772039060.391386,none,/big.txt,458752,65536,sequential,1.0000,0,,
1772039060.391535,none,/big.txt,524288,65536,sequential,1.0000,0,,
1772039060.3917818,none,/big.txt,589824,65536,sequential,1.0000,0,,
1772039060.391901,none,/big.txt,655360,65536,sequential,1.0000,0,,
1772039060.392016,none,/big.txt,720896,65536,sequential,1.0000,0,,
1772039060.392194,none,/big.txt,786432,65536,sequential,1.0000,0,,
1772039060.3923142,none,/big.txt,851968,65536,sequential,1.0000,0,,
1772039060.392422,none,/big.txt,917504,65536,sequential,1.0000,0,,
1772039060.392575,none,/big.txt,983040,40960,sequential,1.0000,0,,
1772039060.392674,none,/big.txt,1024000,0,sequential,1.0000,0,,
