workload,run,real_sec,user_sec,sys_sec
sequential,1,0.0060,0.0010,0.0020
sequential,2,0.0070,0.0020,0.0030
sequential,3,0.0080,0.0020,0.0040
sequential,4,0.0060,0.0020,0.0030
sequential,5,0.0060,0.0020,0.0030
sequential,6,0.0060,0.0020,0.0030
sequential,7,0.0060,0.0010,0.0030
sequential,8,0.0060,0.0020,0.0030
sequential,9,0.0040,0.0010,0.0020
sequential,10,0.0070,0.0020,0.0030
random,1,0.0430,0.0130,0.0230
random,2,0.0420,0.0150,0.0200
random,3,0.0430,0.0140,0.0220
random,4,0.0440,0.0140,0.0230
random,5,0.0440,0.0150,0.0220
random,6,0.0420,0.0130,0.0220
random,7,0.0240,0.0080,0.0110
random,8,0.0330,0.0110,0.0160
random,9,0.0430,0.0140,0.0230
random,10,0.0310,0.0100,0.0150
phase_change,1,0.0390,0.0130,0.0210
phase_change,2,0.0380,0.0120,0.0200
phase_change,3,0.0380,0.0120,0.0200
phase_change,4,0.0380,0.0120,0.0200
phase_change,5,0.0400,0.0130,0.0210
phase_change,6,0.0400,0.0130,0.0210
phase_change,7,0.0370,0.0120,0.0190
phase_change,8,0.0380,0.0120,0.0200
phase_change,9,0.0410,0.0130,0.0220
phase_change,10,0.0390,0.0120,0.0200
