workload,run,real_sec,user_sec,sys_sec
sequential,1,.057,0,.005
sequential,2,.052,.001,.004
sequential,3,.055,.001,.002
sequential,4,.059,.003,.002
sequential,5,.056,.001,.002
sequential,6,.053,.002,.003
sequential,7,.053,.001,.005
sequential,8,.057,0,.004
sequential,9,.053,.001,.004
sequential,10,.055,0,.005
random,1,.072,.007,.011
random,2,.074,.009,.009
random,3,.074,.007,.009
random,4,.074,.010,.007
random,5,.071,.006,.011
random,6,.077,.005,.012
random,7,.069,.007,.009
random,8,.070,.004,.013
random,9,.071,.007,.009
random,10,.070,.008,.009
phase_change,1,.101,.003,.007
phase_change,2,.103,.005,.006
phase_change,3,.100,.005,.006
phase_change,4,.099,.004,.007
phase_change,5,.101,.006,.006
phase_change,6,.099,.005,.006
phase_change,7,.101,.005,.005
phase_change,8,.103,.004,.007
phase_change,9,.103,.005,.007
phase_change,10,.099,.004,.007
